Date,Open Price,Target Price,Upside/Downside,Price Call,Source
"12/09/2019","0.48","0.38","-0.10 (20.83%)","SELL","AffinHwang"
"23/08/2019","0.48","0.38","-0.10 (20.83%)","SELL","PUBLIC BANK"
"23/08/2019","0.48","0.32","-0.16 (33.33%)","SELL","MIDF"
"23/08/2019","0.48","0.26","-0.22 (45.83%)","SELL","KENANGA"
"23/08/2019","0.48","0.32","-0.16 (33.33%)","SELL","HLG"
"23/08/2019","0.48","0.39","-0.09 (18.75%)","HOLD","AmInvest"
"23/08/2019","0.48","0.38","-0.10 (20.83%)","SELL","AffinHwang"
"11/07/2019","0.47","0.41","-0.06 (12.77%)","HOLD","PUBLIC BANK"
"08/07/2019","0.48","0.34","-0.14 (29.17%)","SELL","HLG"
"05/07/2019","0.485","0.26","-0.225 (46.39%)","SELL","KENANGA"

