Column1,AQR,T4Q,30/09/18,30/09/17,30/09/16,30/09/15,30/09/14,30/09/13,31/12/12,31/12/11,31/12/10,CAGR
"YoY %","-33.33%","-14.29%","40.00%","25.00%","0.00%","0.00%","33.33%","-14.29%","16.67%","-82.04%","-",""
"Horiz. %","23.95%","35.93%","41.92%","29.94%","23.95%","23.95%","23.95%","17.96%","20.96%","17.96%","100.00%",""
"NAPS","1.3400","1.3400","1.2900","1.2100","1.1000","1.0200","0.9000","0.8500","0.8000","0.6000","0.5900","10.62%"
"YoY %","0.00%","3.88%","6.61%","10.00%","7.84%","13.33%","5.88%","6.25%","33.33%","1.69%","-",""
"Horiz. %","227.12%","227.12%","218.64%","205.08%","186.44%","172.88%","152.54%","144.07%","135.59%","101.69%","100.00%",""
"RPS","205.29","203.18","202.60","208.22","221.56","165.33","153.01","109.32","149.27","116.40","125.94","6.32%"
"YoY %","1.04%","0.29%","-2.70%","-6.02%","34.01%","8.05%","39.97%","-26.76%","28.24%","-7.58%","-",""
"Horiz. %","163.01%","161.33%","160.87%","165.33%","175.93%","131.28%","121.49%","86.80%","118.52%","92.42%","100.00%",""
"EPS","15.37","16.00","15.45","15.32","12.03","15.05","9.78","8.95","10.57","9.62","11.98","3.34%"
"YoY %","-3.94%","3.56%","0.85%","27.35%","-20.07%","53.89%","9.27%","-15.33%","9.88%","-19.70%","-",""
"Horiz. %","128.30%","133.56%","128.96%","127.88%","100.42%","125.63%","81.64%","74.71%","88.23%","80.30%","100.00%",""
"DPS","4.00","6.00","7.00","5.00","4.00","4.00","4.00","3.00","3.29","2.47","13.74","-8.33%"
"YoY %","-33.33%","-14.29%","40.00%","25.00%","0.00%","0.00%","33.33%","-8.81%","33.20%","-82.02%","-",""
"Horiz. %","29.11%","43.67%","50.95%","36.39%","29.11%","29.11%","29.11%","21.83%","23.94%","17.98%","100.00%",""
"NAPS","1.3400","1.3400","1.2900","1.2100","1.1000","1.0200","0.9000","0.8500","0.7509","0.4937","0.4855","13.43%"
"YoY %","0.00%","3.88%","6.61%","10.00%","7.84%","13.33%","5.88%","13.20%","52.10%","1.69%","-",""
"Horiz. %","276.00%","276.00%","265.71%","249.23%","226.57%","210.09%","185.38%","175.08%","154.67%","101.69%","100.00%",""
"Date","AQR","T4Q","28/09/18","29/09/17","30/09/16","30/09/15","30/09/14","30/09/13","31/12/12","-","-","-"
"Price","1.4300","1.4300","1.3000","1.7600","1.3200","1.2100","1.4800","0.7050","0.6700","0.0000","0.0000","-"
"P/RPS","0.70","0.70","0.64","0.85","0.60","0.73","0.97","0.64","0.42","0.00","0.00","-"
"YoY %","0.00%","9.38%","-24.71%","41.67%","-17.81%","-24.74%","51.56%","52.38%","0.00%","0.00%","-",""
"Horiz. %","166.67%","166.67%","152.38%","202.38%","142.86%","173.81%","230.95%","152.38%","100.00%","-","-",""
"P/EPS","9.31","8.94","8.41","11.49","10.97","8.04","15.13","7.88","5.95","0.00","0.00","-"
"YoY %","4.14%","6.30%","-26.81%","4.74%","36.44%","-46.86%","92.01%","32.44%","0.00%","0.00%","-",""
"Horiz. %","156.47%","150.25%","141.34%","193.11%","184.37%","135.13%","254.29%","132.44%","100.00%","-","-",""
"EY","10.75","11.19","11.88","8.71","9.11","12.44","6.61","12.70","16.81","0.00","0.00","-"
"YoY %","-3.93%","-5.81%","36.39%","-4.39%","-26.77%","88.20%","-47.95%","-24.45%","0.00%","0.00%","-",""
"Horiz. %","63.95%","66.57%","70.67%","51.81%","54.19%","74.00%","39.32%","75.55%","100.00%","-","-",""
"DY","2.80","4.20","5.38","2.84","3.03","3.31","2.70","4.26","5.22","0.00","0.00","-"
"YoY %","-33.33%","-21.93%","89.44%","-6.27%","-8.46%","22.59%","-36.62%","-18.39%","0.00%","0.00%","-",""
"Horiz. %","53.64%","80.46%","103.07%","54.41%","58.05%","63.41%","51.72%","81.61%","100.00%","-","-",""
"P/NAPS","1.07","1.07","1.01","1.45","1.20","1.19","1.64","0.83","0.84","0.00","0.00","-"
"YoY %","0.00%","5.94%","-30.34%","20.83%","0.84%","-27.44%","97.59%","-1.19%","0.00%","0.00%","-",""
"Horiz. %","127.38%","127.38%","120.24%","172.62%","142.86%","141.67%","195.24%","98.81%","100.00%","-","-",""
"Date","AQR","T4Q","23/11/18","23/11/17","23/11/16","25/11/15","25/11/14","26/11/13","27/02/13","-","-","-"
"Price","1.4200","1.4200","1.3800","1.7000","1.2600","1.1200","1.4100","0.9600","0.6600","0.0000","0.0000","-"
"P/RPS","0.69","0.70","0.68","0.82","0.57","0.68","0.92","0.88","0.42","0.00","0.00","-"
"YoY %","-1.43%","2.94%","-17.07%","43.86%","-16.18%","-26.09%","4.55%","109.52%","0.00%","0.00%","-",""
"Horiz. %","164.29%","166.67%","161.90%","195.24%","135.71%","161.90%","219.05%","209.52%","100.00%","-","-",""
"P/EPS","9.24","8.88","8.93","11.09","10.47","7.44","14.41","10.73","5.86","0.00","0.00","-"
