Column1,AQR,T4Q,31/12/18,31/12/17,31/12/16,31/12/15,31/07/14,31/07/13,CAGR
"Revenue","195,688","207,977","220,284","157,116","14,994","41,106","331","4","648.86%"
"YoY %","-5.91%","-5.59%","40.20%","947.86%","-63.52%","12,318.73%","8,175.00%","-",""
"Horiz. %","4,892,200.00%","5,199,425.00%","5,507,100.00%","3,927,900.00%","374,850.00%","1,027,650.00%","8,275.00%","100.00%",""
"PBT","-58,920","-43,654","-42,507","-121,734","121,886","-21,901","-28,184","-2,169","73.11%"
"YoY %","-34.97%","-2.70%","65.08%","-199.88%","656.53%","22.29%","-1,199.40%","-",""
"Horiz. %","2,716.46%","2,012.63%","1,959.75%","5,612.45%","-5,619.46%","1,009.73%","1,299.40%","100.00%",""
"Tax","-578","-24,164","-18,259","-38,129","-9,192","-10,252","-117","0","-"
"YoY %","97.61%","-32.34%","52.11%","-314.81%","10.34%","-8,662.39%","0.00%","-",""
"Horiz. %","494.02%","20,652.99%","15,605.98%","32,588.89%","7,856.41%","8,762.39%","100.00%","-",""
"NP","-59,498","-67,818","-60,766","-159,863","112,694","-32,153","-28,301","-2,169","84.91%"
"YoY %","12.27%","-11.61%","61.99%","-241.86%","450.49%","-13.61%","-1,204.79%","-",""
"Horiz. %","2,743.11%","3,126.69%","2,801.57%","7,370.36%","-5,195.67%","1,482.39%","1,304.79%","100.00%",""
"NP to SH","-48,534","-58,898","-44,434","-96,340","112,694","-32,153","-28,301","-2,169","74.53%"
"YoY %","17.60%","-32.55%","53.88%","-185.49%","450.49%","-13.61%","-1,204.79%","-",""
"Horiz. %","2,237.62%","2,715.44%","2,048.59%","4,441.68%","-5,195.67%","1,482.39%","1,304.79%","100.00%",""
"Tax Rate","-     %","-     %","-     %","-     %","7.54    %","-     %","-     %","-     %","-"
"YoY %","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","-",""
"Horiz. %","0.00%","0.00%","0.00%","0.00%","100.00%","-","-","-",""
"Total Cost","255,186","275,795","281,050","316,979","-97,700","73,259","28,632","2,173","145.18%"
"YoY %","-7.47%","-1.87%","-11.33%","424.44%","-233.36%","155.86%","1,217.63%","-",""
"Horiz. %","11,743.49%","12,691.90%","12,933.73%","14,587.16%","-4,496.09%","3,371.33%","1,317.63%","100.00%",""
"Net Worth","833,273","833,273","844,237","822,309","908,674","535,883","-396,213","445","302.25%"
"YoY %","0.00%","-1.30%","2.67%","-9.50%","69.57%","235.25%","-89,021.75%","-",""
"Horiz. %","187,010.48%","187,010.48%","189,471.16%","184,549.83%","203,932.52%","120,267.55%","-88,921.75%","100.00%",""
"Div","-","0","-","-","-","-","-","-","-"
"YoY %","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","-",""
"Horiz. %","-","-","-","-","-","-","-","-",""
