Column1,AQR,T4Q,31/12/18,31/12/17,31/12/16,31/12/15,31/12/14,31/12/13,31/12/12,CAGR
"Revenue","79,500","67,370","59,153","76,753","68,789","66,316","66,722","50,181","0","-"
"YoY %","18.01%","13.89%","-22.93%","11.58%","3.73%","-0.61%","32.96%","0.00%","-",""
"Horiz. %","158.43%","134.25%","117.88%","152.95%","137.08%","132.15%","132.96%","100.00%","-",""
"PBT","9,060","479","-1,826","7,938","5,702","11,088","8,105","6,397","0","-"
"YoY %","1,791.44%","126.23%","-123.00%","39.21%","-48.58%","36.80%","26.70%","0.00%","-",""
"Horiz. %","141.63%","7.49%","-28.54%","124.09%","89.14%","173.33%","126.70%","100.00%","-",""
"Tax","192","245","113","-371","-223","-1,336","-1,086","-1,432","0","-"
"YoY %","-21.63%","116.81%","130.46%","-66.37%","83.31%","-23.02%","24.16%","0.00%","-",""
"Horiz. %","-13.41%","-17.11%","-7.89%","25.91%","15.57%","93.30%","75.84%","100.00%","-",""
"NP","9,252","724","-1,713","7,567","5,479","9,752","7,019","4,965","0","-"
"YoY %","1,177.90%","142.27%","-122.64%","38.11%","-43.82%","38.94%","41.37%","0.00%","-",""
"Horiz. %","186.34%","14.58%","-34.50%","152.41%","110.35%","196.41%","141.37%","100.00%","-",""
"NP to SH","9,268","732","-1,713","7,567","5,479","9,752","7,019","4,965","0","-"
"YoY %","1,166.12%","142.73%","-122.64%","38.11%","-43.82%","38.94%","41.37%","0.00%","-",""
"Horiz. %","186.67%","14.74%","-34.50%","152.41%","110.35%","196.41%","141.37%","100.00%","-",""
"Tax Rate","-2.12    %","-51.15    %","-     %","4.67    %","3.91    %","12.05    %","13.40    %","22.39    %","-     %","-"
"YoY %","95.86%","0.00%","0.00%","19.44%","-67.55%","-10.07%","-40.15%","0.00%","-",""
"Horiz. %","-9.47%","-228.45%","0.00%","20.86%","17.46%","53.82%","59.85%","100.00%","-",""
"Total Cost","70,248","66,646","60,866","69,186","63,310","56,564","59,703","45,216","0","-"
"YoY %","5.40%","9.50%","-12.03%","9.28%","11.93%","-5.26%","32.04%","0.00%","-",""
"Horiz. %","155.36%","147.39%","134.61%","153.01%","140.02%","125.10%","132.04%","100.00%","-",""
"Net Worth","131,961","131,961","125,957","122,643","121,445","87,548","59,122","47,572","-","-"
"YoY %","0.00%","4.77%","2.70%","0.99%","38.72%","48.08%","24.28%","0.00%","-",""
"Horiz. %","277.39%","277.39%","264.77%","257.80%","255.29%","184.03%","124.28%","100.00%","-",""
"Div","-","0","-","-","-","-","-","-","-","-"
"YoY %","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","-",""
"Horiz. %","-","-","-","-","-","-","-","-","-",""
"Div Payout %","-     %","-     %","-     %","-     %","-     %","-     %","-     %","-     %","-     %","-"
"YoY %","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","-",""
"Horiz. %","-","-","-","-","-","-","-","-","-",""
"Net Worth","131,961","131,961","125,957","122,643","121,445","87,548","59,122","47,572","-","-"
"YoY %","0.00%","4.77%","2.70%","0.99%","38.72%","48.08%","24.28%","0.00%","-",""
"Horiz. %","277.39%","277.39%","264.77%","257.80%","255.29%","184.03%","124.28%","100.00%","-",""
"NOSH","893,442","893,442","890,789","798,461","798,460","547,865","455,844","352,127","-","-"
"YoY %","0.00%","0.30%","11.56%","0.00%","45.74%","20.19%","29.45%","0.00%","-",""
"Horiz. %","253.73%","253.73%","252.97%","226.75%","226.75%","155.59%","129.45%","100.00%","-",""
"NP Margin","11.64    %","1.07    %","-2.90    %","9.86    %","7.96    %","14.71    %","10.52    %","9.89    %","-     %","-"
"YoY %","987.85%","136.90%","-129.41%","23.87%","-45.89%","39.83%","6.37%","0.00%","-",""
"Horiz. %","117.69%","10.82%","-29.32%","99.70%","80.49%","148.74%","106.37%","100.00%","-",""
"ROE","7.02    %","0.55    %","-1.36    %","6.17    %","4.51    %","11.14    %","11.87    %","10.44    %","-     %","-"
"YoY %","1,176.36%","140.44%","-122.04%","36.81%","-59.52%","-6.15%","13.70%","0.00%","-",""
"Horiz. %","67.24%","5.27%","-13.03%","59.10%","43.20%","106.70%","113.70%","100.00%","-",""
"RPS","8.90","7.54","6.64","9.61","8.62","12.10","14.64","14.25","-","-"
"YoY %","18.04%","13.55%","-30.91%","11.48%","-28.76%","-17.35%","2.74%","0.00%","-",""
"Horiz. %","62.46%","52.91%","46.60%","67.44%","60.49%","84.91%","102.74%","100.00%","-",""
"EPS","1.04","0.08","-0.20","0.95","0.74","1.78","1.36","1.41","0.00","-"
"YoY %","1,200.00%","140.00%","-121.05%","28.38%","-58.43%","30.88%","-3.55%","0.00%","-",""
"Horiz. %","73.76%","5.67%","-14.18%","67.38%","52.48%","126.24%","96.45%","100.00%","-",""
"DPS","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","-"
"YoY %","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","-",""
"Horiz. %","-","-","-","-","-","-","-","-","-",""
"NAPS","0.1477","0.1477","0.1414","0.1536","0.1521","0.1598","0.1297","0.1351","0.0000","-"
"YoY %","0.00%","4.46%","-7.94%","0.99%","-4.82%","23.21%","-4.00%","0.00%","-",""
"Horiz. %","109.33%","109.33%","104.66%","113.69%","112.58%","118.28%","96.00%","100.00%","-",""
"RPS","8.89","7.54","6.62","8.59","7.70","7.42","7.46","5.61","-","-"
"YoY %","17.90%","13.90%","-22.93%","11.56%","3.77%","-0.54%","32.98%","0.00%","-",""
"Horiz. %","158.47%","134.40%","118.00%","153.12%","137.25%","132.26%","132.98%","100.00%","-",""
"EPS","1.04","0.08","-0.19","0.85","0.61","1.09","0.79","0.56","0.00","-"
"YoY %","1,200.00%","142.11%","-122.35%","39.34%","-44.04%","37.97%","41.07%","0.00%","-",""
"Horiz. %","185.71%","14.29%","-33.93%","151.79%","108.93%","194.64%","141.07%","100.00%","-",""
"DPS","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","-"
"YoY %","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","-",""
"Horiz. %","-","-","-","-","-","-","-","-","-",""
"NAPS","0.1476","0.1476","0.1409","0.1372","0.1359","0.0979","0.0661","0.0532","0.0000","-"
"YoY %","0.00%","4.76%","2.70%","0.96%","38.82%","48.11%","24.25%","0.00%","-",""
"Horiz. %","277.44%","277.44%","264.85%","257.89%","255.45%","184.02%","124.25%","100.00%","-",""
"Date","AQR","T4Q","31/12/18","29/12/17","30/12/16","31/12/15","31/12/14","31/12/13","-","-"
"Price","0.0450","0.0450","0.0500","0.2050","0.2750","0.1150","0.3800","0.3600","0.0000","-"
"P/RPS","0.51","0.60","0.75","2.13","3.19","0.95","2.60","2.53","0.00","-"
"YoY %","-15.00%","-20.00%","-64.79%","-33.23%","235.79%","-63.46%","2.77%","0.00%","-",""
"Horiz. %","20.16%","23.72%","29.64%","84.19%","126.09%","37.55%","102.77%","100.00%","-",""
"P/EPS","4.34","54.92","-26.00","21.63","40.08","6.46","24.68","25.53","0.00","-"
"YoY %","-92.10%","311.23%","-220.20%","-46.03%","520.43%","-73.82%","-3.33%","0.00%","-",""
"Horiz. %","17.00%","215.12%","-101.84%","84.72%","156.99%","25.30%","96.67%","100.00%","-",""
"EY","23.05","1.82","-3.85","4.62","2.50","15.48","4.05","3.92","0.00","-"
"YoY %","1,166.48%","147.27%","-183.33%","84.80%","-83.85%","282.22%","3.32%","0.00%","-",""
"Horiz. %","588.01%","46.43%","-98.21%","117.86%","63.78%","394.90%","103.32%","100.00%","-",""
"DY","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","-"
"YoY %","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","-",""
"Horiz. %","-","-","-","-","-","-","-","-","-",""
"P/NAPS","0.30","0.30","0.35","1.33","1.81","0.72","2.93","2.66","0.00","-"
