Column1,AQR,T4Q,30/06/19,30/06/18,30/06/17,30/06/16,30/06/15,30/06/14,CAGR
"Revenue","123,847","123,847","123,847","131,585","119,986","97,967","86,892","83,084","8.31%"
"YoY %","0.00%","0.00%","-5.88%","9.67%","22.48%","12.75%","4.58%","-",""
"Horiz. %","149.06%","149.06%","149.06%","158.38%","144.42%","117.91%","104.58%","100.00%",""
"PBT","-14,341","-14,341","-14,341","9,887","8,564","17,778","19,002","20,061","-"
"YoY %","0.00%","0.00%","-245.05%","15.45%","-51.83%","-6.44%","-5.28%","-",""
"Horiz. %","-71.49%","-71.49%","-71.49%","49.28%","42.69%","88.62%","94.72%","100.00%",""
"Tax","11,519","11,519","11,519","-3,602","-3,469","-5,106","-4,775","-5,515","-"
"YoY %","0.00%","0.00%","419.79%","-3.83%","32.06%","-6.93%","13.42%","-",""
"Horiz. %","-208.87%","-208.87%","-208.87%","65.31%","62.90%","92.58%","86.58%","100.00%",""
"NP","-2,822","-2,822","-2,822","6,285","5,095","12,672","14,227","14,546","-"
"YoY %","0.00%","0.00%","-144.90%","23.36%","-59.79%","-10.93%","-2.19%","-",""
"Horiz. %","-19.40%","-19.40%","-19.40%","43.21%","35.03%","87.12%","97.81%","100.00%",""
"NP to SH","-2,633","-2,633","-2,633","6,356","5,848","12,572","14,155","14,493","-"
"YoY %","0.00%","0.00%","-141.43%","8.69%","-53.48%","-11.18%","-2.33%","-",""
"Horiz. %","-18.17%","-18.17%","-18.17%","43.86%","40.35%","86.75%","97.67%","100.00%",""
"Tax Rate","-     %","-     %","-     %","36.43    %","40.51    %","28.72    %","25.13    %","27.49    %","-"
"YoY %","0.00%","0.00%","0.00%","-10.07%","41.05%","14.29%","-8.58%","-",""
"Horiz. %","0.00%","0.00%","0.00%","132.52%","147.36%","104.47%","91.42%","100.00%",""
"Total Cost","126,669","126,669","126,669","125,300","114,891","85,295","72,665","68,538","13.06%"
"YoY %","0.00%","0.00%","1.09%","9.06%","34.70%","17.38%","6.02%","-",""
"Horiz. %","184.82%","184.82%","184.82%","182.82%","167.63%","124.45%","106.02%","100.00%",""
"Net Worth","245,894","245,894","245,894","245,732","211,458","176,776","13,801,124","8,564,045","-50.82%"
"YoY %","0.00%","0.00%","0.07%","16.21%","19.62%","-98.72%","61.15%","-",""
"Horiz. %","2.87%","2.87%","2.87%","2.87%","2.47%","2.06%","161.15%","100.00%",""
"Div","-","0","-","-","-","6,345","-","-","-"
"YoY %","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","-",""
"Horiz. %","0.00%","0.00%","0.00%","0.00%","0.00%","100.00%","-","-",""
"Div Payout %","-     %","-     %","-     %","-     %","-     %","50.48    %","-     %","-     %","-"
"YoY %","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","-",""
"Horiz. %","0.00%","0.00%","0.00%","0.00%","0.00%","100.00%","-","-",""
"Net Worth","245,894","245,894","245,894","245,732","211,458","176,776","13,801,124","8,564,045","-50.82%"
"YoY %","0.00%","0.00%","0.07%","16.21%","19.62%","-98.72%","61.15%","-",""
"Horiz. %","2.87%","2.87%","2.87%","2.87%","2.47%","2.06%","161.15%","100.00%",""
"NOSH","273,216","273,216","273,216","267,100","240,293","226,636","17,693,750","13,175,454","-53.92%"
"YoY %","0.00%","0.00%","2.29%","11.16%","6.03%","-98.72%","34.29%","-",""
"Horiz. %","2.07%","2.07%","2.07%","2.03%","1.82%","1.72%","134.29%","100.00%",""
"NP Margin","-2.28    %","-2.28    %","-2.28    %","4.78    %","4.25    %","12.93    %","16.37    %","17.51    %","-"
"YoY %","0.00%","0.00%","-147.70%","12.47%","-67.13%","-21.01%","-6.51%","-",""
"Horiz. %","-13.02%","-13.02%","-13.02%","27.30%","24.27%","73.84%","93.49%","100.00%",""
"ROE","-1.07    %","-1.07    %","-1.07    %","2.59    %","2.77    %","7.11    %","0.10    %","0.17    %","-"
"YoY %","0.00%","0.00%","-141.31%","-6.50%","-61.04%","7,010.00%","-41.18%","-",""
"Horiz. %","-629.41%","-629.41%","-629.41%","1,523.53%","1,629.41%","4,182.35%","58.82%","100.00%",""
"RPS","45.33","45.33","45.33","49.26","49.93","43.23","0.49","0.63","135.07%"
"YoY %","0.00%","0.00%","-7.98%","-1.34%","15.50%","8,722.45%","-22.22%","-",""
"Horiz. %","7,195.24%","7,195.24%","7,195.24%","7,819.05%","7,925.40%","6,861.90%","77.78%","100.00%",""
"EPS","-0.95","-0.96","-0.95","2.44","2.43","5.55","0.08","0.11","-"
"YoY %","1.04%","-1.05%","-138.93%","0.41%","-56.22%","6,837.50%","-27.27%","-",""
"Horiz. %","-863.64%","-872.73%","-863.64%","2,218.18%","2,209.09%","5,045.45%","72.73%","100.00%",""
"DPS","0.00","0.00","0.00","0.00","0.00","2.80","0.00","0.00","-"
"YoY %","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","-",""
