Column1,AQR,T4Q,31/12/18,31/12/17,31/12/16,31/12/15,31/12/14,CAGR
"Revenue","970,720","1,082,708","1,105,352","1,015,568","1,058,834","1,199,152","1,219,418","-2.42%"
"YoY %","-10.34%","-2.05%","8.84%","-4.09%","-11.70%","-1.66%","-",""
"Horiz. %","79.61%","88.79%","90.65%","83.28%","86.83%","98.34%","100.00%",""
"PBT","21,972","34,195","34,425","39,283","51,170","38,755","43,215","-5.52%"
"YoY %","-35.74%","-0.67%","-12.37%","-23.23%","32.03%","-10.32%","-",""
"Horiz. %","50.84%","79.13%","79.66%","90.90%","118.41%","89.68%","100.00%",""
"Tax","-5,748","-9,010","-9,122","-9,777","-9,745","-8,534","-13,029","-8.52%"
"YoY %","36.20%","1.23%","6.70%","-0.33%","-14.19%","34.50%","-",""
"Horiz. %","44.12%","69.15%","70.01%","75.04%","74.79%","65.50%","100.00%",""
"NP","16,224","25,185","25,303","29,506","41,425","30,221","30,186","-4.31%"
"YoY %","-35.58%","-0.47%","-14.24%","-28.77%","37.07%","0.12%","-",""
"Horiz. %","53.75%","83.43%","83.82%","97.75%","137.23%","100.12%","100.00%",""
"NP to SH","17,756","24,816","24,153","29,639","41,425","30,221","30,186","-5.42%"
"YoY %","-28.45%","2.75%","-18.51%","-28.45%","37.07%","0.12%","-",""
"Horiz. %","58.82%","82.21%","80.01%","98.19%","137.23%","100.12%","100.00%",""
"Tax Rate","26.16    %","26.35    %","26.50    %","24.89    %","19.04    %","22.02    %","30.15    %","-3.17%"
"YoY %","-0.72%","-0.57%","6.47%","30.72%","-13.53%","-26.97%","-",""
"Horiz. %","86.77%","87.40%","87.89%","82.55%","63.15%","73.03%","100.00%",""
"Total Cost","954,496","1,057,523","1,080,049","986,062","1,017,409","1,168,931","1,189,232","-2.38%"
"YoY %","-9.74%","-2.09%","9.53%","-3.08%","-12.96%","-1.71%","-",""
"Horiz. %","80.26%","88.92%","90.82%","82.92%","85.55%","98.29%","100.00%",""
"Net Worth","423,552","423,552","417,291","398,113","313,030","261,104","115,277","37.90%"
"YoY %","0.00%","1.50%","4.82%","27.18%","19.89%","126.50%","-",""
"Horiz. %","367.42%","367.42%","361.99%","345.35%","271.54%","226.50%","100.00%",""
"Div","-","111","111","104","94","-","-","-"
"YoY %","0.00%","0.00%","6.21%","10.45%","0.00%","0.00%","-",""
"Horiz. %","0.00%","117.31%","117.31%","110.45%","100.00%","-","-",""
"Div Payout %","-     %","0.45    %","0.46    %","0.35    %","0.23    %","-     %","-     %","-"
"YoY %","0.00%","-2.17%","31.43%","52.17%","0.00%","0.00%","-",""
"Horiz. %","0.00%","195.65%","200.00%","152.17%","100.00%","-","-",""
"Net Worth","423,552","423,552","417,291","398,113","313,030","261,104","115,277","37.90%"
"YoY %","0.00%","1.50%","4.82%","27.18%","19.89%","126.50%","-",""
"Horiz. %","367.42%","367.42%","361.99%","345.35%","271.54%","226.50%","100.00%",""
"NOSH","550,068","550,068","556,388","523,833","474,289","442,474","221,304","25.90%"
"YoY %","0.00%","-1.14%","6.21%","10.45%","7.19%","99.94%","-",""
