Column1,AQR,T4Q,31/12/18,31/12/17,31/12/16,31/12/15,31/12/14,31/12/13,31/12/12,31/12/11,31/12/10,CAGR
"Revenue","92,596","92,028","90,419","94,735","83,577","73,481","54,943","50,312","46,104","45,690","0","-"
"YoY %","0.62%","1.78%","-4.56%","13.35%","13.74%","33.74%","9.20%","9.13%","0.91%","0.00%","-",""
"Horiz. %","202.66%","201.42%","197.90%","207.34%","182.92%","160.83%","120.25%","110.12%","100.91%","100.00%","-",""
"PBT","6,172","5,720","5,530","5,738","5,212","5,160","4,122","3,157","3,889","4,404","0","-"
"YoY %","7.90%","3.44%","-3.62%","10.09%","1.01%","25.18%","30.57%","-18.82%","-11.69%","0.00%","-",""
"Horiz. %","140.15%","129.88%","125.57%","130.29%","118.35%","117.17%","93.60%","71.68%","88.31%","100.00%","-",""
"Tax","-2,160","-1,834","-1,645","-1,718","-1,877","-1,682","-1,117","-1,149","-102","-1,954","0","-"
"YoY %","-17.78%","-11.49%","4.25%","8.47%","-11.59%","-50.58%","2.79%","-1,026.47%","94.78%","0.00%","-",""
"Horiz. %","110.54%","93.86%","84.19%","87.92%","96.06%","86.08%","57.16%","58.80%","5.22%","100.00%","-",""
"NP","4,012","3,886","3,885","4,020","3,335","3,478","3,005","2,008","3,787","2,450","0","-"
"YoY %","3.24%","0.03%","-3.36%","20.54%","-4.11%","15.74%","49.65%","-46.98%","54.57%","0.00%","-",""
"Horiz. %","163.76%","158.61%","158.57%","164.08%","136.12%","141.96%","122.65%","81.96%","154.57%","100.00%","-",""
"NP to SH","4,012","3,886","3,885","4,020","3,335","3,340","3,048","2,027","3,925","2,450","0","-"
"YoY %","3.24%","0.03%","-3.36%","20.54%","-0.15%","9.58%","50.37%","-48.36%","60.20%","0.00%","-",""
"Horiz. %","163.76%","158.61%","158.57%","164.08%","136.12%","136.33%","124.41%","82.73%","160.20%","100.00%","-",""
"Tax Rate","35.00    %","32.06    %","29.75    %","29.94    %","36.01    %","32.60    %","27.10    %","36.40    %","2.62    %","44.37    %","-     %","-"
"YoY %","9.17%","7.76%","-0.63%","-16.86%","10.46%","20.30%","-25.55%","1,289.31%","-94.10%","0.00%","-",""
"Horiz. %","78.88%","72.26%","67.05%","67.48%","81.16%","73.47%","61.08%","82.04%","5.90%","100.00%","-",""
"Total Cost","88,584","88,142","86,534","90,715","80,242","70,003","51,938","48,304","42,317","43,240","0","-"
"YoY %","0.50%","1.86%","-4.61%","13.05%","14.63%","34.78%","7.52%","14.15%","-2.13%","0.00%","-",""
"Horiz. %","204.87%","203.84%","200.12%","209.79%","185.57%","161.89%","120.12%","111.71%","97.87%","100.00%","-",""
"Net Worth","49,261","49,261","48,337","45,761","39,436","37,031","32,982","30,415","28,357","25,220","-","-"
"YoY %","0.00%","1.91%","5.63%","16.04%","6.50%","12.28%","8.44%","7.26%","12.44%","0.00%","-",""
"Horiz. %","195.32%","195.32%","191.66%","181.44%","156.37%","146.83%","130.78%","120.60%","112.44%","100.00%","-",""
"Div","-","0","-","-","-","1,375","940","563","1,314","-","-","-"
"YoY %","0.00%","0.00%","0.00%","0.00%","0.00%","46.18%","67.02%","-57.15%","0.00%","0.00%","-",""
"Horiz. %","0.00%","0.00%","0.00%","0.00%","0.00%","104.61%","71.56%","42.85%","100.00%","-","-",""
"Div Payout %","-     %","-     %","-     %","-     %","-     %","41.17    %","30.86    %","27.79    %","33.49    %","-     %","-     %","-"
"YoY %","0.00%","0.00%","0.00%","0.00%","0.00%","33.41%","11.05%","-17.02%","0.00%","0.00%","-",""
"Horiz. %","0.00%","0.00%","0.00%","0.00%","0.00%","122.93%","92.15%","82.98%","100.00%","-","-",""
"Net Worth","49,261","49,261","48,337","45,761","39,436","37,031","32,982","30,415","28,357","25,220","-","-"
"YoY %","0.00%","1.91%","5.63%","16.04%","6.50%","12.28%","8.44%","7.26%","12.44%","0.00%","-",""
"Horiz. %","195.32%","195.32%","191.66%","181.44%","156.37%","146.83%","130.78%","120.60%","112.44%","100.00%","-",""
"NOSH","214,739","214,739","214,739","214,739","206,800","196,451","188,148","187,747","187,799","180,147","-","-"
"YoY %","0.00%","0.00%","0.00%","3.84%","5.27%","4.41%","0.21%","-0.03%","4.25%","0.00%","-",""
"Horiz. %","119.20%","119.20%","119.20%","119.20%","114.80%","109.05%","104.44%","104.22%","104.25%","100.00%","-",""
"NP Margin","4.33    %","4.22    %","4.30    %","4.24    %","3.99    %","4.73    %","5.47    %","3.99    %","8.21    %","5.36    %","-     %","-"
"YoY %","2.61%","-1.86%","1.42%","6.27%","-15.64%","-13.53%","37.09%","-51.40%","53.17%","0.00%","-",""
"Horiz. %","80.78%","78.73%","80.22%","79.10%","74.44%","88.25%","102.05%","74.44%","153.17%","100.00%","-",""
"ROE","8.14    %","7.89    %","8.04    %","8.78    %","8.46    %","9.02    %","9.24    %","6.66    %","13.84    %","9.71    %","-     %","-"
"YoY %","3.17%","-1.87%","-8.43%","3.78%","-6.21%","-2.38%","38.74%","-51.88%","42.53%","0.00%","-",""
"Horiz. %","83.83%","81.26%","82.80%","90.42%","87.13%","92.89%","95.16%","68.59%","142.53%","100.00%","-",""
"RPS","43.12","42.86","42.11","44.12","40.41","37.40","29.20","26.80","24.55","25.36","-","-"
"YoY %","0.61%","1.78%","-4.56%","9.18%","8.05%","28.08%","8.96%","9.16%","-3.19%","0.00%","-",""
"Horiz. %","170.03%","169.01%","166.05%","173.97%","159.35%","147.48%","115.14%","105.68%","96.81%","100.00%","-",""
"EPS","1.88","1.81","1.81","1.90","1.61","1.70","1.62","1.08","2.09","1.36","0.00","-"
"YoY %","3.87%","0.00%","-4.74%","18.01%","-5.29%","4.94%","50.00%","-48.33%","53.68%","0.00%","-",""
"Horiz. %","138.24%","133.09%","133.09%","139.71%","118.38%","125.00%","119.12%","79.41%","153.68%","100.00%","-",""
"DPS","0.00","0.00","0.00","0.00","0.00","0.70","0.50","0.30","0.70","0.00","0.00","-"
"YoY %","0.00%","0.00%","0.00%","0.00%","0.00%","40.00%","66.67%","-57.14%","0.00%","0.00%","-",""
"Horiz. %","0.00%","0.00%","0.00%","0.00%","0.00%","100.00%","71.43%","42.86%","100.00%","-","-",""
"NAPS","0.2294","0.2294","0.2251","0.2131","0.1907","0.1885","0.1753","0.1620","0.1510","0.1400","0.1200","8.17%"
