Column1,AQR,T4Q,31/12/18,31/12/17,31/12/16,31/12/15,31/12/14,31/12/13,31/12/12,CAGR
"Revenue","112,027","112,027","112,027","100,306","100,310","111,548","111,410","125,276","134,262","-2.97%"
"YoY %","0.00%","0.00%","11.69%","-0.00%","-10.07%","0.12%","-11.07%","-6.69%","-",""
"Horiz. %","83.44%","83.44%","83.44%","74.71%","74.71%","83.08%","82.98%","93.31%","100.00%",""
"PBT","3,770","3,770","3,770","5,332","4,994","4,517","7,142","8,349","8,510","-12.68%"
"YoY %","0.00%","0.00%","-29.29%","6.77%","10.56%","-36.75%","-14.46%","-1.89%","-",""
"Horiz. %","44.30%","44.30%","44.30%","62.66%","58.68%","53.08%","83.92%","98.11%","100.00%",""
"Tax","538","538","538","952","-1,447","-1,627","-2,268","-1,402","-1,802","-"
"YoY %","0.00%","0.00%","-43.49%","165.79%","11.06%","28.26%","-61.77%","22.20%","-",""
"Horiz. %","-29.86%","-29.86%","-29.86%","-52.83%","80.30%","90.29%","125.86%","77.80%","100.00%",""
"NP","4,308","4,308","4,308","6,284","3,547","2,890","4,874","6,947","6,708","-7.11%"
"YoY %","0.00%","0.00%","-31.44%","77.16%","22.73%","-40.71%","-29.84%","3.56%","-",""
"Horiz. %","64.22%","64.22%","64.22%","93.68%","52.88%","43.08%","72.66%","103.56%","100.00%",""
"NP to SH","4,308","4,308","4,308","6,284","3,547","2,890","4,874","6,947","6,708","-7.11%"
"YoY %","0.00%","0.00%","-31.44%","77.16%","22.73%","-40.71%","-29.84%","3.56%","-",""
"Horiz. %","64.22%","64.22%","64.22%","93.68%","52.88%","43.08%","72.66%","103.56%","100.00%",""
"Tax Rate","-14.27    %","-14.27    %","-14.27    %","-17.85    %","28.97    %","36.02    %","31.76    %","16.79    %","21.18    %","-"
"YoY %","0.00%","0.00%","20.06%","-161.62%","-19.57%","13.41%","89.16%","-20.73%","-",""
"Horiz. %","-67.37%","-67.37%","-67.37%","-84.28%","136.78%","170.07%","149.95%","79.27%","100.00%",""
"Total Cost","107,719","107,719","107,719","94,022","96,763","108,658","106,536","118,329","127,554","-2.78%"
"YoY %","0.00%","0.00%","14.57%","-2.83%","-10.95%","1.99%","-9.97%","-7.23%","-",""
"Horiz. %","84.45%","84.45%","84.45%","73.71%","75.86%","85.19%","83.52%","92.77%","100.00%",""
"Net Worth","158,399","158,399","158,399","153,000","147,599","144,000","140,399","145,800","114,680","5.53%"
"YoY %","0.00%","0.00%","3.53%","3.66%","2.50%","2.56%","-3.70%","27.14%","-",""
"Horiz. %","138.12%","138.12%","138.12%","133.41%","128.71%","125.57%","122.43%","127.14%","100.00%",""
"Div","-","0","-","-","-","-","-","-","-","-"
"YoY %","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","-",""
"Horiz. %","-","-","-","-","-","-","-","-","-",""
"Div Payout %","-     %","-     %","-     %","-     %","-     %","-     %","-     %","-     %","-     %","-"
"YoY %","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","-",""
"Horiz. %","-","-","-","-","-","-","-","-","-",""
"Net Worth","158,399","158,399","158,399","153,000","147,599","144,000","140,399","145,800","114,680","5.53%"
"YoY %","0.00%","0.00%","3.53%","3.66%","2.50%","2.56%","-3.70%","27.14%","-",""
"Horiz. %","138.12%","138.12%","138.12%","133.41%","128.71%","125.57%","122.43%","127.14%","100.00%",""
"NOSH","180,000","180,000","180,000","180,000","180,000","180,000","180,000","180,000","157,096","2.29%"
"YoY %","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","14.58%","-",""
"Horiz. %","114.58%","114.58%","114.58%","114.58%","114.58%","114.58%","114.58%","114.58%","100.00%",""
"NP Margin","3.85    %","3.85    %","3.85    %","6.26    %","3.54    %","2.59    %","4.37    %","5.55    %","5.00    %","-4.26%"
"YoY %","0.00%","0.00%","-38.50%","76.84%","36.68%","-40.73%","-21.26%","11.00%","-",""
"Horiz. %","77.00%","77.00%","77.00%","125.20%","70.80%","51.80%","87.40%","111.00%","100.00%",""
"ROE","2.72    %","2.72    %","2.72    %","4.11    %","2.40    %","2.01    %","3.47    %","4.76    %","5.85    %","-11.98%"
"YoY %","0.00%","0.00%","-33.82%","71.25%","19.40%","-42.07%","-27.10%","-18.63%","-",""
"Horiz. %","46.50%","46.50%","46.50%","70.26%","41.03%","34.36%","59.32%","81.37%","100.00%",""
"RPS","62.24","62.24","62.24","55.73","55.73","61.97","61.89","69.60","85.46","-5.14%"
"YoY %","0.00%","0.00%","11.68%","0.00%","-10.07%","0.13%","-11.08%","-18.56%","-",""
"Horiz. %","72.83%","72.83%","72.83%","65.21%","65.21%","72.51%","72.42%","81.44%","100.00%",""
"EPS","2.39","2.39","2.39","3.49","1.97","1.61","2.71","4.15","4.27","-9.21%"
"YoY %","0.00%","0.00%","-31.52%","77.16%","22.36%","-40.59%","-34.70%","-2.81%","-",""
"Horiz. %","55.97%","55.97%","55.97%","81.73%","46.14%","37.70%","63.47%","97.19%","100.00%",""
"DPS","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","-"
"YoY %","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","-",""
"Horiz. %","-","-","-","-","-","-","-","-","-",""
"NAPS","0.8800","0.8800","0.8800","0.8500","0.8200","0.8000","0.7800","0.8100","0.7300","3.16%"
"YoY %","0.00%","0.00%","3.53%","3.66%","2.50%","2.56%","-3.70%","10.96%","-",""
"Horiz. %","120.55%","120.55%","120.55%","116.44%","112.33%","109.59%","106.85%","110.96%","100.00%",""
"RPS","62.24","62.24","62.24","55.73","55.73","61.97","61.89","69.60","74.59","-2.97%"
"YoY %","0.00%","0.00%","11.68%","0.00%","-10.07%","0.13%","-11.08%","-6.69%","-",""
"Horiz. %","83.44%","83.44%","83.44%","74.72%","74.72%","83.08%","82.97%","93.31%","100.00%",""
"EPS","2.39","2.39","2.39","3.49","1.97","1.61","2.71","4.15","3.73","-7.15%"
"YoY %","0.00%","0.00%","-31.52%","77.16%","22.36%","-40.59%","-34.70%","11.26%","-",""
"Horiz. %","64.08%","64.08%","64.08%","93.57%","52.82%","43.16%","72.65%","111.26%","100.00%",""
"DPS","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","-"
"YoY %","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","-",""
"Horiz. %","-","-","-","-","-","-","-","-","-",""
"NAPS","0.8800","0.8800","0.8800","0.8500","0.8200","0.8000","0.7800","0.8100","0.6371","5.53%"
"YoY %","0.00%","0.00%","3.53%","3.66%","2.50%","2.56%","-3.70%","27.14%","-",""
"Horiz. %","138.13%","138.13%","138.13%","133.42%","128.71%","125.57%","122.43%","127.14%","100.00%",""
"Date","AQR","T4Q","31/12/18","29/12/17","30/12/16","31/12/15","31/12/14","31/12/13","-","-"
"Price","0.5000","0.5000","0.5000","0.4800","0.4450","0.4000","0.5200","0.5700","0.0000","-"
"P/RPS","0.80","0.80","0.80","0.86","0.80","0.65","0.84","0.82","0.00","-"
"YoY %","0.00%","0.00%","-6.98%","7.50%","23.08%","-22.62%","2.44%","0.00%","-",""
"Horiz. %","97.56%","97.56%","97.56%","104.88%","97.56%","79.27%","102.44%","100.00%","-",""
"P/EPS","20.89","20.89","20.89","13.75","22.58","24.91","19.20","14.77","0.00","-"
"YoY %","0.00%","0.00%","51.93%","-39.11%","-9.35%","29.74%","29.99%","0.00%","-",""
"Horiz. %","141.44%","141.44%","141.44%","93.09%","152.88%","168.65%","129.99%","100.00%","-",""
"EY","4.79","4.79","4.79","7.27","4.43","4.01","5.21","6.77","0.00","-"
"YoY %","0.00%","0.00%","-34.11%","64.11%","10.47%","-23.03%","-23.04%","0.00%","-",""
"Horiz. %","70.75%","70.75%","70.75%","107.39%","65.44%","59.23%","76.96%","100.00%","-",""
"DY","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","-"
"YoY %","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","-",""
"Horiz. %","-","-","-","-","-","-","-","-","-",""
"P/NAPS","0.57","0.57","0.57","0.56","0.54","0.50","0.67","0.70","0.00","-"
"YoY %","0.00%","0.00%","1.79%","3.70%","8.00%","-25.37%","-4.29%","0.00%","-",""
"Horiz. %","81.43%","81.43%","81.43%","80.00%","77.14%","71.43%","95.71%","100.00%","-",""
"Date","AQR","T4Q","26/02/19","26/02/18","27/02/17","29/02/16","25/02/15","24/02/14","-","-"
"Price","0.5300","0.5300","0.5300","0.5000","0.4200","0.4100","0.4800","0.5300","0.0000","-"
"P/RPS","0.85","0.85","0.85","0.90","0.75","0.66","0.78","0.76","0.00","-"
"YoY %","0.00%","0.00%","-5.56%","20.00%","13.64%","-15.38%","2.63%","0.00%","-",""
"Horiz. %","111.84%","111.84%","111.84%","118.42%","98.68%","86.84%","102.63%","100.00%","-",""
"P/EPS","22.14","22.14","22.14","14.32","21.31","25.54","17.73","13.73","0.00","-"
"YoY %","0.00%","0.00%","54.61%","-32.80%","-16.56%","44.05%","29.13%","0.00%","-",""
"Horiz. %","161.25%","161.25%","161.25%","104.30%","155.21%","186.02%","129.13%","100.00%","-",""
"EY","4.52","4.52","4.52","6.98","4.69","3.92","5.64","7.28","0.00","-"
"YoY %","0.00%","0.00%","-35.24%","48.83%","19.64%","-30.50%","-22.53%","0.00%","-",""
"Horiz. %","62.09%","62.09%","62.09%","95.88%","64.42%","53.85%","77.47%","100.00%","-",""
"DY","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","-"
"YoY %","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","-",""
"Horiz. %","-","-","-","-","-","-","-","-","-",""
"P/NAPS","0.60","0.60","0.60","0.59","0.51","0.51","0.62","0.65","0.00","-"
"YoY %","0.00%","0.00%","1.69%","15.69%","0.00%","-17.74%","-4.62%","0.00%","-",""
"Horiz. %","92.31%","92.31%","92.31%","90.77%","78.46%","78.46%","95.38%","100.00%","-",""

