F.Y.,Ann. Date,Quarter,#,Revenue,PBT,NP,NP to SH,Div,Net Worth,Div Payout %,NP Margin,ROE,NOSH,RPS,Adj. RPS,EPS,Adj. EPS,DPS,Adj. DPS,NAPS,Adj. NAPS,QoQ,YoY,EOQ Date,EOQ Price,EOQ P/RPS,EOQ P/EPS,EOQ P/NAPS,EOQ EY,EOQ DY,ANN Date,ANN Price,ANN P/RPS,ANN P/EPS,ANN P/NAPS,ANN EY,ANN DY
"31-Aug-2019","22-Apr-2019","28-Feb-2019","2","71,907","-7,924","-8,572","-8,423","0","84,659","- %","-11.92%","-9.95%","555,511","12.94","12.94","-1.52","-1.52","0.00","0.00","0.1524","0.15"," 15.19%"," -475.69%","28-Feb-2019","0.135","1.04","-8.90","0.89","-11.23%","0.00%","22-Apr-2019","0.12","0.93","-7.91","0.79","-12.64%","0.00%"
"31-Aug-2019","22-Jan-2019","30-Nov-2018","1","56,026","-9,605","-9,931","-9,932","0","84,048","- %","-17.73%","-11.82%","555,511","10.09","10.09","-1.79","-1.79","0.00","0.00","0.1513","0.15"," -19.42%"," -422.99%","30-Nov-2018","0.12","1.19","-6.71","0.79","-14.90%","0.00%","22-Jan-2019","0.115","1.14","-6.43","0.76","-15.55%","0.00%"
"31-Aug-2018","23-Oct-2018","31-Aug-2018","4","33,619","-7,607","-8,328","-8,317","0","7,112,166","- %","-24.77%","-0.12%","468,831","7.17","6.05","-1.77","-1.50","0.00","0.00","15.1700","12.80"," -461.77%"," -563.34%","30-Aug-2018","0.17","2.37","-9.58","0.01","-10.44%","0.00%","23-Oct-2018","0.155","2.16","-8.74","0.01","-11.45%","0.00%"
"31-Aug-2018","30-Jul-2018","31-May-2018","3","39,963","3,473","2,288","2,299","0","6,604,013","- %","5.73%","0.03%","412,235","9.69","7.19","0.56","0.41","0.00","0.00","16.0200","11.89"," 2.54%"," 217.98%","31-May-2018","0.17","1.75","30.48","0.01","3.28%","0.00%","30-Jul-2018","0.17","1.75","30.48","0.01","3.28%","0.00%"
"31-Aug-2018","17-Apr-2018","28-Feb-2018","2","45,881","3,451","2,242","2,242","0","65,256","- %","4.89%","3.44%","412,235","11.13","8.26","0.54","0.40","0.00","0.00","0.1583","0.12"," -27.09%"," 195.00%","28-Feb-2018","0.21","1.89","38.61","1.33","2.59%","0.00%","17-Apr-2018","0.20","1.80","36.77","1.26","2.72%","0.00%"
"31-Aug-2018","26-Jan-2018","30-Nov-2017","1","47,495","4,422","3,075","3,075","0","66,081","- %","6.47%","4.65%","412,235","11.52","8.55","0.75","0.55","0.00","0.00","0.1603","0.12"," 71.31%"," 282.46%","30-Nov-2017","0.205","1.78","27.48","1.28","3.64%","0.00%","26-Jan-2018","0.215","1.87","28.82","1.34","3.47%","0.00%"
"31-Aug-2017","20-Oct-2017","31-Aug-2017","4","44,195","2,777","1,795","1,795","0","64,473","- %","4.06%","2.78%","412,235","10.72","7.96","0.44","0.32","0.00","0.00","0.1564","0.12"," 148.27%"," 241.90%","30-Aug-2017","0.20","1.87","45.93","1.28","2.18%","0.00%","20-Oct-2017","0.23","2.15","52.82","1.47","1.89%","0.00%"
"31-Aug-2017","25-Jul-2017","31-May-2017","3","39,694","1,100","723","723","1,390","63,813","192.32%","1.82%","1.13%","412,235","9.63","7.15","0.18","0.13","0.34","0.25","0.1548","0.11"," -4.87%"," -66.39%","31-May-2017","0.23","2.39","131.14","1.49","0.76%","1.47%","25-Jul-2017","0.21","2.18","119.74","1.36","0.84%","1.61%"
"31-Aug-2017","25-Apr-2017","28-Feb-2017","2","34,467","1,038","760","760","1,390","63,154","182.95%","2.21%","1.20%","412,235","8.36","6.20","0.18","0.14","0.34","0.25","0.1532","0.11"," -5.47%"," -72.09%","28-Feb-2017","0.165","1.97","89.50","1.08","1.12%","2.04%","25-Apr-2017","0.26","3.11","141.03","1.70","0.71%","1.30%"
"31-Aug-2017","23-Jan-2017","30-Nov-2016","1","33,729","1,231","804","804","1,390","65,322","172.94%","2.38%","1.23%","426,666","7.91","6.07","0.19","0.14","0.33","0.25","0.1531","0.12"," 53.14%"," -74.95%","30-Nov-2016","0.185","2.34","98.18","1.21","1.02%","1.76%","23-Jan-2017","0.175","2.21","92.87","1.14","1.08%","1.86%"
