Column1,AQR,T4Q,31/12/18,31/12/17,31/12/16,31/12/15,31/12/14,31/12/13,31/12/12,31/12/11,CAGR
"Revenue","14,576,044","13,294,285","11,520,932","11,142,639","10,021,885","8,455,468","7,344,019","6,756,451","6,981,942","3,328,849","19.39%"
"YoY %","9.64%","15.39%","3.40%","11.18%","18.53%","15.13%","8.70%","-3.23%","109.74%","-",""
"Horiz. %","437.87%","399.37%","346.09%","334.73%","301.06%","254.01%","220.62%","202.97%","209.74%","100.00%",""
"PBT","905,460","948,897","752,470","1,164,453","877,617","1,217,539","1,221,176","881,562","997,355","483,105","6.53%"
"YoY %","-4.58%","26.10%","-35.38%","32.68%","-27.92%","-0.30%","38.52%","-11.61%","106.45%","-",""
"Horiz. %","187.43%","196.42%","155.76%","241.04%","181.66%","252.02%","252.78%","182.48%","206.45%","100.00%",""
"Tax","-519,510","-399,700","-262,610","-334,625","-269,625","-165,444","-277,892","-147,703","-179,307","-95,428","15.55%"
"YoY %","-29.97%","-52.20%","21.52%","-24.11%","-62.97%","40.46%","-88.14%","17.63%","-87.90%","-",""
"Horiz. %","544.40%","418.85%","275.19%","350.66%","282.54%","173.37%","291.21%","154.78%","187.90%","100.00%",""
"NP","385,950","549,197","489,860","829,828","607,992","1,052,095","943,284","733,859","818,048","387,677","3.40%"
"YoY %","-29.72%","12.11%","-40.97%","36.49%","-42.21%","11.54%","28.54%","-10.29%","111.01%","-",""
"Horiz. %","99.55%","141.66%","126.36%","214.05%","156.83%","271.38%","243.32%","189.30%","211.01%","100.00%",""
"NP to SH","549,008","679,850","627,687","969,953","612,353","933,903","754,291","631,159","798,888","373,463","7.69%"
"YoY %","-19.25%","8.31%","-35.29%","58.40%","-34.43%","23.81%","19.51%","-21.00%","113.91%","-",""
"Horiz. %","147.00%","182.04%","168.07%","259.72%","163.97%","250.07%","201.97%","169.00%","213.91%","100.00%",""
"Tax Rate","57.38    %","42.12    %","34.90    %","28.74    %","30.72    %","13.59    %","22.76    %","16.75    %","17.98    %","19.75    %","8.47%"
"YoY %","36.23%","20.69%","21.43%","-6.45%","126.05%","-40.29%","35.88%","-6.84%","-8.96%","-",""
"Horiz. %","290.53%","213.27%","176.71%","145.52%","155.54%","68.81%","115.24%","84.81%","91.04%","100.00%",""
"Total Cost","14,190,094","12,745,088","11,031,072","10,312,811","9,413,893","7,403,373","6,400,735","6,022,592","6,163,894","2,941,172","20.77%"
"YoY %","11.34%","15.54%","6.96%","9.55%","27.16%","15.66%","6.28%","-2.29%","109.57%","-",""
"Horiz. %","482.46%","433.33%","375.06%","350.64%","320.07%","251.72%","217.63%","204.77%","209.57%","100.00%",""
"Net Worth","22,191,750","22,191,750","21,152,362","21,916,086","21,975,571","22,321,758","19,428,708","18,009,935","14,931,182","8,087,154","14.71%"
"YoY %","0.00%","4.91%","-3.48%","-0.27%","-1.55%","14.89%","7.88%","20.62%","84.63%","-",""
"Horiz. %","274.41%","274.41%","261.56%","271.00%","271.73%","276.01%","240.24%","222.70%","184.63%","100.00%",""
"Div","-","252,817","252,817","247,173","246,916","246,195","244,899","1,622","-","-","-"
"YoY %","0.00%","0.00%","2.28%","0.10%","0.29%","0.53%","14,993.82%","0.00%","0.00%","-",""
"Horiz. %","0.00%","15,581.79%","15,581.79%","15,233.99%","15,218.13%","15,173.71%","15,093.82%","100.00%","-","-",""
"Div Payout %","-     %","37.19    %","40.28    %","25.48    %","40.32    %","26.36    %","32.47    %","0.26    %","-     %","-     %","-"
"YoY %","0.00%","-7.67%","58.08%","-36.81%","52.96%","-18.82%","12,388.46%","0.00%","0.00%","-",""
"Horiz. %","0.00%","14,303.85%","15,492.31%","9,800.00%","15,507.69%","10,138.46%","12,488.46%","100.00%","-","-",""
"Net Worth","22,191,750","22,191,750","21,152,362","21,916,086","21,975,571","22,321,758","19,428,708","18,009,935","14,931,182","8,087,154","14.71%"
"YoY %","0.00%","4.91%","-3.48%","-0.27%","-1.55%","14.89%","7.88%","20.62%","84.63%","-",""
"Horiz. %","274.41%","274.41%","261.56%","271.00%","271.73%","276.01%","240.24%","222.70%","184.63%","100.00%",""
"NOSH","8,771,443","8,771,443","8,427,236","8,239,130","8,230,551","8,206,528","8,163,322","8,112,583","6,977,187","4,543,345","9.22%"
"YoY %","0.00%","4.08%","2.28%","0.10%","0.29%","0.53%","0.63%","16.27%","53.57%","-",""
"Horiz. %","193.06%","193.06%","185.49%","181.35%","181.16%","180.63%","179.68%","178.56%","153.57%","100.00%",""
"NP Margin","2.65    %","4.13    %","4.25    %","7.45    %","6.07    %","12.44    %","12.84    %","10.86    %","11.72    %","11.65    %","-13.41%"
"YoY %","-35.84%","-2.82%","-42.95%","22.73%","-51.21%","-3.12%","18.23%","-7.34%","0.60%","-",""
"Horiz. %","22.75%","35.45%","36.48%","63.95%","52.10%","106.78%","110.21%","93.22%","100.60%","100.00%",""
"ROE","2.47    %","3.06    %","2.97    %","4.43    %","2.79    %","4.18    %","3.88    %","3.50    %","5.35    %","4.62    %","-6.11%"
