Column1,AQR,T4Q,31/12/18,31/12/17,31/12/16,31/12/15,&nbsp;-&nbsp;,CAGR
"Revenue","107,226","112,630","112,263","90,786","74,740","74,779","-","14.49%"
"YoY %","-4.80%","0.33%","23.66%","21.47%","-0.05%","-","-",""
"Horiz. %","143.39%","150.62%","150.13%","121.41%","99.95%","100.00%","-",""
"PBT","374","1,732","1,344","1,197","10,541","8,116","-","-45.06%"
"YoY %","-78.41%","28.87%","12.28%","-88.64%","29.88%","-","-",""
"Horiz. %","4.61%","21.34%","16.56%","14.75%","129.88%","100.00%","-",""
"Tax","-70","-306","-497","-766","-2,273","-2,314","-","-40.09%"
"YoY %","77.12%","38.43%","35.12%","66.30%","1.77%","-","-",""
"Horiz. %","3.03%","13.22%","21.48%","33.10%","98.23%","100.00%","-",""
"NP","304","1,426","847","431","8,268","5,802","-","-47.31%"
"YoY %","-78.68%","68.36%","96.52%","-94.79%","42.50%","-","-",""
"Horiz. %","5.24%","24.58%","14.60%","7.43%","142.50%","100.00%","-",""
"NP to SH","304","1,426","847","431","8,268","5,802","-","-47.31%"
"YoY %","-78.68%","68.36%","96.52%","-94.79%","42.50%","-","-",""
"Horiz. %","5.24%","24.58%","14.60%","7.43%","142.50%","100.00%","-",""
"Tax Rate","18.72    %","17.67    %","36.98    %","63.99    %","21.56    %","28.51    %","-   %","9.05%"
"YoY %","5.94%","-52.22%","-42.21%","196.80%","-24.38%","-","-",""
"Horiz. %","65.66%","61.98%","129.71%","224.45%","75.62%","100.00%","-",""
"Total Cost","106,922","111,204","111,416","90,355","66,472","68,977","-","17.31%"
"YoY %","-3.85%","-0.19%","23.31%","35.93%","-3.63%","-","-",""
"Horiz. %","155.01%","161.22%","161.53%","130.99%","96.37%","100.00%","-",""
"Net Worth","60,389","60,389","60,389","68,328","33,537","48,136","-","7.84%"
"YoY %","0.00%","0.00%","-11.62%","103.74%","-30.33%","-","-",""
"Horiz. %","125.45%","125.45%","125.45%","141.95%","69.67%","100.00%","-",""
"Div","-","8,661","4,330","4,330","-","-","-","-"
"YoY %","0.00%","100.00%","0.00%","0.00%","0.00%","-","-",""
"Horiz. %","0.00%","200.00%","100.00%","100.00%","-","-","-",""
"Div Payout %","-     %","607.39    %","511.30    %","1,004.80    %","-     %","-     %","-   %","-"
"YoY %","0.00%","18.79%","-49.11%","0.00%","0.00%","-","-",""
"Horiz. %","0.00%","60.45%","50.89%","100.00%","-","-","-",""
"Net Worth","60,389","60,389","60,389","68,328","33,537","48,136","-","7.84%"
"YoY %","0.00%","0.00%","-11.62%","103.74%","-30.33%","-","-",""
"Horiz. %","125.45%","125.45%","125.45%","141.95%","69.67%","100.00%","-",""
"NOSH","240,593","240,593","240,593","240,593","116,447","9,843","-","189.92%"
"YoY %","0.00%","0.00%","0.00%","106.61%","1,082.94%","-","-",""
"Horiz. %","2,444.09%","2,444.09%","2,444.09%","2,444.09%","1,182.94%","100.00%","-",""
"NP Margin","0.28    %","1.27    %","0.75    %","0.47    %","11.06    %","7.76    %","-   %","-54.08%"
