Column1,AQR,T4Q,31/03/19,31/03/18,31/03/17,31/03/16,31/12/14,31/12/13,31/12/12,CAGR
"Revenue","994,012","1,066,410","1,047,949","812,286","774,978","912,225","598,287","574,664","-","-"
"YoY %","-6.79%","1.76%","29.01%","4.81%","-15.05%","52.47%","4.11%","0.00%","-",""
"Horiz. %","172.97%","185.57%","182.36%","141.35%","134.86%","158.74%","104.11%","100.00%","-",""
"PBT","291,844","302,625","297,614","294,069","260,312","357,307","244,751","207,219","-","-"
"YoY %","-3.56%","1.68%","1.21%","12.97%","-27.15%","45.99%","18.11%","0.00%","-",""
"Horiz. %","140.84%","146.04%","143.62%","141.91%","125.62%","172.43%","118.11%","100.00%","-",""
"Tax","-73,652","-80,665","-80,050","-82,237","-75,034","-96,115","-62,140","-54,328","-","-"
"YoY %","8.69%","-0.77%","2.66%","-9.60%","21.93%","-54.67%","-14.38%","0.00%","-",""
"Horiz. %","135.57%","148.48%","147.35%","151.37%","138.11%","176.92%","114.38%","100.00%","-",""
"NP","218,192","221,960","217,564","211,832","185,278","261,192","182,611","152,891","-","-"
"YoY %","-1.70%","2.02%","2.71%","14.33%","-29.06%","43.03%","19.44%","0.00%","-",""
"Horiz. %","142.71%","145.18%","142.30%","138.55%","121.18%","170.84%","119.44%","100.00%","-",""
"NP to SH","218,192","221,960","217,564","211,832","185,278","261,192","182,611","152,891","-","-"
"YoY %","-1.70%","2.02%","2.71%","14.33%","-29.06%","43.03%","19.44%","0.00%","-",""
"Horiz. %","142.71%","145.18%","142.30%","138.55%","121.18%","170.84%","119.44%","100.00%","-",""
"Tax Rate","25.24    %","26.66    %","26.90    %","27.97    %","28.82    %","26.90    %","25.39    %","26.22    %","-     %","-"
"YoY %","-5.33%","-0.89%","-3.83%","-2.95%","7.14%","5.95%","-3.17%","0.00%","-",""
"Horiz. %","96.26%","101.68%","102.59%","106.67%","109.92%","102.59%","96.83%","100.00%","-",""
"Total Cost","775,820","844,450","830,385","600,454","589,700","651,033","415,676","421,773","-","-"
"YoY %","-8.13%","1.69%","38.29%","1.82%","-9.42%","56.62%","-1.45%","0.00%","-",""
"Horiz. %","183.94%","200.21%","196.88%","142.36%","139.81%","154.36%","98.55%","100.00%","-",""
"Net Worth","1,392,668","1,392,668","1,324,935","1,201,229","1,013,105","804,061","560,156","432,442","-","-"
"YoY %","0.00%","5.11%","10.30%","18.57%","26.00%","43.54%","29.53%","0.00%","-",""
"Horiz. %","322.05%","322.05%","306.38%","277.78%","234.28%","185.93%","129.53%","100.00%","-",""
"Div","92,331","94,588","95,982","100,724","78,259","99,355","70,953","850","-","-"
"YoY %","-2.39%","-1.45%","-4.71%","28.71%","-21.23%","40.03%","8,240.49%","0.00%","-",""
"Horiz. %","10,853.51%","11,118.75%","11,282.67%","11,840.05%","9,199.36%","11,679.16%","8,340.49%","100.00%","-",""
"Div Payout %","42.32    %","42.61    %","44.12    %","47.55    %","42.24    %","38.04    %","38.85    %","0.56    %","-     %","-"
"YoY %","-0.68%","-3.42%","-7.21%","12.57%","11.04%","-2.08%","6,837.50%","0.00%","-",""
"Horiz. %","7,557.14%","7,608.93%","7,878.57%","8,491.07%","7,542.86%","6,792.86%","6,937.50%","100.00%","-",""
"Net Worth","1,392,668","1,392,668","1,324,935","1,201,229","1,013,105","804,061","560,156","432,442","-","-"
"YoY %","0.00%","5.11%","10.30%","18.57%","26.00%","43.54%","29.53%","0.00%","-",""
"Horiz. %","322.05%","322.05%","306.38%","277.78%","234.28%","185.93%","129.53%","100.00%","-",""
"NOSH","769,430","769,430","752,804","746,105","569,160","557,779","373,437","236,307","-","-"
"YoY %","0.00%","2.21%","0.90%","31.09%","2.04%","49.36%","58.03%","0.00%","-",""
"Horiz. %","325.61%","325.61%","318.57%","315.73%","240.86%","236.04%","158.03%","100.00%","-",""
"NP Margin","21.95    %","20.81    %","20.76    %","26.08    %","23.91    %","28.63    %","30.52    %","26.61    %","-     %","-"
"YoY %","5.48%","0.24%","-20.40%","9.08%","-16.49%","-6.19%","14.69%","0.00%","-",""
"Horiz. %","82.49%","78.20%","78.02%","98.01%","89.85%","107.59%","114.69%","100.00%","-",""
"ROE","15.67    %","15.94    %","16.42    %","17.63    %","18.29    %","32.48    %","32.60    %","35.36    %","-     %","-"
