Date,Open Price,Target Price,Upside/Downside,Price Call,Source
"13/09/2019","0.83","1.02","+0.19 (22.89%)","TRADING BUY","PUBLIC BANK"
"26/08/2019","0.865","1.02","+0.155 (17.92%)","TRADING BUY","PUBLIC BANK"
"26/08/2019","0.875","1.00","+0.125 (14.29%)","BUY","KENANGA"
"26/08/2019","0.865","0.82","-0.045 (5.20%)","HOLD","BIMB"
"26/08/2019","0.865","1.00","+0.135 (15.61%)","BUY","AmInvest"
"14/08/2019","0.865","1.00","+0.135 (15.61%)","BUY","AmInvest"
"18/07/2019","0.89","1.00","+0.11 (12.36%)","BUY","AmInvest"
"12/07/2019","0.86","1.02","+0.16 (18.60%)","TRADING BUY","PUBLIC BANK"
"12/07/2019","0.86","1.00","+0.14 (16.28%)","BUY","KENANGA"
"12/07/2019","0.87","0.90","+0.03 (3.45%)","HOLD","AmInvest"

