Column1,AQR,T4Q,31/12/18,31/12/17,31/12/16,31/12/15,31/12/14,31/12/13,CAGR
"Revenue","53,030","64,010","69,504","54,785","47,724","29,720","27,115","24,570","23.10%"
"YoY %","-17.15%","-7.90%","26.87%","14.80%","60.58%","9.61%","10.36%","-",""
"Horiz. %","215.83%","260.52%","282.88%","222.98%","194.24%","120.96%","110.36%","100.00%",""
"PBT","6,602","12,995","14,412","9,503","8,074","7,302","6,786","7,540","13.83%"
"YoY %","-49.20%","-9.83%","51.66%","17.70%","10.57%","7.60%","-10.00%","-",""
"Horiz. %","87.56%","172.35%","191.14%","126.03%","107.08%","96.84%","90.00%","100.00%",""
"Tax","-658","-2,577","-2,360","-1,819","193","-844","-489","-1,201","14.46%"
"YoY %","74.47%","-9.19%","-29.74%","-1,042.49%","122.87%","-72.60%","59.28%","-",""
"Horiz. %","54.79%","214.57%","196.50%","151.46%","-16.07%","70.27%","40.72%","100.00%",""
"NP","5,944","10,418","12,052","7,684","8,267","6,458","6,297","6,339","13.70%"
"YoY %","-42.94%","-13.56%","56.85%","-7.05%","28.01%","2.56%","-0.66%","-",""
"Horiz. %","93.77%","164.35%","190.12%","121.22%","130.41%","101.88%","99.34%","100.00%",""
"NP to SH","5,784","10,111","11,998","8,070","8,829","6,796","6,432","6,295","13.76%"
"YoY %","-42.79%","-15.73%","48.67%","-8.60%","29.91%","5.66%","2.18%","-",""
"Horiz. %","91.88%","160.62%","190.60%","128.20%","140.25%","107.96%","102.18%","100.00%",""
"Tax Rate","9.97    %","19.83    %","16.38    %","19.14    %","-2.39    %","11.56    %","7.21    %","15.93    %","0.56%"
"YoY %","-49.72%","21.06%","-14.42%","900.84%","-120.67%","60.33%","-54.74%","-",""
"Horiz. %","62.59%","124.48%","102.82%","120.15%","-15.00%","72.57%","45.26%","100.00%",""
"Total Cost","47,086","53,592","57,452","47,101","39,457","23,262","20,818","18,231","25.79%"
"YoY %","-12.14%","-6.72%","21.98%","19.37%","69.62%","11.74%","14.19%","-",""
"Horiz. %","258.27%","293.96%","315.13%","258.36%","216.43%","127.60%","114.19%","100.00%",""
"Net Worth","160,342","160,342","153,288","135,654","97,639","78,305","54,290","48,431","25.90%"
"YoY %","0.00%","4.60%","13.00%","38.93%","24.69%","44.23%","12.10%","-",""
"Horiz. %","331.07%","331.07%","316.50%","280.09%","201.60%","161.68%","112.10%","100.00%",""
"Div","-","0","915","808","-","-","472","-","-"
"YoY %","0.00%","0.00%","13.23%","0.00%","0.00%","0.00%","0.00%","-",""
"Horiz. %","0.00%","0.00%","193.78%","171.13%","0.00%","0.00%","100.00%","-",""
"Div Payout %","-     %","-     %","7.63    %","10.02    %","-     %","-     %","7.34    %","-     %","-"
"YoY %","0.00%","0.00%","-23.85%","0.00%","0.00%","0.00%","0.00%","-",""
"Horiz. %","0.00%","0.00%","103.95%","136.51%","0.00%","0.00%","100.00%","-",""
"Net Worth","160,342","160,342","153,288","135,654","97,639","78,305","54,290","48,431","25.90%"
"YoY %","0.00%","4.60%","13.00%","38.93%","24.69%","44.23%","12.10%","-",""
"Horiz. %","331.07%","331.07%","316.50%","280.09%","201.60%","161.68%","112.10%","100.00%",""
"NOSH","860,209","860,209","832,187","808,431","666,029","435,512","363,389","283,558","24.01%"
"YoY %","0.00%","3.37%","2.94%","21.38%","52.93%","19.85%","28.15%","-",""
"Horiz. %","303.36%","303.36%","293.48%","285.10%","234.88%","153.59%","128.15%","100.00%",""
"NP Margin","11.21    %","16.28    %","17.34    %","14.03    %","17.32    %","21.73    %","23.22    %","25.80    %","-7.64%"
"YoY %","-31.14%","-6.11%","23.59%","-19.00%","-20.29%","-6.42%","-10.00%","-",""
"Horiz. %","43.45%","63.10%","67.21%","54.38%","67.13%","84.22%","90.00%","100.00%",""
"ROE","3.61    %","6.31    %","7.83    %","5.95    %","9.04    %","8.68    %","11.85    %","13.00    %","-9.64%"
"YoY %","-42.79%","-19.41%","31.60%","-34.18%","4.15%","-26.75%","-8.85%","-",""
"Horiz. %","27.77%","48.54%","60.23%","45.77%","69.54%","66.77%","91.15%","100.00%",""
"RPS","6.16","7.44","8.35","6.78","7.17","6.82","7.46","8.66","-0.73%"
"YoY %","-17.20%","-10.90%","23.16%","-5.44%","5.13%","-8.58%","-13.86%","-",""
"Horiz. %","71.13%","85.91%","96.42%","78.29%","82.79%","78.75%","86.14%","100.00%",""
"EPS","0.68","1.18","1.47","1.02","1.32","1.55","1.77","2.22","-7.91%"
"YoY %","-42.37%","-19.73%","44.12%","-22.73%","-14.84%","-12.43%","-20.27%","-",""
"Horiz. %","30.63%","53.15%","66.22%","45.95%","59.46%","69.82%","79.73%","100.00%",""
"DPS","0.00","0.00","0.11","0.10","0.00","0.00","0.13","0.00","-"
"YoY %","0.00%","0.00%","10.00%","0.00%","0.00%","0.00%","0.00%","-",""
"Horiz. %","0.00%","0.00%","84.62%","76.92%","0.00%","0.00%","100.00%","-",""
"NAPS","0.1864","0.1864","0.1842","0.1678","0.1466","0.1798","0.1494","0.1708","1.52%"
"YoY %","0.00%","1.19%","9.77%","14.46%","-18.46%","20.35%","-12.53%","-",""
"Horiz. %","109.13%","109.13%","107.85%","98.24%","85.83%","105.27%","87.47%","100.00%",""
"RPS","6.16","7.44","8.08","6.37","5.55","3.45","3.15","2.86","23.07%"
"YoY %","-17.20%","-7.92%","26.84%","14.77%","60.87%","9.52%","10.14%","-",""
"Horiz. %","215.38%","260.14%","282.52%","222.73%","194.06%","120.63%","110.14%","100.00%",""
