Column1,AQR,T4Q,31/03/19,31/03/18,31/03/17,31/03/16,31/03/15,31/03/14,31/12/12,31/12/11,CAGR
"Revenue","233,264","221,120","219,559","258,601","318,353","241,310","233,335","260,741","178,729","0","-"
"YoY %","5.49%","0.71%","-15.10%","-18.77%","31.93%","3.42%","-10.51%","45.89%","0.00%","-",""
"Horiz. %","130.51%","123.72%","122.84%","144.69%","178.12%","135.01%","130.55%","145.89%","100.00%","-",""
"PBT","57,952","44,373","40,474","70,341","71,868","65,100","62,548","93,744","35,432","0","-"
"YoY %","30.60%","9.63%","-42.46%","-2.12%","10.40%","4.08%","-33.28%","164.57%","0.00%","-",""
"Horiz. %","163.56%","125.23%","114.23%","198.52%","202.83%","183.73%","176.53%","264.57%","100.00%","-",""
"Tax","-1,944","-2,922","-4,039","-3,220","-9,368","-2,208","-3,154","-11,845","-7,314","0","-"
"YoY %","33.47%","27.66%","-25.43%","65.63%","-324.28%","29.99%","73.37%","-61.95%","0.00%","-",""
"Horiz. %","26.58%","39.95%","55.22%","44.03%","128.08%","30.19%","43.12%","161.95%","100.00%","-",""
"NP","56,008","41,451","36,435","67,121","62,500","62,892","59,394","81,899","28,118","0","-"
"YoY %","35.12%","13.77%","-45.72%","7.39%","-0.62%","5.89%","-27.48%","191.27%","0.00%","-",""
"Horiz. %","199.19%","147.42%","129.58%","238.71%","222.28%","223.67%","211.23%","291.27%","100.00%","-",""
"NP to SH","56,036","41,545","36,533","67,244","62,656","63,048","59,482","81,899","28,118","0","-"
"YoY %","34.88%","13.72%","-45.67%","7.32%","-0.62%","6.00%","-27.37%","191.27%","0.00%","-",""
"Horiz. %","199.29%","147.75%","129.93%","239.15%","222.83%","224.23%","211.54%","291.27%","100.00%","-",""
"Tax Rate","3.35    %","6.59    %","9.98    %","4.58    %","13.04    %","3.39    %","5.04    %","12.64    %","20.64    %","-     %","-"
"YoY %","-49.17%","-33.97%","117.90%","-64.88%","284.66%","-32.74%","-60.13%","-38.76%","0.00%","-",""
"Horiz. %","16.23%","31.93%","48.35%","22.19%","63.18%","16.42%","24.42%","61.24%","100.00%","-",""
"Total Cost","177,256","179,669","183,124","191,480","255,853","178,418","173,941","178,842","150,611","0","-"
"YoY %","-1.34%","-1.89%","-4.36%","-25.16%","43.40%","2.57%","-2.74%","18.74%","0.00%","-",""
"Horiz. %","117.69%","119.29%","121.59%","127.14%","169.88%","118.46%","115.49%","118.74%","100.00%","-",""
"Net Worth","269,942","269,942","263,249","267,164","260,820","245,429","222,884","177,976","93,853","-","-"
"YoY %","0.00%","2.54%","-1.47%","2.43%","6.27%","10.12%","25.23%","89.63%","0.00%","-",""
"Horiz. %","287.62%","287.62%","280.49%","284.66%","277.90%","261.50%","237.48%","189.63%","100.00%","-",""
"Div","40,410","30,352","33,750","54,000","54,000","40,500","27,000","64,141","3,815","-","-"
"YoY %","33.14%","-10.07%","-37.50%","0.00%","33.33%","50.00%","-57.91%","1,581.22%","0.00%","-",""
"Horiz. %","1,059.20%","795.57%","884.62%","1,415.39%","1,415.39%","1,061.54%","707.70%","1,681.22%","100.00%","-",""
"Div Payout %","72.12    %","73.06    %","92.38    %","80.30    %","86.18    %","64.24    %","45.39    %","78.32    %","13.57    %","-     %","-"
"YoY %","-1.29%","-20.91%","15.04%","-6.82%","34.15%","41.53%","-42.05%","477.16%","0.00%","-",""
"Horiz. %","531.47%","538.39%","680.77%","591.75%","635.08%","473.40%","334.49%","577.16%","100.00%","-",""
"Net Worth","269,942","269,942","263,249","267,164","260,820","245,429","222,884","177,976","93,853","-","-"
"YoY %","0.00%","2.54%","-1.47%","2.43%","6.27%","10.12%","25.23%","89.63%","0.00%","-",""
"Horiz. %","287.62%","287.62%","280.49%","284.66%","277.90%","261.50%","237.48%","189.63%","100.00%","-",""
"NOSH","1,347,019","1,347,019","1,350,000","1,350,000","1,350,000","1,350,000","1,350,000","675,177","76,303","-","-"
"YoY %","0.00%","-0.22%","0.00%","0.00%","0.00%","0.00%","99.95%","784.85%","0.00%","-",""
"Horiz. %","1,765.33%","1,765.33%","1,769.24%","1,769.24%","1,769.24%","1,769.24%","1,769.24%","884.85%","100.00%","-",""
"NP Margin","24.01    %","18.75    %","16.59    %","25.96    %","19.63    %","26.06    %","25.45    %","31.41    %","15.73    %","-     %","-"
"YoY %","28.05%","13.02%","-36.09%","32.25%","-24.67%","2.40%","-18.97%","99.68%","0.00%","-",""
"Horiz. %","152.64%","119.20%","105.47%","165.03%","124.79%","165.67%","161.79%","199.68%","100.00%","-",""
"ROE","20.76    %","15.39    %","13.88    %","25.17    %","24.02    %","25.69    %","26.69    %","46.02    %","29.96    %","-     %","-"
"YoY %","34.89%","10.88%","-44.85%","4.79%","-6.50%","-3.75%","-42.00%","53.60%","0.00%","-",""
"Horiz. %","69.29%","51.37%","46.33%","84.01%","80.17%","85.75%","89.09%","153.60%","100.00%","-",""
"RPS","17.32","16.42","16.26","19.16","23.58","17.87","17.28","38.62","234.23","-","-"
"YoY %","5.48%","0.98%","-15.14%","-18.74%","31.95%","3.41%","-55.26%","-83.51%","0.00%","-",""
"Horiz. %","7.39%","7.01%","6.94%","8.18%","10.07%","7.63%","7.38%","16.49%","100.00%","-",""
"EPS","4.16","3.08","2.71","4.98","4.64","4.67","4.41","12.13","36.85","0.00","-"
"YoY %","35.06%","13.65%","-45.58%","7.33%","-0.64%","5.90%","-63.64%","-67.08%","0.00%","-",""
"Horiz. %","11.29%","8.36%","7.35%","13.51%","12.59%","12.67%","11.97%","32.92%","100.00%","-",""
"DPS","3.00","2.25","2.50","4.00","4.00","3.00","2.00","9.50","5.00","0.00","-"
"YoY %","33.33%","-10.00%","-37.50%","0.00%","33.33%","50.00%","-78.95%","90.00%","0.00%","-",""
"Horiz. %","60.00%","45.00%","50.00%","80.00%","80.00%","60.00%","40.00%","190.00%","100.00%","-",""
"NAPS","0.2004","0.2004","0.1950","0.1979","0.1932","0.1818","0.1651","0.2636","1.2300","0.0000","-"
"YoY %","0.00%","2.77%","-1.47%","2.43%","6.27%","10.12%","-37.37%","-78.57%","0.00%","-",""
"Horiz. %","16.29%","16.29%","15.85%","16.09%","15.71%","14.78%","13.42%","21.43%","100.00%","-",""
"RPS","17.32","16.42","16.30","19.20","23.63","17.91","17.32","19.36","13.27","-","-"
"YoY %","5.48%","0.74%","-15.10%","-18.75%","31.94%","3.41%","-10.54%","45.89%","0.00%","-",""
"Horiz. %","130.52%","123.74%","122.83%","144.69%","178.07%","134.97%","130.52%","145.89%","100.00%","-",""
"EPS","4.16","3.08","2.71","4.99","4.65","4.68","4.42","6.08","2.09","0.00","-"
"YoY %","35.06%","13.65%","-45.69%","7.31%","-0.64%","5.88%","-27.30%","190.91%","0.00%","-",""
"Horiz. %","199.04%","147.37%","129.67%","238.76%","222.49%","223.92%","211.48%","290.91%","100.00%","-",""
"DPS","3.00","2.25","2.51","4.01","4.01","3.01","2.00","4.76","0.28","0.00","-"
"YoY %","33.33%","-10.36%","-37.41%","0.00%","33.22%","50.50%","-57.98%","1,600.00%","0.00%","-",""
"Horiz. %","1,071.43%","803.57%","896.43%","1,432.14%","1,432.14%","1,075.00%","714.29%","1,700.00%","100.00%","-",""
"NAPS","0.2004","0.2004","0.1954","0.1983","0.1936","0.1822","0.1655","0.1321","0.0697","0.0000","-"
"YoY %","0.00%","2.56%","-1.46%","2.43%","6.26%","10.09%","25.28%","89.53%","0.00%","-",""
"Horiz. %","287.52%","287.52%","280.34%","284.51%","277.76%","261.41%","237.45%","189.53%","100.00%","-",""
"Date","AQR","T4Q","29/03/19","30/03/18","31/03/17","31/03/16","31/03/15","31/12/13","31/12/12","-","-"
"Price","0.5650","0.5650","0.5150","0.8800","1.2600","1.3000","1.1400","2.1900","2.0200","0.0000","-"
"P/RPS","3.26","3.44","3.17","4.59","5.34","7.27","6.60","5.67","0.86","0.00","-"
"YoY %","-5.23%","8.52%","-30.94%","-14.04%","-26.55%","10.15%","16.40%","559.30%","0.00%","-",""
"Horiz. %","379.07%","400.00%","368.60%","533.72%","620.93%","845.35%","767.44%","659.30%","100.00%","-",""
"P/EPS","13.58","18.32","19.03","17.67","27.15","27.84","25.87","18.05","5.48","0.00","-"
"YoY %","-25.87%","-3.73%","7.70%","-34.92%","-2.48%","7.61%","43.32%","229.38%","0.00%","-",""
