Date,Open Price,Target Price,Upside/Downside,Price Call,Source
"06/09/2019","5.89","6.45","+0.56 (9.51%)","HOLD","HLG"
"30/08/2019","6.01","8.60","+2.59 (43.09%)","BUY","PUBLIC BANK"
"30/08/2019","6.01","6.75","+0.74 (12.31%)","BUY","KENANGA"
"30/08/2019","6.01","6.45","+0.44 (7.32%)","HOLD","HLG"
"30/08/2019","6.01","9.00","+2.99 (49.75%)","BUY","AffinHwang"
"05/08/2019","6.71","9.25","+2.54 (37.85%)","BUY","PUBLIC BANK"
"05/08/2019","6.71","7.65","+0.94 (14.01%)","BUY","KENANGA"
"05/08/2019","6.71","9.00","+2.29 (34.13%)","BUY","AffinHwang"
"04/07/2019","6.84","6.80","-0.04 (0.58%)","HOLD","HLG"
"30/05/2019","6.31","6.77","+0.46 (7.29%)","HOLD","HLG"

