Column1,AQR,T4Q,31/12/18,31/12/17,31/12/16,31/12/15,31/12/14,31/12/13,31/12/12,CAGR
"Horiz. %","117.63%","118.11%","119.32%","116.00%","114.02%","113.74%","114.86%","108.93%","100.00%",""
"EPS","39.97","49.12","40.15","48.63","49.08","62.68","51.95","45.73","81.10","-11.05%"
"YoY %","-18.63%","22.34%","-17.44%","-0.92%","-21.70%","20.65%","13.60%","-43.61%","-",""
"Horiz. %","49.28%","60.57%","49.51%","59.96%","60.52%","77.29%","64.06%","56.39%","100.00%",""
"DPS","34.80","36.45","37.00","36.15","35.65","34.65","33.64","28.94","8.54","27.67%"
"YoY %","-4.53%","-1.49%","2.35%","1.40%","2.89%","3.00%","16.24%","238.88%","-",""
"Horiz. %","407.49%","426.81%","433.26%","423.30%","417.45%","405.74%","393.91%","338.88%","100.00%",""
"NAPS","7.2400","7.2400","7.2500","7.2200","7.0900","6.9500","6.6600","6.4800","4.2892","9.14%"
"YoY %","0.00%","-0.14%","0.42%","1.83%","2.01%","4.35%","2.78%","51.08%","-",""
"Horiz. %","168.80%","168.80%","169.03%","168.33%","165.30%","162.03%","155.27%","151.08%","100.00%",""
"Date","AQR","T4Q","31/12/18","29/12/17","30/12/16","31/12/15","31/12/14","31/12/13","-","-"
"Price","7.6000","7.6000","7.6600","8.6400","8.3000","7.0600","6.7100","5.8500","0.0000","-"
"P/RPS","9.90","9.86","9.84","11.41","11.15","9.51","8.95","8.23","0.00","-"
"YoY %","0.41%","0.20%","-13.76%","2.33%","17.24%","6.26%","8.75%","0.00%","-",""
"Horiz. %","120.29%","119.81%","119.56%","138.64%","135.48%","115.55%","108.75%","100.00%","-",""
"P/EPS","19.01","15.47","19.08","17.77","16.91","11.26","12.92","12.79","0.00","-"
"YoY %","22.88%","-18.92%","7.37%","5.09%","50.18%","-12.85%","1.02%","0.00%","-",""
"Horiz. %","148.63%","120.95%","149.18%","138.94%","132.21%","88.04%","101.02%","100.00%","-",""
"EY","5.26","6.46","5.24","5.63","5.91","8.88","7.74","7.82","0.00","-"
"YoY %","-18.58%","23.28%","-6.93%","-4.74%","-33.45%","14.73%","-1.02%","0.00%","-",""
"Horiz. %","67.26%","82.61%","67.01%","71.99%","75.58%","113.55%","98.98%","100.00%","-",""
"DY","4.58","4.80","4.83","4.18","4.30","4.91","5.01","4.95","0.00","-"
"YoY %","-4.58%","-0.62%","15.55%","-2.79%","-12.42%","-2.00%","1.21%","0.00%","-",""
"Horiz. %","92.53%","96.97%","97.58%","84.44%","86.87%","99.19%","101.21%","100.00%","-",""
"P/NAPS","1.05","1.05","1.06","1.20","1.17","1.02","1.01","0.90","0.00","-"
"YoY %","0.00%","-0.94%","-11.67%","2.56%","14.71%","0.99%","12.22%","0.00%","-",""
"Horiz. %","116.67%","116.67%","117.78%","133.33%","130.00%","113.33%","112.22%","100.00%","-",""
