Column1,AQR,T4Q,31/05/18,31/05/17,31/05/16,31/12/14,31/12/13,31/12/12,31/12/11,31/12/10,31/12/09,CAGR
"Price","0.0850","0.0850","0.1250","0.1900","0.1400","0.1650","0.2500","0.3100","0.4100","0.5100","0.0000","-"
"P/RPS","0.78","0.85","0.30","0.33","0.10","0.08","0.11","0.12","0.13","0.11","0.00","-"
"YoY %","-8.24%","183.33%","-9.09%","230.00%","25.00%","-27.27%","-8.33%","-7.69%","18.18%","0.00%","-",""
"Horiz. %","709.09%","772.73%","272.73%","300.00%","90.91%","72.73%","100.00%","109.09%","118.18%","100.00%","-",""
"P/EPS","-4.35","-4.75","-3.29","-10.12","-0.47","-1.21","-0.87","-1.15","13.18","-27.42","0.00","-"
"YoY %","8.42%","-44.38%","67.49%","-2,053.19%","61.16%","-39.08%","24.35%","-108.73%","148.07%","0.00%","-",""
"Horiz. %","15.86%","17.32%","12.00%","36.91%","1.71%","4.41%","3.17%","4.19%","-48.07%","100.00%","-",""
"EY","-22.98","-21.07","-30.41","-9.88","-214.86","-82.55","-114.96","-87.02","7.59","-3.65","0.00","-"
"YoY %","-9.07%","30.71%","-207.79%","95.40%","-160.28%","28.19%","-32.11%","-1,246.51%","307.95%","0.00%","-",""
"Horiz. %","629.59%","577.26%","833.15%","270.68%","5,886.58%","2,261.64%","3,149.59%","2,384.11%","-207.95%","100.00%","-",""
"DY","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","-"
"YoY %","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","-",""
"Horiz. %","-","-","-","-","-","-","-","-","-","-","-",""
"P/NAPS","0.62","0.62","0.98","1.43","0.70","0.41","0.40","0.34","0.34","0.38","0.00","-"
"YoY %","0.00%","-36.73%","-31.47%","104.29%","70.73%","2.50%","17.65%","0.00%","-10.53%","0.00%","-",""
"Horiz. %","163.16%","163.16%","257.89%","376.32%","184.21%","107.89%","105.26%","89.47%","89.47%","100.00%","-",""
"Date","AQR","T4Q","30/07/18","31/07/17","29/07/16","27/02/15","28/02/14","28/02/13","29/02/12","28/02/11","-","-"
"Price","0.0850","0.0850","0.1300","0.2000","0.1200","0.1700","0.2450","0.3100","0.4000","0.4900","0.0000","-"
"P/RPS","0.78","0.85","0.31","0.35","0.09","0.08","0.11","0.12","0.13","0.10","0.00","-"
"YoY %","-8.24%","174.19%","-11.43%","288.89%","12.50%","-27.27%","-8.33%","-7.69%","30.00%","0.00%","-",""
"Horiz. %","780.00%","850.00%","310.00%","350.00%","90.00%","80.00%","110.00%","120.00%","130.00%","100.00%","-",""
"P/EPS","-4.35","-4.75","-3.42","-10.66","-0.40","-1.25","-0.85","-1.15","12.86","-26.34","0.00","-"
"YoY %","8.42%","-38.89%","67.92%","-2,565.00%","68.00%","-47.06%","26.09%","-108.94%","148.82%","0.00%","-",""
"Horiz. %","16.51%","18.03%","12.98%","40.47%","1.52%","4.75%","3.23%","4.37%","-48.82%","100.00%","-",""
"EY","-22.98","-21.07","-29.24","-9.38","-250.67","-80.12","-117.31","-87.02","7.78","-3.80","0.00","-"
"YoY %","-9.07%","27.94%","-211.73%","96.26%","-212.87%","31.70%","-34.81%","-1,218.51%","304.74%","0.00%","-",""
"Horiz. %","604.74%","554.47%","769.47%","246.84%","6,596.58%","2,108.42%","3,087.11%","2,290.00%","-204.74%","100.00%","-",""
"DY","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","-"
"YoY %","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","-",""
"Horiz. %","-","-","-","-","-","-","-","-","-","-","-",""
"P/NAPS","0.62","0.62","1.02","1.50","0.60","0.43","0.39","0.34","0.33","0.37","0.00","-"
"YoY %","0.00%","-39.22%","-32.00%","150.00%","39.53%","10.26%","14.71%","3.03%","-10.81%","0.00%","-",""
"Horiz. %","167.57%","167.57%","275.68%","405.41%","162.16%","116.22%","105.41%","91.89%","89.19%","100.00%","-",""

