Column1,AQR,T4Q,31/12/18,31/12/17,31/12/16,31/12/15,31/12/14,31/12/13,CAGR
"YoY %","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","-",""
"Horiz. %","-","-","-","-","-","-","-","-",""
"NAPS","0.2260","0.2260","0.2137","0.2336","0.2270","0.2273","0.1746","0.1080","14.62%"
"YoY %","0.00%","5.76%","-8.52%","2.91%","-0.13%","30.18%","61.67%","-",""
"Horiz. %","209.26%","209.26%","197.87%","216.30%","210.19%","210.46%","161.67%","100.00%",""
"Date","AQR","T4Q","31/12/18","29/12/17","30/12/16","31/12/15","31/12/14","-","-"
"Price","0.1250","0.1250","0.1400","0.2850","0.2750","0.6050","0.4300","0.0000","-"
"P/RPS","0.42","0.39","0.38","0.76","1.00","2.05","0.84","0.00","-"
"YoY %","7.69%","2.63%","-50.00%","-24.00%","-51.22%","144.05%","0.00%","-",""
"Horiz. %","50.00%","46.43%","45.24%","90.48%","119.05%","244.05%","100.00%","-",""
"P/EPS","52.93","-15.93","-12.51","239.73","1,884.26","21.22","7.51","0.00","-"
"YoY %","432.27%","-27.34%","-105.22%","-87.28%","8,779.64%","182.56%","0.00%","-",""
"Horiz. %","704.79%","-212.12%","-166.58%","3,192.14%","25,090.01%","282.56%","100.00%","-",""
"EY","1.89","-6.28","-8.00","0.42","0.05","4.71","13.31","0.00","-"
"YoY %","130.10%","21.50%","-2,004.76%","740.00%","-98.94%","-64.61%","0.00%","-",""
"Horiz. %","14.20%","-47.18%","-60.11%","3.16%","0.38%","35.39%","100.00%","-",""
"DY","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","-"
"YoY %","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","-",""
"Horiz. %","-","-","-","-","-","-","-","-",""
"P/NAPS","0.55","0.55","0.60","1.11","1.10","2.42","1.30","0.00","-"
"YoY %","0.00%","-8.33%","-45.95%","0.91%","-54.55%","86.15%","0.00%","-",""
"Horiz. %","42.31%","42.31%","46.15%","85.38%","84.62%","186.15%","100.00%","-",""
"Date","AQR","T4Q","26/02/19","27/02/18","28/02/17","29/02/16","26/02/15","-","-"
"Price","0.1550","0.1550","0.1300","0.2450","0.2900","0.4450","0.4950","0.0000","-"
"P/RPS","0.51","0.48","0.35","0.66","1.06","1.51","0.97","0.00","-"
"YoY %","6.25%","37.14%","-46.97%","-37.74%","-29.80%","55.67%","0.00%","-",""
"Horiz. %","52.58%","49.48%","36.08%","68.04%","109.28%","155.67%","100.00%","-",""
"P/EPS","65.63","-19.76","-11.61","206.08","1,987.04","15.61","8.65","0.00","-"
"YoY %","432.14%","-70.20%","-105.63%","-89.63%","12,629.28%","80.46%","0.00%","-",""
"Horiz. %","758.73%","-228.44%","-134.22%","2,382.43%","22,971.56%","180.46%","100.00%","-",""
"EY","1.52","-5.06","-8.61","0.49","0.05","6.41","11.56","0.00","-"
"YoY %","130.04%","41.23%","-1,857.14%","880.00%","-99.22%","-44.55%","0.00%","-",""
"Horiz. %","13.15%","-43.77%","-74.48%","4.24%","0.43%","55.45%","100.00%","-",""
"DY","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","-"
"YoY %","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","-",""
"Horiz. %","-","-","-","-","-","-","-","-",""
"P/NAPS","0.69","0.69","0.56","0.95","1.16","1.78","1.50","0.00","-"
"YoY %","0.00%","23.21%","-41.05%","-18.10%","-34.83%","18.67%","0.00%","-",""
"Horiz. %","46.00%","46.00%","37.33%","63.33%","77.33%","118.67%","100.00%","-",""

