F.Y.,Ann. Date,Quarter,#,Revenue,PBT,NP,NP to SH,Div,Net Worth,Div Payout %,NP Margin,ROE,NOSH,RPS,Adj. RPS,EPS,Adj. EPS,DPS,Adj. DPS,NAPS,Adj. NAPS,QoQ,YoY,EOQ Date,EOQ Price,EOQ P/RPS,EOQ P/EPS,EOQ P/NAPS,EOQ EY,EOQ DY,ANN Date,ANN Price,ANN P/RPS,ANN P/EPS,ANN P/NAPS,ANN EY,ANN DY
"30-Jun-2018","30-Aug-2018","30-Jun-2018","4","13,159","1,247","946","946","-","19,982","- %","7.19%","4.73%","333,037","3.95","3.95","0.28","0.28","0.00","0.00","0.0600","0.06"," 118.62%"," 135.86%","29-Jun-2018","0.04","1.01","14.08","0.67","7.10%","0.00%","30-Aug-2018","0.04","1.01","14.08","0.67","7.10%","0.00%"
"30-Jun-2018","23-May-2018","31-Mar-2018","3","9,762","-5,080","-5,080","-5,080","-","13,321","- %","-52.04%","-38.13%","333,037","2.93","2.93","-1.53","-1.53","0.00","0.00","0.0400","0.04"," -100.16%"," -353.11%","30-Mar-2018","0.04","1.36","-2.62","1.00","-38.13%","0.00%","","0.04","1.36","-2.62","1.00","-38.13%","0.00%"
"30-Jun-2018","28-Feb-2018","31-Dec-2017","2","7,226","-2,538","-2,538","-2,538","-","16,651","- %","-35.12%","-15.24%","333,037","2.17","2.17","-0.76","-0.76","0.00","0.00","0.0500","0.05"," -407.60%"," -200.04%","29-Dec-2017","0.055","2.53","-7.22","1.10","-13.86%","0.00%","28-Feb-2018","0.055","2.53","-7.22","1.10","-13.86%","0.00%"
"30-Jun-2018","28-Nov-2017","30-Sep-2017","1","2,225","-500","-500","-500","-","19,982","- %","-22.47%","-2.50%","333,037","0.67","0.67","-0.15","-0.15","0.00","0.00","0.0600","0.06"," 81.05%"," -115.83%","29-Sep-2017","0.06","8.98","-39.96","1.00","-2.50%","0.00%","28-Nov-2017","0.065","9.73","-43.29","1.08","-2.31%","0.00%"
"30-Jun-2017","30-Aug-2017","30-Jun-2017","4","14,791","-3,379","-3,767","-2,638","-","19,982","- %","-25.47%","-13.20%","333,037","4.44","4.44","-0.85","-0.79","0.00","0.00","0.0600","0.06"," -231.44%"," -389.89%","30-Jun-2017","0.10","2.25","-12.62","1.67","-7.92%","0.00%","30-Aug-2017","0.06","1.35","-7.57","1.00","-13.20%","0.00%"
"30-Jun-2017","30-May-2017","31-Mar-2017","3","12,772","1,136","1,136","2,007","-","24,732","- %","8.89%","8.11%","309,153","4.13","3.83","0.66","0.60","0.00","0.00","0.0800","0.07"," -20.89%"," 9.25%","31-Mar-2017","0.095","2.30","14.63","1.19","6.83%","0.00%","30-May-2017","0.09","2.18","13.86","1.13","7.21%","0.00%"
"30-Jun-2017","28-Feb-2017","31-Dec-2016","2","9,388","1,899","1,899","2,537","-","24,220","- %","20.23%","10.47%","302,762","3.10","2.82","0.84","0.76","0.00","0.00","0.0800","0.07"," -19.66%"," 7.73%","30-Dec-2016","0.075","2.42","8.95","0.94","11.17%","0.00%","28-Feb-2017","0.09","2.90","10.74","1.13","9.31%","0.00%"
"30-Jun-2017","30-Nov-2016","30-Sep-2016","1","6,197","2,883","2,883","3,158","-","24,292","- %","46.52%","13.00%","303,653","2.04","1.86","1.04","0.95","0.00","0.00","0.0800","0.07"," 247.03%"," -20.25%","30-Sep-2016","0.09","4.41","8.65","1.13","11.56%","0.00%","30-Nov-2016","0.08","3.92","7.69","1.00","13.00%","0.00%"
"30-Jun-2016","30-Aug-2016","30-Jun-2016","4","13,837","-449","-453","910","-","26,541","- %","-3.27%","3.43%","379,166","3.65","4.15","0.24","0.27","0.00","0.00","0.0700","0.08"," -50.46%"," 182.35%","30-Jun-2016","0.095","2.60","39.58","1.36","2.53%","0.00%","30-Aug-2016","0.095","2.60","39.58","1.36","2.53%","0.00%"
"30-Jun-2016","27-May-2016","31-Mar-2016","3","11,132","757","753","1,837","-","20,092","- %","6.76%","9.14%","287,031","3.88","3.34","0.64","0.55","0.00","0.00","0.0700","0.06"," -22.00%"," 533.25%","31-Mar-2016","0.105","2.71","16.41","1.50","6.10%","0.00%","27-May-2016","0.105","2.71","16.41","1.50","6.10%","0.00%"
"30-Jun-2016","25-Feb-2016","31-Dec-2015","2","7,980","1,174","1,174","2,355","-","19,394","- %","14.71%","12.14%","277,058","2.88","2.40","0.85","0.71","0.00","0.00","0.0700","0.06"," -40.53%"," 392.68%","31-Dec-2015","0.18","6.25","21.18","2.57","4.72%","0.00%","25-Feb-2016","0.125","4.34","14.71","1.79","6.80%","0.00%"
"30-Jun-2016","30-Nov-2015","30-Sep-2015","1","4,421","3,370","3,370","3,960","-","19,117","- %","76.23%","20.71%","273,103","1.62","1.33","1.45","1.19","0.00","0.00","0.0700","0.06"," 458.37%"," -14.97%","30-Sep-2015","0.09","5.56","6.21","1.29","16.11%","0.00%","30-Nov-2015","0.10","6.18","6.90","1.43","14.50%","0.00%"
"30-Jun-2015","30-Oct-2015","30-Jun-2015","4","38,215","-4,290","-4,290","-1,105","-","8,125","- %","-11.23%","-13.60%","261,923","23.52","11.47","-0.68","-0.33","0.00","0.00","0.0500","0.02"," -160.61%"," -119.52%","30-Jun-2015","0.125","0.00","0.00","2.50","0.00%","0.00%","30-Oct-2015","0.105","0.00","0.00","2.10","0.00%","0.00%"
"30-Jun-2015","30-Oct-2015","31-Mar-2015","3","31,542","-2,656","-2,656","-424","-","5,653","- %","-8.42%","-7.50%","231,025","22.32","9.47","-0.30","-0.13","0.00","0.00","0.0400","0.02"," -188.70%"," 9.40%","31-Mar-2015","0.195","0.00","0.00","0.00","0.00%","0.00%","30-Oct-2015","0.105","0.00","0.00","0.00","0.00%","0.00%"
"30-Jun-2015","30-Oct-2015","31-Dec-2014","2","24,340","-1,176","-1,176","478","-","5,974","- %","-4.83%","8.00%","129,380","20.37","7.31","0.40","0.14","0.00","0.00","0.0500","0.02"," -89.74%"," 105.68%","31-Dec-2014","0.14","0.00","0.00","0.00","0.00%","0.00%","30-Oct-2015","0.105","0.00","0.00","0.00","0.00%","0.00%"
"31-Dec-2014","30-Oct-2015","30-Sep-2014","1","16,948","3,561","3,561","4,657","-","0","- %","21.01%","- %","117,898","14.38","5.09","3.95","1.40","0.00","0.00","0.0000","0.00"," -17.74%"," 318.33%","30-Sep-2014","0.155","0.00","0.00","0.00","0.00%","0.00%","30-Oct-2015","0.105","0.00","0.00","0.00","0.00%","0.00%"
