Column1,AQR,T4Q,30/06/19,30/06/18,30/06/17,30/06/16,30/06/15,30/06/14,30/06/13,CAGR
"Revenue","379,924","379,924","379,924","408,014","361,452","343,617","298,094","219,927","0","-"
"YoY %","0.00%","0.00%","-6.88%","12.88%","5.19%","15.27%","35.54%","0.00%","-",""
"Horiz. %","172.75%","172.75%","172.75%","185.52%","164.35%","156.24%","135.54%","100.00%","-",""
"PBT","3,804","3,804","3,804","14,278","37,049","79,350","73,282","41,541","-632","-"
"YoY %","0.00%","0.00%","-73.36%","-61.46%","-53.31%","8.28%","76.41%","6,672.94%","-",""
"Horiz. %","-601.90%","-601.90%","-601.90%","-2,259.18%","-5,862.18%","-12,555.38%","-11,595.25%","-6,572.94%","100.00%",""
"Tax","-747","-747","-747","-4,090","-8,243","-12,927","-13,552","-6,956","0","-"
"YoY %","0.00%","0.00%","81.74%","50.38%","36.23%","4.61%","-94.82%","0.00%","-",""
"Horiz. %","10.74%","10.74%","10.74%","58.80%","118.50%","185.84%","194.82%","100.00%","-",""
"NP","3,057","3,057","3,057","10,188","28,806","66,423","59,730","34,585","-632","-"
"YoY %","0.00%","0.00%","-69.99%","-64.63%","-56.63%","11.21%","72.70%","5,572.31%","-",""
"Horiz. %","-483.70%","-483.70%","-483.70%","-1,612.03%","-4,557.91%","-10,509.97%","-9,450.95%","-5,472.31%","100.00%",""
"NP to SH","2,533","2,533","2,533","10,103","27,946","66,685","59,553","34,585","-632","-"
"YoY %","0.00%","0.00%","-74.93%","-63.85%","-58.09%","11.98%","72.19%","5,572.31%","-",""
"Horiz. %","-400.79%","-400.79%","-400.79%","-1,598.58%","-4,421.84%","-10,551.42%","-9,422.94%","-5,472.31%","100.00%",""
"Tax Rate","19.64    %","19.64    %","19.64    %","28.65    %","22.25    %","16.29    %","18.49    %","16.74    %","-     %","-"
"YoY %","0.00%","0.00%","-31.45%","28.76%","36.59%","-11.90%","10.45%","0.00%","-",""
"Horiz. %","117.32%","117.32%","117.32%","171.15%","132.92%","97.31%","110.45%","100.00%","-",""
"Total Cost","376,867","376,867","376,867","397,826","332,646","277,194","238,364","185,342","632","189.98%"
"YoY %","0.00%","0.00%","-5.27%","19.59%","20.00%","16.29%","28.61%","29,226.27%","-",""
"Horiz. %","59,630.85%","59,630.85%","59,630.85%","62,947.15%","52,633.86%","43,859.81%","37,715.82%","29,326.27%","100.00%",""
"Net Worth","491,163","491,163","491,163","481,139","501,187","481,139","406,758","130,733","-","-"
"YoY %","0.00%","0.00%","2.08%","-4.00%","4.17%","18.29%","211.14%","0.00%","-",""
"Horiz. %","375.70%","375.70%","375.70%","368.03%","383.37%","368.03%","311.14%","100.00%","-",""
"Div","5,011","5,011","5,011","10,023","-","-","-","-","-","-"
