Column1,AQR,T4Q,30/06/18,30/06/17,30/06/16,30/06/15,30/06/14,30/06/13,30/06/12,30/06/11,30/06/10,CAGR
"Revenue","50,523","46,313","116,315","269,170","323,083","180,540","211,017","265,835","155,280","214,487","0","-"
"YoY %","9.09%","-60.18%","-56.79%","-16.69%","78.95%","-14.44%","-20.62%","71.20%","-27.60%","0.00%","-",""
"Horiz. %","23.56%","21.59%","54.23%","125.49%","150.63%","84.17%","98.38%","123.94%","72.40%","100.00%","-",""
"PBT","-27,363","-25,082","4,403","21,324","32,012","19,161","18,287","65,560","100,328","129,936","0","-"
"YoY %","-9.10%","-669.66%","-79.35%","-33.39%","67.07%","4.78%","-72.11%","-34.65%","-22.79%","0.00%","-",""
"Horiz. %","-21.06%","-19.30%","3.39%","16.41%","24.64%","14.75%","14.07%","50.46%","77.21%","100.00%","-",""
"Tax","2,833","2,597","-2,021","-9,988","-13,957","-10,687","-11,095","-8,898","-17,573","-33,856","0","-"
"YoY %","9.09%","228.50%","79.77%","28.44%","-30.60%","3.68%","-24.69%","49.37%","48.09%","0.00%","-",""
"Horiz. %","-8.37%","-7.67%","5.97%","29.50%","41.22%","31.57%","32.77%","26.28%","51.91%","100.00%","-",""
"NP","-24,530","-22,485","2,382","11,336","18,055","8,474","7,192","56,662","82,755","96,080","0","-"
"YoY %","-9.10%","-1,043.95%","-78.99%","-37.21%","113.06%","17.83%","-87.31%","-31.53%","-13.87%","0.00%","-",""
"Horiz. %","-25.53%","-23.40%","2.48%","11.80%","18.79%","8.82%","7.49%","58.97%","86.13%","100.00%","-",""
"NP to SH","-23,568","-21,603","-177","9,691","17,118","8,458","7,205","56,750","82,758","96,080","0","-"
"YoY %","-9.10%","-12,105.08%","-101.83%","-43.39%","102.39%","17.39%","-87.30%","-31.43%","-13.87%","0.00%","-",""
"Horiz. %","-24.53%","-22.48%","-0.18%","10.09%","17.82%","8.80%","7.50%","59.07%","86.13%","100.00%","-",""
"Tax Rate","-     %","-     %","45.90    %","46.84    %","43.60    %","55.77    %","60.67    %","13.57    %","17.52    %","26.06    %","-     %","-"
"YoY %","0.00%","0.00%","-2.01%","7.43%","-21.82%","-8.08%","347.09%","-22.55%","-32.77%","0.00%","-",""
"Horiz. %","0.00%","0.00%","176.13%","179.74%","167.31%","214.01%","232.81%","52.07%","67.23%","100.00%","-",""
"Total Cost","75,053","68,798","113,933","257,834","305,028","172,066","203,825","209,173","72,525","118,407","0","-"
"YoY %","9.09%","-39.62%","-55.81%","-15.47%","77.27%","-15.58%","-2.56%","188.42%","-38.75%","0.00%","-",""
"Horiz. %","63.39%","58.10%","96.22%","217.75%","257.61%","145.32%","172.14%","176.66%","61.25%","100.00%","-",""
"Net Worth","603,768","603,768","623,460","623,304","627,660","568,992","536,372","552,167","495,001","342,103","-","-"
"YoY %","0.00%","-3.16%","0.02%","-0.69%","10.31%","6.08%","-2.86%","11.55%","44.69%","0.00%","-",""
"Horiz. %","176.49%","176.49%","182.24%","182.20%","183.47%","166.32%","156.79%","161.40%","144.69%","100.00%","-",""
