Column1,AQR,T4Q,31/12/18,31/12/17,31/12/16,31/12/15,31/12/14,31/12/13,31/12/12,31/12/11,CAGR
"Revenue","6,233,243","6,233,243","6,233,243","5,348,821","4,052,969","3,619,769","2,773,462","2,317,219","2,125,294","2,000,170","17.62%"
"YoY %","0.00%","0.00%","16.53%","31.97%","11.97%","30.51%","19.69%","9.03%","6.26%","-",""
"Horiz. %","311.64%","311.64%","311.64%","267.42%","202.63%","180.97%","138.66%","115.85%","106.26%","100.00%",""
"PBT","234,119","234,119","234,119","248,181","212,845","143,560","213,121","220,877","214,054","294,730","-3.23%"
"YoY %","0.00%","0.00%","-5.67%","16.60%","48.26%","-32.64%","-3.51%","3.19%","-27.37%","-",""
"Horiz. %","79.44%","79.44%","79.44%","84.21%","72.22%","48.71%","72.31%","74.94%","72.63%","100.00%",""
"Tax","-53,727","-53,727","-53,727","-54,030","-48,425","-37,505","-45,493","-49,441","-51,226","-65,576","-2.80%"
"YoY %","0.00%","0.00%","0.56%","-11.57%","-29.12%","17.56%","7.99%","3.48%","21.88%","-",""
"Horiz. %","81.93%","81.93%","81.93%","82.39%","73.85%","57.19%","69.37%","75.39%","78.12%","100.00%",""
"NP","180,392","180,392","180,392","194,151","164,420","106,055","167,628","171,436","162,828","229,154","-3.36%"
"YoY %","0.00%","0.00%","-7.09%","18.08%","55.03%","-36.73%","-2.22%","5.29%","-28.94%","-",""
"Horiz. %","78.72%","78.72%","78.72%","84.73%","71.75%","46.28%","73.15%","74.81%","71.06%","100.00%",""
"NP to SH","180,392","180,392","180,392","194,638","165,138","106,162","167,628","171,436","162,828","229,154","-3.36%"
"YoY %","0.00%","0.00%","-7.32%","17.86%","55.55%","-36.67%","-2.22%","5.29%","-28.94%","-",""
"Horiz. %","78.72%","78.72%","78.72%","84.94%","72.06%","46.33%","73.15%","74.81%","71.06%","100.00%",""
"Tax Rate","22.95    %","22.95    %","22.95    %","21.77    %","22.75    %","26.12    %","21.35    %","22.38    %","23.93    %","22.25    %","0.44%"
"YoY %","0.00%","0.00%","5.42%","-4.31%","-12.90%","22.34%","-4.60%","-6.48%","7.55%","-",""
"Horiz. %","103.15%","103.15%","103.15%","97.84%","102.25%","117.39%","95.96%","100.58%","107.55%","100.00%",""
"Total Cost","6,052,851","6,052,851","6,052,851","5,154,670","3,888,549","3,513,714","2,605,834","2,145,783","1,962,466","1,771,016","19.18%"
"YoY %","0.00%","0.00%","17.42%","32.56%","10.67%","34.84%","21.44%","9.34%","10.81%","-",""
"Horiz. %","341.77%","341.77%","341.77%","291.06%","219.57%","198.40%","147.14%","121.16%","110.81%","100.00%",""
"Net Worth","1,024,118","1,024,118","1,024,118","1,050,312","1,020,137","970,703","1,012,947","1,004,088","1,008,453","1,009,304","0.21%"
"YoY %","0.00%","0.00%","-2.49%","2.96%","5.09%","-4.17%","0.88%","-0.43%","-0.08%","-",""
"Horiz. %","101.47%","101.47%","101.47%","104.06%","101.07%","96.18%","100.36%","99.48%","99.92%","100.00%",""
"Div","115,560","115,560","115,560","102,720","102,720","106,186","115,560","171,542","162,939","206,174","-7.93%"
"YoY %","0.00%","0.00%","12.50%","0.00%","-3.26%","-8.11%","-32.63%","5.28%","-20.97%","-",""
"Horiz. %","56.05%","56.05%","56.05%","49.82%","49.82%","51.50%","56.05%","83.20%","79.03%","100.00%",""
"Div Payout %","64.06    %","64.06    %","64.06    %","52.77    %","62.20    %","100.02    %","68.94    %","100.06    %","100.07    %","89.97    %","-4.73%"
"YoY %","0.00%","0.00%","21.39%","-15.16%","-37.81%","45.08%","-31.10%","-0.01%","11.23%","-",""
"Horiz. %","71.20%","71.20%","71.20%","58.65%","69.13%","111.17%","76.63%","111.21%","111.23%","100.00%",""
"Net Worth","1,024,118","1,024,118","1,024,118","1,050,312","1,020,137","970,703","1,012,947","1,004,088","1,008,453","1,009,304","0.21%"
"YoY %","0.00%","0.00%","-2.49%","2.96%","5.09%","-4.17%","0.88%","-0.43%","-0.08%","-",""
"Horiz. %","101.47%","101.47%","101.47%","104.06%","101.07%","96.18%","100.36%","99.48%","99.92%","100.00%",""
"NOSH","1,284,000","1,284,000","1,284,000","1,284,000","1,284,000","1,284,000","1,284,000","1,284,000","1,284,000","1,283,775","0.00%"
"YoY %","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.02%","-",""
"Horiz. %","100.02%","100.02%","100.02%","100.02%","100.02%","100.02%","100.02%","100.02%","100.02%","100.00%",""
"NP Margin","2.89    %","2.89    %","2.89    %","3.63    %","4.06    %","2.93    %","6.04    %","7.40    %","7.66    %","11.46    %","-17.85%"
"YoY %","0.00%","0.00%","-20.39%","-10.59%","38.57%","-51.49%","-18.38%","-3.39%","-33.16%","-",""
"Horiz. %","25.22%","25.22%","25.22%","31.68%","35.43%","25.57%","52.71%","64.57%","66.84%","100.00%",""
"ROE","17.61    %","17.61    %","17.61    %","18.53    %","16.19    %","10.94    %","16.55    %","17.07    %","16.15    %","22.70    %","-3.56%"
"YoY %","0.00%","0.00%","-4.96%","14.45%","47.99%","-33.90%","-3.05%","5.70%","-28.85%","-",""
"Horiz. %","77.58%","77.58%","77.58%","81.63%","71.32%","48.19%","72.91%","75.20%","71.15%","100.00%",""
"RPS","485.46","485.46","485.46","416.57","315.65","281.91","216.00","180.47","165.52","155.80","17.61%"
"YoY %","0.00%","0.00%","16.54%","31.97%","11.97%","30.51%","19.69%","9.03%","6.24%","-",""
"Horiz. %","311.59%","311.59%","311.59%","267.37%","202.60%","180.94%","138.64%","115.83%","106.24%","100.00%",""
"EPS","14.05","14.05","14.05","15.16","12.86","8.27","13.06","13.35","12.68","17.85","-3.36%"
"YoY %","0.00%","0.00%","-7.32%","17.88%","55.50%","-36.68%","-2.17%","5.28%","-28.96%","-",""
"Horiz. %","78.71%","78.71%","78.71%","84.93%","72.04%","46.33%","73.17%","74.79%","71.04%","100.00%",""
"DPS","9.00","9.00","9.00","8.00","8.00","8.27","9.00","13.36","12.69","16.06","-7.93%"
"YoY %","0.00%","0.00%","12.50%","0.00%","-3.26%","-8.11%","-32.63%","5.28%","-20.98%","-",""
"Horiz. %","56.04%","56.04%","56.04%","49.81%","49.81%","51.49%","56.04%","83.19%","79.02%","100.00%",""
"NAPS","0.7976","0.7976","0.7976","0.8180","0.7945","0.7560","0.7889","0.7820","0.7854","0.7862","0.21%"
"YoY %","0.00%","0.00%","-2.49%","2.96%","5.09%","-4.17%","0.88%","-0.43%","-0.10%","-",""
"Horiz. %","101.45%","101.45%","101.45%","104.04%","101.06%","96.16%","100.34%","99.47%","99.90%","100.00%",""
"RPS","485.46","485.46","485.46","416.57","315.65","281.91","216.00","180.47","165.52","155.78","17.62%"
"YoY %","0.00%","0.00%","16.54%","31.97%","11.97%","30.51%","19.69%","9.03%","6.25%","-",""
"Horiz. %","311.63%","311.63%","311.63%","267.41%","202.63%","180.97%","138.66%","115.85%","106.25%","100.00%",""
"EPS","14.05","14.05","14.05","15.16","12.86","8.27","13.06","13.35","12.68","17.85","-3.36%"
"YoY %","0.00%","0.00%","-7.32%","17.88%","55.50%","-36.68%","-2.17%","5.28%","-28.96%","-",""
"Horiz. %","78.71%","78.71%","78.71%","84.93%","72.04%","46.33%","73.17%","74.79%","71.04%","100.00%",""
"DPS","9.00","9.00","9.00","8.00","8.00","8.27","9.00","13.36","12.69","16.06","-7.93%"
"YoY %","0.00%","0.00%","12.50%","0.00%","-3.26%","-8.11%","-32.63%","5.28%","-20.98%","-",""
"Horiz. %","56.04%","56.04%","56.04%","49.81%","49.81%","51.49%","56.04%","83.19%","79.02%","100.00%",""
