F.Y.,Ann. Date,Quarter,#,Revenue,PBT,NP,NP to SH,Div,Net Worth,Div Payout %,NP Margin,ROE,NOSH,RPS,Adj. RPS,EPS,Adj. EPS,DPS,Adj. DPS,NAPS,Adj. NAPS,QoQ,YoY,EOQ Date,EOQ Price,EOQ P/RPS,EOQ P/EPS,EOQ P/NAPS,EOQ EY,EOQ DY,ANN Date,ANN Price,ANN P/RPS,ANN P/EPS,ANN P/NAPS,ANN EY,ANN DY
"31-Dec-2019","29-May-2019","31-Mar-2019","1","538,701","-41,785","-31,775","-32,071","-","2,515,097","- %","-5.90%","-1.28%","849,695","63.40","63.40","-3.80","-3.80","0.00","0.00","2.9600","2.96"," 44.26%"," 53.34%","29-Mar-2019","2.50","3.94","-66.24","0.84","-1.51%","0.00%","29-May-2019","3.73","5.88","-98.82","1.26","-1.01%","0.00%"
"31-Dec-2018","27-Feb-2019","31-Dec-2018","4","548,158","-80,073","-57,232","-57,539","-","2,540,588","- %","-10.44%","-2.26%","849,695","64.51","64.51","-6.80","-6.80","0.00","0.00","2.9900","2.99"," 47.35%"," 28.19%","31-Dec-2018","1.81","2.81","-26.73","0.61","-3.74%","0.00%","27-Feb-2019","1.89","2.93","-27.91","0.63","-3.58%","0.00%"
"31-Dec-2018","16-Nov-2018","30-Sep-2018","3","495,115","-134,471","-109,210","-109,287","-","2,591,569","- %","-22.06%","-4.22%","849,695","58.27","58.27","-12.90","-12.90","0.00","0.00","3.0500","3.05"," -30.42%"," -160.13%","28-Sep-2018","2.74","4.70","-21.30","0.90","-4.69%","0.00%","16-Nov-2018","2.02","3.47","-15.71","0.66","-6.37%","0.00%"
"31-Dec-2018","30-Aug-2018","30-Jun-2018","2","532,195","-107,636","-83,760","-83,793","-","2,702,030","- %","-15.74%","-3.10%","849,695","62.63","62.63","-9.90","-9.90","0.00","0.00","3.1800","3.18"," -21.91%"," -90.05%","29-Jun-2018","3.10","4.95","-31.44","0.97","-3.18%","0.00%","30-Aug-2018","3.25","5.19","-32.96","1.02","-3.03%","0.00%"
"31-Dec-2018","22-May-2018","31-Mar-2018","1","546,829","-83,208","-68,665","-68,732","-","2,778,502","- %","-12.56%","-2.47%","849,695","64.36","64.36","-8.10","-8.10","0.00","0.00","3.2700","3.27"," 14.22%"," -40.46%","30-Mar-2018","4.36","6.77","-53.90","1.33","-1.86%","0.00%","22-May-2018","3.90","6.06","-48.21","1.19","-2.07%","0.00%"
"31-Dec-2017","23-Feb-2018","31-Dec-2017","4","576,355","-102,821","-79,362","-80,124","-","2,846,478","- %","-13.77%","-2.81%","849,695","67.83","67.83","-9.40","-9.40","0.00","0.00","3.3500","3.35"," -90.72%"," -336.09%","29-Dec-2017","6.20","9.14","-65.75","1.85","-1.52%","0.00%","23-Feb-2018","5.29","7.80","-56.10","1.58","-1.78%","0.00%"
"31-Dec-2017","30-Nov-2017","30-Sep-2017","3","578,851","-54,833","-41,405","-42,012","-","2,922,950","- %","-7.15%","-1.44%","849,695","68.12","68.12","-4.90","-4.90","0.00","0.00","3.4400","3.44"," 4.71%"," -1,227.23%","29-Sep-2017","6.76","9.92","-136.72","1.97","-0.73%","0.00%","30-Nov-2017","6.86","10.07","-138.74","1.99","-0.72%","0.00%"
"31-Dec-2017","29-Aug-2017","30-Jun-2017","2","531,773","-57,934","-43,941","-44,090","-","2,965,435","- %","-8.26%","-1.49%","849,695","62.58","62.58","-5.20","-5.20","0.00","0.00","3.4900","3.49"," 9.90%"," -340.21%","30-Jun-2017","5.55","8.87","-106.96","1.59","-0.93%","0.00%","29-Aug-2017","5.50","8.79","-106.00","1.58","-0.94%","0.00%"
"31-Dec-2017","22-May-2017","31-Mar-2017","1","561,854","-63,449","-48,877","-48,934","-","3,007,920","- %","-8.70%","-1.63%","849,695","66.12","66.12","-5.80","-5.80","0.00","0.00","3.5400","3.54"," -244.19%"," -336.93%","31-Mar-2017","6.70","10.13","-116.34","1.89","-0.86%","0.00%","22-May-2017","5.75","8.70","-99.84","1.62","-1.00%","0.00%"
"31-Dec-2016","22-Feb-2017","31-Dec-2016","4","636,372","3,670","34,177","33,938","-","3,058,901","- %","5.37%","1.11%","849,695","74.89","74.89","4.00","4.00","0.00","0.00","3.6000","3.60"," 810.60%"," -24.03%","30-Dec-2016","7.19","9.60","180.01","2.00","0.56%","0.00%","22-Feb-2017","6.49","8.67","162.49","1.80","0.62%","0.00%"
"31-Dec-2016","29-Nov-2016","30-Sep-2016","3","587,249","5,288","4,102","3,727","-","3,033,411","- %","0.70%","0.12%","849,695","69.11","69.11","0.40","0.40","0.00","0.00","3.5700","3.57"," -79.69%"," -94.72%","30-Sep-2016","7.92","11.46","1,805.63","2.22","0.06%","0.00%","29-Nov-2016","7.30","10.56","1,664.28","2.04","0.06%","0.00%"
"31-Dec-2016","30-Aug-2016","30-Jun-2016","2","658,804","34,573","18,627","18,355","16,993","3,041,908","92.58%","2.83%","0.60%","849,695","77.53","77.53","2.20","2.20","2.00","2.00","3.5800","3.58"," -11.13%"," -71.01%","30-Jun-2016","7.83","10.10","362.47","2.19","0.28%","0.26%","30-Aug-2016","8.05","10.38","372.65","2.25","0.27%","0.25%"
"31-Dec-2016","23-May-2016","31-Mar-2016","1","669,780","30,750","20,823","20,653","25,490","3,050,404","123.42%","3.11%","0.68%","849,695","78.83","78.83","2.40","2.40","3.00","3.00","3.5900","3.59"," -53.77%"," -71.97%","31-Mar-2016","9.00","11.42","370.27","2.51","0.27%","0.33%","23-May-2016","8.46","10.73","348.06","2.36","0.29%","0.35%"
"31-Dec-2015","29-Feb-2016","31-Dec-2015","4","718,305","66,665","44,747","44,674","59,478","3,092,889","133.14%","6.23%","1.44%","849,695","84.54","84.54","5.30","5.30","7.00","7.00","3.6400","3.64"," -36.77%"," -10.54%","31-Dec-2015","8.88","10.50","168.90","2.44","0.59%","0.79%","29-Feb-2016","9.08","10.74","172.70","2.49","0.58%","0.77%"
"31-Dec-2015","18-Nov-2015","30-Sep-2015","3","670,880","95,139","70,551","70,650","67,975","3,109,883","96.21%","10.52%","2.27%","849,695","78.96","78.96","8.30","8.30","8.00","8.00","3.6600","3.66"," 11.58%"," 28.91%","30-Sep-2015","9.00","11.40","108.24","2.46","0.92%","0.89%","18-Nov-2015","9.20","11.65","110.65","2.51","0.90%","0.87%"
"31-Dec-2015","27-Aug-2015","30-Jun-2015","2","665,548","85,747","63,330","63,319","67,975","3,118,380","107.35%","9.52%","2.03%","849,695","78.33","78.33","7.50","7.50","8.00","8.00","3.6700","3.67"," -14.08%"," -18.12%","30-Jun-2015","8.46","10.80","113.53","2.31","0.88%","0.95%","27-Aug-2015","9.50","12.13","127.48","2.59","0.78%","0.84%"
"31-Dec-2015","20-May-2015","31-Mar-2015","1","696,087","99,355","73,934","73,692","67,975","3,126,877","92.24%","10.62%","2.36%","849,695","81.92","81.92","8.70","8.70","8.00","8.00","3.6800","3.68"," 47.58%"," -0.32%","31-Mar-2015","9.85","12.02","113.57","2.68","0.88%","0.81%","20-May-2015","9.50","11.60","109.54","2.58","0.91%","0.84%"
"31-Dec-2014","26-Feb-2015","31-Dec-2014","4","684,612","70,376","49,644","49,935","67,975","3,118,380","136.13%","7.25%","1.60%","849,695","80.57","80.57","5.90","5.90","8.00","8.00","3.6700","3.67"," -8.89%"," -54.88%","31-Dec-2014","9.76","12.11","166.08","2.66","0.60%","0.82%","26-Feb-2015","10.40","12.91","176.97","2.83","0.57%","0.77%"
"31-Dec-2014","18-Nov-2014","30-Sep-2014","3","664,632","73,899","55,144","54,806","67,975","3,126,877","124.03%","8.30%","1.75%","849,695","78.22","78.22","6.50","6.50","8.00","8.00","3.6800","3.68"," -29.12%"," -54.41%","30-Sep-2014","10.30","13.17","159.69","2.80","0.63%","0.78%","18-Nov-2014","10.14","12.96","157.21","2.76","0.64%","0.79%"
"31-Dec-2014","02-Sep-2014","30-Jun-2014","2","717,218","103,722","77,399","77,327","76,472","3,152,368","98.90%","10.79%","2.45%","849,695","84.41","84.41","9.10","9.10","9.00","9.00","3.7100","3.71"," 4.60%"," -5.05%","30-Jun-2014","9.85","11.67","108.24","2.65","0.92%","0.91%","02-Sep-2014","10.30","12.20","113.18","2.78","0.88%","0.87%"
"31-Dec-2014","22-May-2014","31-Mar-2014","1","676,628","97,186","73,820","73,928","76,472","1,937,304","103.44%","10.91%","3.82%","849,695","79.63","79.63","8.70","8.70","9.00","9.00","2.2800","2.28"," -33.20%"," 36.14%","31-Mar-2014","9.04","11.35","103.90","3.96","0.96%","1.00%","22-May-2014","9.40","11.80","108.04","4.12","0.93%","0.96%"
"31-Dec-2013","25-Feb-2014","31-Dec-2013","4","750,574","170,071","110,767","110,665","144,448","3,211,847","130.53%","14.76%","3.45%","849,695","88.33","88.33","13.00","13.00","17.00","17.00","3.7800","3.78"," -7.95%"," 4.68%","31-Dec-2013","8.57","9.70","65.80","2.27","1.52%","1.98%","25-Feb-2014","8.54","9.67","65.57","2.26","1.53%","1.99%"
"31-Dec-2013","19-Nov-2013","30-Sep-2013","3","728,013","161,414","120,291","120,222","67,975","3,177,859","56.54%","16.52%","3.78%","849,695","85.68","85.68","14.20","14.20","8.00","8.00","3.7400","3.74"," 47.62%"," 24.75%","30-Sep-2013","9.42","10.99","66.58","2.52","1.50%","0.85%","19-Nov-2013","9.85","11.50","69.62","2.63","1.44%","0.81%"
"31-Dec-2013","27-Aug-2013","30-Jun-2013","2","728,872","110,036","81,620","81,439","67,975","3,126,877","83.47%","11.20%","2.60%","849,695","85.78","85.78","9.60","9.60","8.00","8.00","3.6800","3.68"," 49.97%"," -0.80%","28-Jun-2013","10.18","11.87","106.21","2.77","0.94%","0.79%","27-Aug-2013","9.11","10.62","95.05","2.48","1.05%","0.88%"
"31-Dec-2013","22-May-2013","31-Mar-2013","1","644,941","73,369","54,440","54,304","67,975","3,109,883","125.18%","8.44%","1.75%","849,695","75.90","75.90","6.40","6.40","8.00","8.00","3.6600","3.66"," -48.64%"," -16.22%","29-Mar-2013","9.96","13.12","155.84","2.72","0.64%","0.80%","22-May-2013","10.98","14.47","171.80","3.00","0.58%","0.73%"
"31-Dec-2012","20-Feb-2013","31-Dec-2012","4","690,146","138,894","106,133","105,722","110,460","3,169,362","104.48%","15.38%","3.34%","849,695","81.22","81.22","12.40","12.40","13.00","13.00","3.7300","3.73"," 9.70%"," -9.94%","31-Dec-2012","9.62","11.84","77.32","2.58","1.29%","1.35%","20-Feb-2013","9.19","11.31","73.86","2.46","1.35%","1.41%"
"31-Dec-2012","22-Nov-2012","30-Sep-2012","3","708,755","133,357","96,565","96,372","67,975","3,135,374","70.53%","13.62%","3.07%","849,695","83.41","83.41","11.30","11.30","8.00","8.00","3.6900","3.69"," 17.39%"," 35.16%","28-Sep-2012","8.90","10.67","78.47","2.41","1.27%","0.90%","22-Nov-2012","9.62","11.53","84.82","2.61","1.18%","0.83%"
"31-Dec-2012","28-Aug-2012","30-Jun-2012","2","696,963","110,387","82,047","82,093","67,975","3,101,386","82.80%","11.77%","2.65%","849,695","82.03","82.03","9.70","9.70","8.00","8.00","3.6500","3.65"," 26.65%"," 6.34%","29-Jun-2012","7.30","8.90","75.56","2.00","1.32%","1.10%","28-Aug-2012","8.60","10.48","89.01","2.36","1.12%","0.93%"
"31-Dec-2012","29-May-2012","31-Mar-2012","1","644,198","87,114","64,745","64,818","67,975","3,092,889","104.87%","10.05%","2.10%","849,695","75.82","75.82","7.60","7.60","8.00","8.00","3.6400","3.64"," -44.78%"," 24.74%","30-Mar-2012","7.20","9.50","94.38","1.98","1.06%","1.11%","29-May-2012","7.07","9.33","92.68","1.94","1.08%","1.13%"
"31-Dec-2011","22-Feb-2012","31-Dec-2011","4","656,851","144,478","118,161","117,386","85,062","3,113,280","72.46%","17.99%","3.77%","850,623","77.22","77.30","13.80","13.82","10.00","10.01","3.6600","3.66"," 64.63%"," 45.80%","30-Dec-2011","7.00","9.07","50.72","1.91","1.97%","1.43%","22-Feb-2012","7.37","9.54","53.41","2.01","1.87%","1.36%"
"31-Dec-2011","22-Nov-2011","30-Sep-2011","3","625,527","97,214","71,865","71,302","67,906","3,064,288","95.24%","11.49%","2.33%","848,833","73.69","73.62","8.40","8.39","8.00","7.99","3.6100","3.61"," -7.63%"," -21.77%","30-Sep-2011","6.56","8.90","78.10","1.82","1.28%","1.22%","22-Nov-2011","6.59","8.94","78.45","1.83","1.27%","1.21%"
"31-Dec-2011","24-Aug-2011","30-Jun-2011","2","667,415","104,093","76,883","77,195","67,863","3,053,867","87.91%","11.52%","2.53%","848,296","78.68","78.55","9.10","9.09","8.00","7.99","3.6000","3.59"," 48.56%"," 2.08%","30-Jun-2011","7.45","9.47","81.87","2.07","1.22%","1.07%","24-Aug-2011","7.01","8.91","77.03","1.95","1.30%","1.14%"
"31-Dec-2011","24-May-2011","31-Mar-2011","1","602,771","68,862","50,738","51,962","68,146","3,058,091","131.15%","8.42%","1.70%","851,836","70.76","70.94","6.10","6.12","8.00","8.02","3.5900","3.60"," -35.46%"," 8.13%","31-Mar-2011","7.40","10.46","121.31","2.06","0.82%","1.08%","24-May-2011","7.47","10.56","122.46","2.08","0.82%","1.07%"
"31-Dec-2010","23-Feb-2011","31-Dec-2010","4","617,184","94,794","79,372","80,513","84,750","3,076,444","105.26%","12.86%","2.62%","847,505","72.82","72.64","9.50","9.48","10.00","9.97","3.6300","3.62"," -11.67%"," -32.67%","30-Dec-2010","7.67","10.53","80.74","2.11","1.24%","1.30%","23-Feb-2011","7.32","10.05","77.05","2.02","1.30%","1.37%"
"31-Dec-2010","29-Nov-2010","30-Sep-2010","3","568,091","102,142","89,945","91,148","68,148","3,143,328","74.77%","15.83%","2.90%","851,850","66.69","66.86","10.70","10.73","8.00","8.02","3.6900","3.70"," 20.53%"," -22.06%","30-Sep-2010","7.89","11.83","73.74","2.14","1.36%","1.01%","29-Nov-2010","7.90","11.85","73.83","2.14","1.35%","1.01%"
"31-Dec-2010","25-Aug-2010","30-Jun-2010","2","591,193","91,429","74,636","75,624","67,976","3,118,428","89.89%","12.62%","2.43%","849,707","69.58","69.58","8.90","8.90","8.00","8.00","3.6700","3.67"," 57.38%"," -10.28%","30-Jun-2010","6.79","9.76","76.29","1.85","1.31%","1.18%","25-Aug-2010","6.95","9.99","78.09","1.89","1.28%","1.15%"
"31-Dec-2010","26-May-2010","31-Mar-2010","1","548,420","57,032","47,143","48,053","67,442","3,211,963","140.35%","8.60%","1.50%","843,035","65.05","64.54","5.70","5.66","8.00","7.94","3.8100","3.78"," -59.81%"," -47.43%","31-Mar-2010","6.35","9.76","111.40","1.67","0.90%","1.26%","26-May-2010","6.50","9.99","114.04","1.71","0.88%","1.23%"
"31-Dec-2009","25-Feb-2010","31-Dec-2009","4","624,483","123,983","117,860","119,577","195,056","3,188,746","163.12%","18.87%","3.75%","848,070","73.64","73.49","14.10","14.07","23.00","22.96","3.7600","3.75"," 2.25%"," 0.37%","31-Dec-2009","6.25","8.49","44.33","1.66","2.26%","3.68%","25-Feb-2010","6.30","8.56","44.68","1.68","2.24%","3.65%"
"31-Dec-2009","19-Nov-2009","30-Sep-2009","3","618,319","126,472","116,757","116,951","-","3,218,286","- %","18.88%","3.63%","853,656","72.43","72.77","13.70","13.76","0.00","0.00","3.7700","3.79"," 38.75%"," -6.07%","30-Sep-2009","6.27","8.66","45.77","1.66","2.19%","0.00%","19-Nov-2009","6.20","8.56","45.26","1.64","2.21%","0.00%"
"31-Dec-2009","27-Aug-2009","30-Jun-2009","2","630,893","90,363","82,756","84,291","1,277","3,090,670","1.52%","13.12%","2.73%","851,424","74.10","74.25","9.90","9.92","0.15","0.15","3.6300","3.64"," -7.79%"," 36.23%","30-Jun-2009","5.90","7.96","59.60","1.63","1.68%","0.03%","27-Aug-2009","6.30","8.50","63.64","1.74","1.57%","0.02%"

