Column1,AQR,T4Q,31/08/18,31/08/17,31/08/16,31/08/15,31/08/14,31/08/13,31/08/12,31/08/11,31/08/10,31/08/09,CAGR
"Revenue","66,280","61,123","54,282","42,190","62,374","44,714","34,151","52,220","56,070","49,477","44,064","48,490","1.26%"
"YoY %","8.44%","12.60%","28.66%","-32.36%","39.50%","30.93%","-34.60%","-6.87%","13.33%","12.28%","-9.13%","-",""
"Horiz. %","136.69%","126.05%","111.94%","87.01%","128.63%","92.21%","70.43%","107.69%","115.63%","102.04%","90.87%","100.00%",""
"PBT","-356","-1,777","-3,800","-3,570","-307","3,436","4,267","7,466","4,680","3,191","1,562","2,294","-"
"YoY %","79.97%","53.24%","-6.44%","-1,062.87%","-108.93%","-19.48%","-42.85%","59.53%","46.66%","104.29%","-31.91%","-",""
"Horiz. %","-15.52%","-77.46%","-165.65%","-155.62%","-13.38%","149.78%","186.01%","325.46%","204.01%","139.10%","68.09%","100.00%",""
"Tax","-8","398","398","969","2,078","-2,672","-2,596","-437","-900","-491","-409","-464","-"
"YoY %","-102.01%","0.00%","-58.93%","-53.37%","177.77%","-2.93%","-494.05%","51.44%","-83.30%","-20.05%","11.85%","-",""
"Horiz. %","1.72%","-85.78%","-85.78%","-208.84%","-447.84%","575.86%","559.48%","94.18%","193.97%","105.82%","88.15%","100.00%",""
"NP","-364","-1,379","-3,402","-2,601","1,771","764","1,671","7,029","3,780","2,700","1,153","1,830","-"
"YoY %","73.60%","59.47%","-30.80%","-246.87%","131.81%","-54.28%","-76.23%","85.95%","40.00%","134.17%","-36.99%","-",""
"Horiz. %","-19.89%","-75.36%","-185.90%","-142.13%","96.78%","41.75%","91.31%","384.10%","206.56%","147.54%","63.01%","100.00%",""
"NP to SH","-364","-1,379","-3,402","-2,601","1,771","764","1,671","7,029","3,780","2,700","1,153","1,830","-"
"YoY %","73.60%","59.47%","-30.80%","-246.87%","131.81%","-54.28%","-76.23%","85.95%","40.00%","134.17%","-36.99%","-",""
"Horiz. %","-19.89%","-75.36%","-185.90%","-142.13%","96.78%","41.75%","91.31%","384.10%","206.56%","147.54%","63.01%","100.00%",""
"Tax Rate","-     %","-     %","-     %","-     %","-     %","77.76    %","60.84    %","5.85    %","19.23    %","15.39    %","26.18    %","20.23    %","-"
"YoY %","0.00%","0.00%","0.00%","0.00%","0.00%","27.81%","940.00%","-69.58%","24.95%","-41.21%","29.41%","-",""
"Horiz. %","0.00%","0.00%","0.00%","0.00%","0.00%","384.38%","300.74%","28.92%","95.06%","76.08%","129.41%","100.00%",""
"Total Cost","66,644","62,502","57,684","44,791","60,603","43,950","32,480","45,191","52,290","46,777","42,911","46,660","2.38%"
"YoY %","6.63%","8.35%","28.78%","-26.09%","37.89%","35.31%","-28.13%","-13.58%","11.79%","9.01%","-8.03%","-",""
"Horiz. %","142.83%","133.95%","123.63%","95.99%","129.88%","94.19%","69.61%","96.85%","112.07%","100.25%","91.97%","100.00%",""
"Net Worth","115,724","115,724","115,806","119,223","121,769","120,012","69,389","50,207","26,845","22,940","19,939","18,170","22.83%"
