Column1,AQR,T4Q,31/12/18,30/06/18,31/12/17,30/06/17,&nbsp;-&nbsp;,CAGR
"Revenue","2,882,058","2,710,174","1,269,145","2,353,104","1,176,237","2,610,852","-","-38.10%"
"YoY %","6.34%","113.54%","-46.07%","100.05%","-54.95%","-","-",""
"Horiz. %","110.39%","103.80%","48.61%","90.13%","45.05%","100.00%","-",""
"PBT","961,876","442,792","-38,146","728,382","611,575","888,830","-","-"
"YoY %","117.23%","1,260.78%","-105.24%","19.10%","-31.19%","-","-",""
"Horiz. %","108.22%","49.82%","-4.29%","81.95%","68.81%","100.00%","-",""
"Tax","-29,240","-287,653","-273,033","-44,096","-47,567","-179,729","-","32.05%"
"YoY %","89.83%","-5.35%","-519.18%","7.30%","73.53%","-","-",""
"Horiz. %","16.27%","160.05%","151.91%","24.53%","26.47%","100.00%","-",""
"NP","932,636","155,139","-311,179","684,286","564,008","709,101","-","-"
"YoY %","501.16%","149.86%","-145.47%","21.33%","-20.46%","-","-",""
"Horiz. %","131.52%","21.88%","-43.88%","96.50%","79.54%","100.00%","-",""
"NP to SH","940,668","151,634","-318,700","640,008","559,769","624,029","-","-"
"YoY %","520.35%","147.58%","-149.80%","14.33%","-10.30%","-","-",""
"Horiz. %","150.74%","24.30%","-51.07%","102.56%","89.70%","100.00%","-",""
"Tax Rate","3.04    %","64.96    %","-     %","6.05    %","7.78    %","20.22    %","-   %","-"
"YoY %","-95.32%","0.00%","0.00%","-22.24%","-61.52%","-","-",""
"Horiz. %","15.03%","321.27%","0.00%","29.92%","38.48%","100.00%","-",""
"Total Cost","1,949,422","2,555,035","1,580,324","1,668,818","612,229","1,901,751","-","-11.58%"
"YoY %","-23.70%","61.68%","-5.30%","172.58%","-67.81%","-","-",""
"Horiz. %","102.51%","134.35%","83.10%","87.75%","32.19%","100.00%","-",""
"Net Worth","9,589,182","9,589,182","9,181,132","9,725,199","6,726,635","23,902,202","-","-47.07%"
"YoY %","0.00%","4.44%","-5.59%","44.58%","-71.86%","-","-",""
"Horiz. %","40.12%","40.12%","38.41%","40.69%","28.14%","100.00%","-",""
"Div","136,016","136,016","68,008","340,041","94,078","189,099","-","-49.33%"
"YoY %","0.00%","100.00%","-80.00%","261.44%","-50.25%","-","-",""
"Horiz. %","71.93%","71.93%","35.96%","179.82%","49.75%","100.00%","-",""
"Div Payout %","14.46    %","89.70    %","-     %","53.13    %","16.81    %","30.30    %","-   %","-"
"YoY %","-83.88%","0.00%","0.00%","216.06%","-44.52%","-","-",""
"Horiz. %","47.72%","296.04%","0.00%","175.35%","55.48%","100.00%","-",""
"Net Worth","9,589,182","9,589,182","9,181,132","9,725,199","6,726,635","23,902,202","-","-47.07%"
"YoY %","0.00%","4.44%","-5.59%","44.58%","-71.86%","-","-",""
"Horiz. %","40.12%","40.12%","38.41%","40.69%","28.14%","100.00%","-",""
"NOSH","6,800,839","6,800,839","6,800,839","6,800,839","4,703,941","3,781,993","-","47.72%"
"YoY %","0.00%","0.00%","0.00%","44.58%","24.38%","-","-",""
"Horiz. %","179.82%","179.82%","179.82%","179.82%","124.38%","100.00%","-",""
"NP Margin","32.36    %","5.72    %","-24.52    %","29.08    %","47.95    %","27.16    %","-   %","-"
"YoY %","465.73%","123.33%","-184.32%","-39.35%","76.55%","-","-",""
"Horiz. %","119.15%","21.06%","-90.28%","107.07%","176.55%","100.00%","-",""
"ROE","9.81    %","1.58    %","-3.47    %","6.58    %","8.32    %","2.61    %","-   %","-"
"YoY %","520.89%","145.53%","-152.74%","-20.91%","218.77%","-","-",""
"Horiz. %","375.86%","60.54%","-132.95%","252.11%","318.77%","100.00%","-",""
"RPS","42.38","39.85","18.66","34.60","25.01","69.03","-","-58.09%"
"YoY %","6.35%","113.56%","-46.07%","38.34%","-63.77%","-","-",""
"Horiz. %","61.39%","57.73%","27.03%","50.12%","36.23%","100.00%","-",""
"EPS","13.80","2.23","-4.70","11.10","11.90","16.50","-","-"
"YoY %","518.83%","147.45%","-142.34%","-6.72%","-27.88%","-","-",""
"Horiz. %","83.64%","13.52%","-28.48%","67.27%","72.12%","100.00%","-",""
"DPS","2.00","2.00","1.00","5.00","2.00","5.00","-","-65.70%"
"YoY %","0.00%","100.00%","-80.00%","150.00%","-60.00%","-","-",""
"Horiz. %","40.00%","40.00%","20.00%","100.00%","40.00%","100.00%","-",""
"NAPS","1.4100","1.4100","1.3500","1.4300","1.4300","6.3200","-","-64.17%"
"YoY %","0.00%","4.44%","-5.59%","0.00%","-77.37%","-","-",""
"Horiz. %","22.31%","22.31%","21.36%","22.63%","22.63%","100.00%","-",""
"RPS","42.38","39.85","18.66","34.60","17.30","38.39","-","-38.10%"
"YoY %","6.35%","113.56%","-46.07%","100.00%","-54.94%","-","-",""
"Horiz. %","110.39%","103.80%","48.61%","90.13%","45.06%","100.00%","-",""
"EPS","13.80","2.23","-4.70","11.10","8.23","9.18","-","-"
"YoY %","518.83%","147.45%","-142.34%","34.87%","-10.35%","-","-",""
"Horiz. %","150.33%","24.29%","-51.20%","120.92%","89.65%","100.00%","-",""
"DPS","2.00","2.00","1.00","5.00","1.38","2.78","-","-49.33%"
"YoY %","0.00%","100.00%","-80.00%","262.32%","-50.36%","-","-",""
"Horiz. %","71.94%","71.94%","35.97%","179.86%","49.64%","100.00%","-",""
"NAPS","1.4100","1.4100","1.3500","1.4300","0.9891","3.5146","-","-47.07%"
"YoY %","0.00%","4.44%","-5.59%","44.58%","-71.86%","-","-",""
"Horiz. %","40.12%","40.12%","38.41%","40.69%","28.14%","100.00%","-",""
"Date","AQR","T4Q","31/12/18","29/06/18","29/12/17","-","-","-"
"Price","1.0300","1.0300","0.9950","1.2000","1.7800","0.0000","-","-"
"P/RPS","2.43","2.58","5.33","3.47","7.12","0.00","-","-"
"YoY %","-5.81%","-51.59%","53.60%","-51.26%","0.00%","-","-",""
"Horiz. %","34.13%","36.24%","74.86%","48.74%","100.00%","-","-",""
"P/EPS","7.45","46.20","-21.23","12.75","14.96","0.00","-","-"
"YoY %","-83.87%","317.62%","-266.51%","-14.77%","0.00%","-","-",""
"Horiz. %","49.80%","308.82%","-141.91%","85.23%","100.00%","-","-",""
"EY","13.43","2.16","-4.71","7.84","6.69","0.00","-","-"
"YoY %","521.76%","145.86%","-160.08%","17.19%","0.00%","-","-",""
"Horiz. %","200.75%","32.29%","-70.40%","117.19%","100.00%","-","-",""
"DY","1.94","1.94","1.01","4.17","1.12","0.00","-","-"
"YoY %","0.00%","92.08%","-75.78%","272.32%","0.00%","-","-",""
"Horiz. %","173.21%","173.21%","90.18%","372.32%","100.00%","-","-",""
"P/NAPS","0.73","0.73","0.74","0.84","1.24","0.00","-","-"
"YoY %","0.00%","-1.35%","-11.90%","-32.26%","0.00%","-","-",""
"Horiz. %","58.87%","58.87%","59.68%","67.74%","100.00%","-","-",""
"Date","AQR","T4Q","27/02/19","28/08/18","-","-","-","-"
"Price","0.8000","0.8000","1.1700","1.2300","0.0000","0.0000","-","-"
"P/RPS","1.89","2.01","6.27","3.55","0.00","0.00","-","-"
"YoY %","-5.97%","-67.94%","76.62%","0.00%","0.00%","-","-",""
"Horiz. %","53.24%","56.62%","176.62%","100.00%","-","-","-",""
"P/EPS","5.78","35.88","-24.97","13.07","0.00","0.00","-","-"
"YoY %","-83.89%","243.69%","-291.05%","0.00%","0.00%","-","-",""
"Horiz. %","44.22%","274.52%","-191.05%","100.00%","-","-","-",""
"EY","17.29","2.79","-4.01","7.65","0.00","0.00","-","-"
"YoY %","519.71%","169.58%","-152.42%","0.00%","0.00%","-","-",""
"Horiz. %","226.01%","36.47%","-52.42%","100.00%","-","-","-",""
"DY","2.50","2.50","0.85","4.07","0.00","0.00","-","-"
"YoY %","0.00%","194.12%","-79.12%","0.00%","0.00%","-","-",""
"Horiz. %","61.43%","61.43%","20.88%","100.00%","-","-","-",""
"P/NAPS","0.57","0.57","0.87","0.86","0.00","0.00","-","-"
"YoY %","0.00%","-34.48%","1.16%","0.00%","0.00%","-","-",""
"Horiz. %","66.28%","66.28%","101.16%","100.00%","-","-","-",""

