Date,Open Price,Target Price,Upside/Downside,Price Call,Source
"22/08/2019","1.40","0.88","-0.52 (37.14%)","SELL","MIDF"
"22/08/2019","1.40","1.20","-0.20 (14.29%)","SELL","AmInvest"
"22/08/2019","1.40","1.05","-0.35 (25.00%)","SELL","AffinHwang"
"04/07/2019","1.42","1.07","-0.35 (24.65%)","SELL","MIDF"
"04/07/2019","1.42","1.10","-0.32 (22.54%)","SELL","AffinHwang"
"24/05/2019","1.41","1.19","-0.22 (15.60%)","SELL","MIDF"
"24/05/2019","1.41","1.22","-0.19 (13.48%)","SELL","AmInvest"
"24/05/2019","1.41","1.10","-0.31 (21.99%)","SELL","AffinHwang"
"20/03/2019","1.95","1.55","-0.40 (20.51%)","SELL","AmInvest"

