Column1,AQR,T4Q,31/12/17,31/12/16,31/07/16,31/07/15,31/07/14,31/07/13,31/07/12,31/07/11,31/07/10,31/07/09,CAGR
"Revenue","34,642","22,616","31,038","0","38,112","34,695","36,998","45,504","39,408","43,253","48,802","69,434","-9.11%"
"YoY %","53.17%","-27.13%","0.00%","0.00%","9.85%","-6.22%","-18.69%","15.47%","-8.89%","-11.37%","-29.71%","-",""
"Horiz. %","49.89%","32.57%","44.70%","0.00%","54.89%","49.97%","53.29%","65.54%","56.76%","62.29%","70.29%","100.00%",""
"PBT","-11,168","-13,354","-13,398","0","-14,429","-4,785","-10,250","1,520","-13,518","-20,159","-2,264","4,206","-"
"YoY %","16.37%","0.33%","0.00%","0.00%","-201.55%","53.32%","-774.34%","111.24%","32.94%","-790.42%","-153.83%","-",""
"Horiz. %","-265.53%","-317.50%","-318.54%","0.00%","-343.06%","-113.77%","-243.70%","36.14%","-321.40%","-479.29%","-53.83%","100.00%",""
"Tax","0","600","600","0","102","139","-134","-632","100","-356","-1,518","-1,097","-"
"YoY %","0.00%","0.00%","0.00%","0.00%","-26.62%","203.73%","78.80%","-732.00%","128.09%","76.55%","-38.38%","-",""
"Horiz. %","-0.00%","-54.69%","-54.69%","-0.00%","-9.30%","-12.67%","12.22%","57.61%","-9.12%","32.45%","138.38%","100.00%",""
"NP","-11,168","-12,754","-12,798","0","-14,327","-4,646","-10,384","888","-13,418","-20,515","-3,782","3,109","-"
"YoY %","12.44%","0.34%","0.00%","0.00%","-208.37%","55.26%","-1,269.37%","106.62%","34.59%","-442.44%","-221.65%","-",""
"Horiz. %","-359.22%","-410.23%","-411.64%","0.00%","-460.82%","-149.44%","-334.00%","28.56%","-431.59%","-659.86%","-121.65%","100.00%",""
"NP to SH","-11,168","-12,754","-12,798","0","-14,327","-8,634","-9,137","1,076","-11,624","-19,767","-2,192","2,743","-"
"YoY %","12.44%","0.34%","0.00%","0.00%","-65.94%","5.51%","-949.16%","109.26%","41.19%","-801.78%","-179.91%","-",""
"Horiz. %","-407.15%","-464.97%","-466.57%","0.00%","-522.31%","-314.76%","-333.10%","39.23%","-423.77%","-720.63%","-79.91%","100.00%",""
"Tax Rate","-     %","-     %","-     %","-     %","-     %","-     %","-     %","41.58    %","-     %","-     %","-     %","26.08    %","-"
"YoY %","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","-",""
"Horiz. %","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","159.43%","0.00%","0.00%","0.00%","100.00%",""
"Total Cost","45,810","35,370","43,836","0","52,439","39,341","47,382","44,616","52,826","63,768","52,584","66,325","-4.80%"
"YoY %","29.52%","-19.31%","0.00%","0.00%","33.29%","-16.97%","6.20%","-15.54%","-17.16%","21.27%","-20.72%","-",""
"Horiz. %","69.07%","53.33%","66.09%","0.00%","79.06%","59.32%","71.44%","67.27%","79.65%","96.14%","79.28%","100.00%",""
"Net Worth","62,246","62,246","71,156","23,519","23,519","33,501","38,592","48,979","48,110","63,079","73,249","78,632","-1.18%"
"YoY %","0.00%","-12.52%","202.54%","0.00%","-29.80%","-13.19%","-21.21%","1.81%","-23.73%","-13.88%","-6.84%","-",""
"Horiz. %","79.16%","79.16%","90.49%","29.91%","29.91%","42.61%","49.08%","62.29%","61.18%","80.22%","93.16%","100.00%",""
"Div","-","0","-","-","-","-","-","-","-","-","-","-","-"
"YoY %","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","-",""
"Horiz. %","-","-","-","-","-","-","-","-","-","-","-","-",""
"Div Payout %","-     %","-     %","-     %","-     %","-     %","-     %","-     %","-     %","-     %","-     %","-     %","-     %","-"
"YoY %","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","-",""
"Horiz. %","-","-","-","-","-","-","-","-","-","-","-","-",""
"Net Worth","62,246","62,246","71,156","23,519","23,519","33,501","38,592","48,979","48,110","63,079","73,249","78,632","-1.18%"
"YoY %","0.00%","-12.52%","202.54%","0.00%","-29.80%","-13.19%","-21.21%","1.81%","-23.73%","-13.88%","-6.84%","-",""
"Horiz. %","79.16%","79.16%","90.49%","29.91%","29.91%","42.61%","49.08%","62.29%","61.18%","80.22%","93.16%","100.00%",""
"NOSH","412,500","412,500","412,500","125,236","125,236","124,726","124,652","124,725","124,736","124,737","124,829","124,813","15.25%"
"YoY %","0.00%","0.00%","229.38%","0.00%","0.41%","0.06%","-0.06%","-0.01%","-0.00%","-0.07%","0.01%","-",""
"Horiz. %","330.49%","330.49%","330.49%","100.34%","100.34%","99.93%","99.87%","99.93%","99.94%","99.94%","100.01%","100.00%",""
"NP Margin","-32.24    %","-56.39    %","-41.23    %","-     %","-37.59    %","-13.39    %","-28.07    %","1.95    %","-34.05    %","-47.43    %","-7.75    %","4.48    %","-"
"YoY %","42.83%","-36.77%","0.00%","0.00%","-180.73%","52.30%","-1,539.49%","105.73%","28.21%","-512.00%","-272.99%","-",""
"Horiz. %","-719.64%","-1,258.71%","-920.31%","0.00%","-839.06%","-298.88%","-626.56%","43.53%","-760.04%","-1,058.71%","-172.99%","100.00%",""
"ROE","-17.94    %","-20.49    %","-17.99    %","-     %","-60.92    %","-25.77    %","-23.68    %","2.20    %","-24.16    %","-31.34    %","-2.99    %","3.49    %","-"
"YoY %","12.45%","-13.90%","0.00%","0.00%","-136.40%","-8.83%","-1,176.36%","109.11%","22.91%","-948.16%","-185.67%","-",""
"Horiz. %","-514.04%","-587.11%","-515.47%","0.00%","-1,745.56%","-738.40%","-678.51%","63.04%","-692.26%","-897.99%","-85.67%","100.00%",""
"RPS","8.40","5.48","7.52","-","30.43","27.82","29.68","36.48","31.59","34.68","39.09","55.63","-21.14%"
"YoY %","53.28%","-27.13%","0.00%","0.00%","9.38%","-6.27%","-18.64%","15.48%","-8.91%","-11.28%","-29.73%","-",""
"Horiz. %","15.10%","9.85%","13.52%","0.00%","54.70%","50.01%","53.35%","65.58%","56.79%","62.34%","70.27%","100.00%",""
"EPS","-2.70","-3.09","-6.98","0.00","-11.44","-8.00","-7.33","0.86","-9.32","-15.85","-1.75","2.19","-"
"YoY %","12.62%","55.73%","0.00%","0.00%","-43.00%","-9.14%","-952.33%","109.23%","41.20%","-805.71%","-179.91%","-",""
"Horiz. %","-123.29%","-141.10%","-318.72%","0.00%","-522.37%","-365.30%","-334.70%","39.27%","-425.57%","-723.74%","-79.91%","100.00%",""
"DPS","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","-"
"YoY %","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","-",""
"Horiz. %","-","-","-","-","-","-","-","-","-","-","-","-",""
"NAPS","0.1509","0.1509","0.1725","0.1878","0.1878","0.2686","0.3096","0.3927","0.3857","0.5057","0.5868","0.6300","-14.25%"
"YoY %","0.00%","-12.52%","-8.15%","0.00%","-30.08%","-13.24%","-21.16%","1.81%","-23.73%","-13.82%","-6.86%","-",""
"Horiz. %","23.95%","23.95%","27.38%","29.81%","29.81%","42.63%","49.14%","62.33%","61.22%","80.27%","93.14%","100.00%",""
"RPS","8.40","5.48","7.52","-","9.24","8.41","8.97","11.03","9.55","10.49","11.83","16.83","-9.12%"
"YoY %","53.28%","-27.13%","0.00%","0.00%","9.87%","-6.24%","-18.68%","15.50%","-8.96%","-11.33%","-29.71%","-",""
