Date,Open Price,Target Price,Upside/Downside,Price Call,Source
"03/09/2019","1.99","2.45","+0.46 (23.12%)","BUY","KENANGA"
"03/09/2019","1.99","2.15","+0.16 (8.04%)","HOLD","HLG"
"28/08/2019","2.05","2.10","+0.05 (2.44%)","HOLD","MIDF"
"28/08/2019","2.05","2.40","+0.35 (17.07%)","BUY","KENANGA"
"28/08/2019","1.99","2.25","+0.26 (13.07%)","HOLD","HLG"
"01/07/2019","2.16","2.40","+0.24 (11.11%)","BUY","KENANGA"
"06/06/2019","2.10","2.30","+0.20 (9.52%)","HOLD","HLG"
"03/06/2019","2.10","2.40","+0.30 (14.29%)","BUY","KENANGA"
"31/05/2019","2.08","2.50","+0.42 (20.19%)","BUY","MIDF"
"31/05/2019","2.08","2.60","+0.52 (25.00%)","BUY","KENANGA"

