Column1,AQR,T4Q,30/09/18,30/09/17,30/09/16,30/09/15,30/09/14,30/09/13,30/09/12,30/09/11,CAGR
"Revenue","320,316","303,746","293,005","280,415","224,224","219,625","218,444","207,512","179,295","0","-"
"YoY %","5.46%","3.67%","4.49%","25.06%","2.09%","0.54%","5.27%","15.74%","0.00%","-",""
"Horiz. %","178.65%","169.41%","163.42%","156.40%","125.06%","122.49%","121.83%","115.74%","100.00%","-",""
"PBT","25,886","21,927","25,411","51,352","45,182","37,123","35,466","44,557","49,449","0","-"
"YoY %","18.06%","-13.71%","-50.52%","13.66%","21.71%","4.67%","-20.40%","-9.89%","0.00%","-",""
"Horiz. %","52.35%","44.34%","51.39%","103.85%","91.37%","75.07%","71.72%","90.11%","100.00%","-",""
"Tax","-9,049","-11,589","2,653","-13,333","-12,071","-5,008","-6,475","8,500","-1,606","0","-"
"YoY %","21.91%","-536.83%","119.90%","-10.45%","-141.03%","22.66%","-176.18%","629.27%","0.00%","-",""
"Horiz. %","563.47%","721.61%","-165.19%","830.20%","751.62%","311.83%","403.18%","-529.27%","100.00%","-",""
"NP","16,837","10,338","28,064","38,019","33,111","32,115","28,991","53,057","47,843","0","-"
"YoY %","62.87%","-63.16%","-26.18%","14.82%","3.10%","10.78%","-45.36%","10.90%","0.00%","-",""
"Horiz. %","35.19%","21.61%","58.66%","79.47%","69.21%","67.13%","60.60%","110.90%","100.00%","-",""
"NP to SH","16,953","10,428","28,066","38,016","33,129","32,129","29,139","53,051","47,835","0","-"
"YoY %","62.58%","-62.84%","-26.17%","14.75%","3.11%","10.26%","-45.07%","10.90%","0.00%","-",""
"Horiz. %","35.44%","21.80%","58.67%","79.47%","69.26%","67.17%","60.92%","110.90%","100.00%","-",""
"Tax Rate","34.96    %","52.85    %","-10.44    %","25.96    %","26.72    %","13.49    %","18.26    %","-19.08    %","3.25    %","-     %","-"
"YoY %","-33.85%","606.23%","-140.22%","-2.84%","98.07%","-26.12%","195.70%","-687.08%","0.00%","-",""
"Horiz. %","1,075.69%","1,626.15%","-321.23%","798.77%","822.15%","415.08%","561.85%","-587.08%","100.00%","-",""
"Total Cost","303,478","293,408","264,941","242,396","191,113","187,510","189,453","154,455","131,452","0","-"
"YoY %","3.43%","10.74%","9.30%","26.83%","1.92%","-1.03%","22.66%","17.50%","0.00%","-",""
"Horiz. %","230.87%","223.21%","201.55%","184.40%","145.39%","142.65%","144.12%","117.50%","100.00%","-",""
"Net Worth","540,950","540,950","535,559","442,618","397,742","359,034","325,722","246,339","188,772","-","-"
"YoY %","0.00%","1.01%","21.00%","11.28%","10.78%","10.23%","32.23%","30.50%","0.00%","-",""
"Horiz. %","286.56%","286.56%","283.71%","234.47%","210.70%","190.19%","172.55%","130.50%","100.00%","-",""
"Div","-","0","-","-","9,701","9,206","8,803","4,398","3,775","-","-"
"YoY %","0.00%","0.00%","0.00%","0.00%","5.38%","4.57%","100.12%","16.51%","0.00%","-",""
"Horiz. %","0.00%","0.00%","0.00%","0.00%","256.95%","243.84%","233.17%","116.51%","100.00%","-",""
"Div Payout %","-     %","-     %","-     %","-     %","29.28    %","28.65    %","30.21    %","8.29    %","7.89    %","-     %","-"
"YoY %","0.00%","0.00%","0.00%","0.00%","2.20%","-5.16%","264.41%","5.07%","0.00%","-",""
"Horiz. %","0.00%","0.00%","0.00%","0.00%","371.10%","363.12%","382.89%","105.07%","100.00%","-",""
"Net Worth","540,950","540,950","535,559","442,618","397,742","359,034","325,722","246,339","188,772","-","-"
"YoY %","0.00%","1.01%","21.00%","11.28%","10.78%","10.23%","32.23%","30.50%","0.00%","-",""
"Horiz. %","286.56%","286.56%","283.71%","234.47%","210.70%","190.19%","172.55%","130.50%","100.00%","-",""
"NOSH","557,681","557,681","557,875","491,798","485,051","460,300","440,166","439,892","377,545","-","-"
"YoY %","0.00%","-0.03%","13.44%","1.39%","5.38%","4.57%","0.06%","16.51%","0.00%","-",""
"Horiz. %","147.71%","147.71%","147.76%","130.26%","128.47%","121.92%","116.59%","116.51%","100.00%","-",""
"NP Margin","5.26    %","3.40    %","9.58    %","13.56    %","14.77    %","14.62    %","13.27    %","25.57    %","26.68    %","-     %","-"
"YoY %","54.71%","-64.51%","-29.35%","-8.19%","1.03%","10.17%","-48.10%","-4.16%","0.00%","-",""
"Horiz. %","19.72%","12.74%","35.91%","50.82%","55.36%","54.80%","49.74%","95.84%","100.00%","-",""
"ROE","3.13    %","1.93    %","5.24    %","8.59    %","8.33    %","8.95    %","8.95    %","21.54    %","25.34    %","-     %","-"
"YoY %","62.18%","-63.17%","-39.00%","3.12%","-6.93%","0.00%","-58.45%","-15.00%","0.00%","-",""
"Horiz. %","12.35%","7.62%","20.68%","33.90%","32.87%","35.32%","35.32%","85.00%","100.00%","-",""
"RPS","57.44","54.47","52.52","57.02","46.23","47.71","49.63","47.17","47.49","-","-"
"YoY %","5.45%","3.71%","-7.89%","23.34%","-3.10%","-3.87%","5.22%","-0.67%","0.00%","-",""
"Horiz. %","120.95%","114.70%","110.59%","120.07%","97.35%","100.46%","104.51%","99.33%","100.00%","-",""
"EPS","3.04","1.87","5.02","7.73","6.83","6.98","6.62","12.06","12.67","0.00","-"
"YoY %","62.57%","-62.75%","-35.06%","13.18%","-2.15%","5.44%","-45.11%","-4.81%","0.00%","-",""
"Horiz. %","23.99%","14.76%","39.62%","61.01%","53.91%","55.09%","52.25%","95.19%","100.00%","-",""
"DPS","0.00","0.00","0.00","0.00","2.00","2.00","2.00","1.00","1.00","0.00","-"
"YoY %","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","100.00%","0.00%","0.00%","-",""
"Horiz. %","0.00%","0.00%","0.00%","0.00%","200.00%","200.00%","200.00%","100.00%","100.00%","-",""
"NAPS","0.9700","0.9700","0.9600","0.9000","0.8200","0.7800","0.7400","0.5600","0.5000","0.0000","-"
