Column1,AQR,T4Q,31/12/18,31/12/17,31/12/16,31/12/15,31/12/14,31/12/13,CAGR
"Revenue","130,000","156,807","163,065","144,369","81,281","61,354","54,661","-","-"
"YoY %","-17.10%","-3.84%","12.95%","77.62%","32.48%","12.24%","0.00%","-",""
"Horiz. %","237.83%","286.87%","298.32%","264.12%","148.70%","112.24%","100.00%","-",""
"PBT","16,060","19,790","18,663","12,979","7,545","2,875","6,512","-","-"
"YoY %","-18.85%","6.04%","43.79%","72.02%","162.43%","-55.85%","0.00%","-",""
"Horiz. %","246.62%","303.90%","286.59%","199.31%","115.86%","44.15%","100.00%","-",""
"Tax","-1,300","-1,762","-2,318","-916","-384","175","-461","-","-"
"YoY %","26.22%","23.99%","-153.06%","-138.54%","-319.43%","137.96%","0.00%","-",""
"Horiz. %","282.00%","382.21%","502.82%","198.70%","83.30%","-37.96%","100.00%","-",""
"NP","14,760","18,028","16,345","12,063","7,161","3,050","6,051","-","-"
"YoY %","-18.13%","10.30%","35.50%","68.45%","134.79%","-49.60%","0.00%","-",""
"Horiz. %","243.93%","297.93%","270.12%","199.36%","118.34%","50.40%","100.00%","-",""
"NP to SH","14,760","18,028","16,345","12,063","7,161","3,050","6,051","-","-"
"YoY %","-18.13%","10.30%","35.50%","68.45%","134.79%","-49.60%","0.00%","-",""
"Horiz. %","243.93%","297.93%","270.12%","199.36%","118.34%","50.40%","100.00%","-",""
"Tax Rate","8.09    %","8.90    %","12.42    %","7.06    %","5.09    %","-6.09    %","7.08    %","-     %","-"
"YoY %","-9.10%","-28.34%","75.92%","38.70%","183.58%","-186.02%","0.00%","-",""
"Horiz. %","114.27%","125.71%","175.42%","99.72%","71.89%","-86.02%","100.00%","-",""
"Total Cost","115,240","138,779","146,720","132,306","74,120","58,304","48,610","-","-"
"YoY %","-16.96%","-5.41%","10.89%","78.50%","27.13%","19.94%","0.00%","-",""
"Horiz. %","237.07%","285.49%","301.83%","272.18%","152.48%","119.94%","100.00%","-",""
"Net Worth","167,500","167,500","147,348","108,661","45,537","35,465","10,985","-","-"
"YoY %","0.00%","13.68%","35.60%","138.62%","28.40%","222.85%","0.00%","-",""
"Horiz. %","1,524.78%","1,524.78%","1,341.34%","989.16%","414.54%","322.85%","100.00%","-",""
"Div","31,904","7,976","-","-","-","-","-","-","-"
"YoY %","300.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","-",""
"Horiz. %","400.00%","100.00%","-","-","-","-","-","-",""
"Div Payout %","216.16    %","44.24    %","-     %","-     %","-     %","-     %","-     %","-     %","-"
"YoY %","388.61%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","-",""
"Horiz. %","488.61%","100.00%","-","-","-","-","-","-",""
"Net Worth","167,500","167,500","147,348","108,661","45,537","35,465","10,985","-","-"
"YoY %","0.00%","13.68%","35.60%","138.62%","28.40%","222.85%","0.00%","-",""
"Horiz. %","1,524.78%","1,524.78%","1,341.34%","989.16%","414.54%","322.85%","100.00%","-",""
"NOSH","398,809","398,809","359,386","252,701","239,671","236,434","91,543","-","-"
"YoY %","0.00%","10.97%","42.22%","5.44%","1.37%","158.28%","0.00%","-",""
"Horiz. %","435.65%","435.65%","392.59%","276.05%","261.81%","258.28%","100.00%","-",""
"NP Margin","11.35    %","11.50    %","10.02    %","8.36    %","8.81    %","4.97    %","11.07    %","-     %","-"
"YoY %","-1.30%","14.77%","19.86%","-5.11%","77.26%","-55.10%","0.00%","-",""
"Horiz. %","102.53%","103.88%","90.51%","75.52%","79.58%","44.90%","100.00%","-",""
"ROE","8.81    %","10.76    %","11.09    %","11.10    %","15.73    %","8.60    %","55.08    %","-     %","-"
"YoY %","-18.12%","-2.98%","-0.09%","-29.43%","82.91%","-84.39%","0.00%","-",""
"Horiz. %","15.99%","19.54%","20.13%","20.15%","28.56%","15.61%","100.00%","-",""
"RPS","32.60","39.32","45.37","57.13","33.91","25.95","59.71","-","-"
"YoY %","-17.09%","-13.33%","-20.58%","68.48%","30.67%","-56.54%","0.00%","-",""
"Horiz. %","54.60%","65.85%","75.98%","95.68%","56.79%","43.46%","100.00%","-",""
"EPS","3.72","4.52","4.56","4.77","2.99","1.29","6.61","-","-"
"YoY %","-17.70%","-0.88%","-4.40%","59.53%","131.78%","-80.48%","0.00%","-",""
"Horiz. %","56.28%","68.38%","68.99%","72.16%","45.23%","19.52%","100.00%","-",""
"DPS","8.00","2.00","0.00","0.00","0.00","0.00","0.00","-","-"
"YoY %","300.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","-",""
"Horiz. %","400.00%","100.00%","-","-","-","-","-","-",""
"NAPS","0.4200","0.4200","0.4100","0.4300","0.1900","0.1500","0.1200","-","-"
"YoY %","0.00%","2.44%","-4.65%","126.32%","26.67%","25.00%","0.00%","-",""
"Horiz. %","350.00%","350.00%","341.67%","358.33%","158.33%","125.00%","100.00%","-",""
"RPS","26.57","32.05","33.33","29.51","16.61","12.54","11.17","-","-"
"YoY %","-17.10%","-3.84%","12.94%","77.66%","32.46%","12.26%","0.00%","-",""
"Horiz. %","237.87%","286.93%","298.39%","264.19%","148.70%","112.26%","100.00%","-",""
