Column1,AQR,T4Q,31/12/18,31/12/17,31/12/16,31/12/15,31/12/14,31/12/13,CAGR
"Revenue","2,216,099","2,216,099","2,216,099","2,187,102","2,103,367","2,006,284","1,893,104","1,672,465","5.79%"
"YoY %","0.00%","0.00%","1.33%","3.98%","4.84%","5.98%","13.19%","-",""
"Horiz. %","132.50%","132.50%","132.50%","130.77%","125.76%","119.96%","113.19%","100.00%",""
"PBT","73,859","73,859","73,859","70,496","70,822","77,842","89,302","65,264","2.50%"
"YoY %","0.00%","0.00%","4.77%","-0.46%","-9.02%","-12.83%","36.83%","-",""
"Horiz. %","113.17%","113.17%","113.17%","108.02%","108.52%","119.27%","136.83%","100.00%",""
"Tax","-22,529","-22,529","-22,529","-20,389","-18,644","-22,041","-26,228","-21,163","1.26%"
"YoY %","0.00%","0.00%","-10.50%","-9.36%","15.41%","15.96%","-23.93%","-",""
"Horiz. %","106.45%","106.45%","106.45%","96.34%","88.10%","104.15%","123.93%","100.00%",""
"NP","51,330","51,330","51,330","50,107","52,178","55,801","63,074","44,101","3.08%"
"YoY %","0.00%","0.00%","2.44%","-3.97%","-6.49%","-11.53%","43.02%","-",""
"Horiz. %","116.39%","116.39%","116.39%","113.62%","118.31%","126.53%","143.02%","100.00%",""
"NP to SH","51,307","51,307","51,307","50,107","52,178","55,801","63,074","44,101","3.07%"
"YoY %","0.00%","0.00%","2.39%","-3.97%","-6.49%","-11.53%","43.02%","-",""
"Horiz. %","116.34%","116.34%","116.34%","113.62%","118.31%","126.53%","143.02%","100.00%",""
"Tax Rate","30.50    %","30.50    %","30.50    %","28.92    %","26.33    %","28.32    %","29.37    %","32.43    %","-1.22%"
"YoY %","0.00%","0.00%","5.46%","9.84%","-7.03%","-3.58%","-9.44%","-",""
"Horiz. %","94.05%","94.05%","94.05%","89.18%","81.19%","87.33%","90.56%","100.00%",""
"Total Cost","2,164,769","2,164,769","2,164,769","2,136,995","2,051,189","1,950,483","1,830,030","1,628,364","5.86%"
"YoY %","0.00%","0.00%","1.30%","4.18%","5.16%","6.58%","12.38%","-",""
"Horiz. %","132.94%","132.94%","132.94%","131.24%","125.97%","119.78%","112.38%","100.00%",""
"Net Worth","92,794","92,794","92,794","74,062","36,096","175,006","222,034","-70,730","-"
"YoY %","0.00%","0.00%","25.29%","105.18%","-79.37%","-21.18%","413.92%","-",""
"Horiz. %","-131.20%","-131.20%","-131.20%","-104.71%","-51.03%","-247.43%","-313.92%","100.00%",""
"Div","-","0","-","-","53,349","57,640","59,131","-","-"
"YoY %","0.00%","0.00%","0.00%","0.00%","-7.44%","-2.52%","0.00%","-",""
"Horiz. %","0.00%","0.00%","0.00%","0.00%","90.22%","97.48%","100.00%","-",""
"Div Payout %","-     %","-     %","-     %","-     %","102.25    %","103.30    %","93.75    %","-     %","-"
"YoY %","0.00%","0.00%","0.00%","0.00%","-1.02%","10.19%","0.00%","-",""
"Horiz. %","0.00%","0.00%","0.00%","0.00%","109.07%","110.19%","100.00%","-",""
"Net Worth","92,794","92,794","92,794","74,062","36,096","175,006","222,034","-70,730","-"
"YoY %","0.00%","0.00%","25.29%","105.18%","-79.37%","-21.18%","413.92%","-",""
"Horiz. %","-131.20%","-131.20%","-131.20%","-104.71%","-51.03%","-247.43%","-313.92%","100.00%",""
"NOSH","1,128,891","1,128,891","1,128,891","1,110,385","1,135,102","1,226,395","1,159,448","1,052,529","1.41%"
"YoY %","0.00%","0.00%","1.67%","-2.18%","-7.44%","5.77%","10.16%","-",""
"Horiz. %","107.26%","107.26%","107.26%","105.50%","107.85%","116.52%","110.16%","100.00%",""
"NP Margin","2.32    %","2.32    %","2.32    %","2.29    %","2.48    %","2.78    %","3.33    %","2.64    %","-2.55%"
"YoY %","0.00%","0.00%","1.31%","-7.66%","-10.79%","-16.52%","26.14%","-",""
"Horiz. %","87.88%","87.88%","87.88%","86.74%","93.94%","105.30%","126.14%","100.00%",""
"ROE","55.29    %","55.29    %","55.29    %","67.65    %","144.55    %","31.89    %","28.41    %","0.00    %","-"
"YoY %","0.00%","0.00%","-18.27%","-53.20%","353.28%","12.25%","0.00%","-",""
"Horiz. %","194.61%","194.61%","194.61%","238.12%","508.80%","112.25%","100.00%","-",""
"RPS","196.31","196.31","196.31","196.97","185.30","163.59","163.28","158.90","4.32%"
"YoY %","0.00%","0.00%","-0.34%","6.30%","13.27%","0.19%","2.76%","-",""
"Horiz. %","123.54%","123.54%","123.54%","123.96%","116.61%","102.95%","102.76%","100.00%",""
"EPS","4.57","4.54","4.57","4.51","4.50","4.55","5.44","4.19","1.75%"
"YoY %","0.66%","-0.66%","1.33%","0.22%","-1.10%","-16.36%","29.83%","-",""
"Horiz. %","109.07%","108.35%","109.07%","107.64%","107.40%","108.59%","129.83%","100.00%",""
"DPS","0.00","0.00","0.00","0.00","4.70","4.70","5.10","0.00","-"
"YoY %","0.00%","0.00%","0.00%","0.00%","0.00%","-7.84%","0.00%","-",""
"Horiz. %","0.00%","0.00%","0.00%","0.00%","92.16%","92.16%","100.00%","-",""
"NAPS","0.0822","0.0822","0.0822","0.0667","0.0318","0.1427","0.1915","-0.0672","-"
"YoY %","0.00%","0.00%","23.24%","109.75%","-77.72%","-25.48%","384.97%","-",""
"Horiz. %","-122.32%","-122.32%","-122.32%","-99.26%","-47.32%","-212.35%","-284.97%","100.00%",""
"RPS","179.68","179.68","179.68","177.33","170.54","162.67","153.49","135.60","5.79%"
"YoY %","0.00%","0.00%","1.33%","3.98%","4.84%","5.98%","13.19%","-",""
"Horiz. %","132.51%","132.51%","132.51%","130.77%","125.77%","119.96%","113.19%","100.00%",""
"EPS","4.16","4.16","4.16","4.06","4.23","4.52","5.11","3.58","3.05%"
"YoY %","0.00%","0.00%","2.46%","-4.02%","-6.42%","-11.55%","42.74%","-",""
"Horiz. %","116.20%","116.20%","116.20%","113.41%","118.16%","126.26%","142.74%","100.00%",""
"DPS","0.00","0.00","0.00","0.00","4.33","4.67","4.79","0.00","-"
"YoY %","0.00%","0.00%","0.00%","0.00%","-7.28%","-2.51%","0.00%","-",""
"Horiz. %","0.00%","0.00%","0.00%","0.00%","90.40%","97.49%","100.00%","-",""
"NAPS","0.0752","0.0752","0.0752","0.0600","0.0293","0.1419","0.1800","-0.0573","-"
"YoY %","0.00%","0.00%","25.33%","104.78%","-79.35%","-21.17%","414.14%","-",""
"Horiz. %","-131.24%","-131.24%","-131.24%","-104.71%","-51.13%","-247.64%","-314.14%","100.00%",""
"Date","AQR","T4Q","31/12/18","29/12/17","30/12/16","31/12/15","31/12/14","-","-"
"Price","1.5000","1.5000","1.5000","1.5400","1.4200","1.5400","1.5000","0.0000","-"
"P/RPS","0.76","0.76","0.76","0.78","0.77","0.94","0.92","0.00","-"
"YoY %","0.00%","0.00%","-2.56%","1.30%","-18.09%","2.17%","0.00%","-",""
"Horiz. %","82.61%","82.61%","82.61%","84.78%","83.70%","102.17%","100.00%","-",""
"P/EPS","33.00","33.00","33.00","34.13","30.89","33.85","27.57","0.00","-"
"YoY %","0.00%","0.00%","-3.31%","10.49%","-8.74%","22.78%","0.00%","-",""
"Horiz. %","119.70%","119.70%","119.70%","123.79%","112.04%","122.78%","100.00%","-",""
"EY","3.03","3.03","3.03","2.93","3.24","2.95","3.63","0.00","-"
"YoY %","0.00%","0.00%","3.41%","-9.57%","9.83%","-18.73%","0.00%","-",""
"Horiz. %","83.47%","83.47%","83.47%","80.72%","89.26%","81.27%","100.00%","-",""
"DY","0.00","0.00","0.00","0.00","3.31","3.05","3.40","0.00","-"
"YoY %","0.00%","0.00%","0.00%","0.00%","8.52%","-10.29%","0.00%","-",""
"Horiz. %","0.00%","0.00%","0.00%","0.00%","97.35%","89.71%","100.00%","-",""
"P/NAPS","18.25","18.25","18.25","23.09","44.65","10.79","7.83","0.00","-"
"YoY %","0.00%","0.00%","-20.96%","-48.29%","313.81%","37.80%","0.00%","-",""
"Horiz. %","233.08%","233.08%","233.08%","294.89%","570.24%","137.80%","100.00%","-",""
"Date","AQR","T4Q","26/02/19","28/02/18","27/02/17","25/02/16","27/02/15","-","-"
"Price","1.4500","1.4500","1.4500","1.5200","1.5200","1.5200","1.5600","0.0000","-"
"P/RPS","0.74","0.74","0.74","0.77","0.82","0.93","0.96","0.00","-"
"YoY %","0.00%","0.00%","-3.90%","-6.10%","-11.83%","-3.12%","0.00%","-",""
"Horiz. %","77.08%","77.08%","77.08%","80.21%","85.42%","96.88%","100.00%","-",""
"P/EPS","31.90","31.90","31.90","33.68","33.07","33.41","28.68","0.00","-"
"YoY %","0.00%","0.00%","-5.29%","1.84%","-1.02%","16.49%","0.00%","-",""
"Horiz. %","111.23%","111.23%","111.23%","117.43%","115.31%","116.49%","100.00%","-",""
"EY","3.13","3.13","3.13","2.97","3.02","2.99","3.49","0.00","-"
"YoY %","0.00%","0.00%","5.39%","-1.66%","1.00%","-14.33%","0.00%","-",""
"Horiz. %","89.68%","89.68%","89.68%","85.10%","86.53%","85.67%","100.00%","-",""
"DY","0.00","0.00","0.00","0.00","3.09","3.09","3.27","0.00","-"
"YoY %","0.00%","0.00%","0.00%","0.00%","0.00%","-5.50%","0.00%","-",""
"Horiz. %","0.00%","0.00%","0.00%","0.00%","94.50%","94.50%","100.00%","-",""
"P/NAPS","17.64","17.64","17.64","22.79","47.80","10.65","8.15","0.00","-"
"YoY %","0.00%","0.00%","-22.60%","-52.32%","348.83%","30.67%","0.00%","-",""
"Horiz. %","216.44%","216.44%","216.44%","279.63%","586.50%","130.67%","100.00%","-",""

