Column1,AQR,T4Q,31/12/18,31/12/17,31/12/16,31/12/15,&nbsp;-&nbsp;,CAGR
"Revenue","91,424","87,980","79,923","62,953","60,000","68,253","-","5.40%"
"YoY %","3.91%","10.08%","26.96%","4.92%","-12.09%","-","-",""
"Horiz. %","133.95%","128.90%","117.10%","92.23%","87.91%","100.00%","-",""
"PBT","22,128","22,706","20,563","14,936","17,607","15,348","-","10.23%"
"YoY %","-2.55%","10.42%","37.67%","-15.17%","14.72%","-","-",""
"Horiz. %","144.18%","147.94%","133.98%","97.32%","114.72%","100.00%","-",""
"Tax","-5,314","-5,725","-5,141","-3,714","-4,577","-4,138","-","7.50%"
"YoY %","7.18%","-11.36%","-38.42%","18.86%","-10.61%","-","-",""
"Horiz. %","128.42%","138.35%","124.24%","89.75%","110.61%","100.00%","-",""
"NP","16,814","16,981","15,422","11,222","13,030","11,210","-","11.21%"
"YoY %","-0.98%","10.11%","37.43%","-13.88%","16.24%","-","-",""
"Horiz. %","149.99%","151.48%","137.57%","100.11%","116.24%","100.00%","-",""
"NP to SH","15,228","15,920","14,988","10,736","12,849","10,987","-","10.90%"
"YoY %","-4.35%","6.22%","39.61%","-16.44%","16.95%","-","-",""
"Horiz. %","138.60%","144.90%","136.42%","97.72%","116.95%","100.00%","-",""
"Tax Rate","24.01    %","25.21    %","25.00    %","24.87    %","26.00    %","26.96    %","-   %","-2.48%"
"YoY %","-4.76%","0.84%","0.52%","-4.35%","-3.56%","-","-",""
"Horiz. %","89.06%","93.51%","92.73%","92.25%","96.44%","100.00%","-",""
"Total Cost","74,610","70,999","64,501","51,731","46,970","57,043","-","4.18%"
"YoY %","5.09%","10.07%","24.69%","10.14%","-17.66%","-","-",""
"Horiz. %","130.80%","124.47%","113.07%","90.69%","82.34%","100.00%","-",""
"Net Worth","123,425","123,425","119,202","107,280","101,865","73,662","-","17.39%"
"YoY %","0.00%","3.54%","11.11%","5.32%","38.29%","-","-",""
"Horiz. %","167.55%","167.55%","161.82%","145.64%","138.29%","100.00%","-",""
"Div","4,515","5,237","5,215","4,470","4,074","4,095","-","8.38%"
"YoY %","-13.79%","0.44%","16.67%","9.70%","-0.50%","-","-",""
"Horiz. %","110.27%","127.90%","127.35%","109.15%","99.50%","100.00%","-",""
"Div Payout %","29.65    %","32.90    %","34.80    %","41.64    %","31.71    %","37.27    %","-   %","-2.26%"
"YoY %","-9.88%","-5.46%","-16.43%","31.32%","-14.92%","-","-",""
"Horiz. %","79.55%","88.27%","93.37%","111.73%","85.08%","100.00%","-",""
"Net Worth","123,425","123,425","119,202","107,280","101,865","73,662","-","17.39%"
"YoY %","0.00%","3.54%","11.11%","5.32%","38.29%","-","-",""
"Horiz. %","167.55%","167.55%","161.82%","145.64%","138.29%","100.00%","-",""
"NOSH","301,038","301,038","298,005","298,002","135,820","124,852","-","33.61%"
"YoY %","0.00%","1.02%","0.00%","119.41%","8.78%","-","-",""
"Horiz. %","241.12%","241.12%","238.69%","238.68%","108.78%","100.00%","-",""
"NP Margin","18.39    %","19.30    %","19.30    %","17.83    %","21.72    %","16.42    %","-   %","5.53%"
"YoY %","-4.72%","0.00%","8.24%","-17.91%","32.28%","-","-",""
"Horiz. %","112.00%","117.54%","117.54%","108.59%","132.28%","100.00%","-",""
"ROE","12.34    %","12.90    %","12.57    %","10.01    %","12.61    %","14.92    %","-   %","-5.55%"
"YoY %","-4.34%","2.63%","25.57%","-20.62%","-15.48%","-","-",""
"Horiz. %","82.71%","86.46%","84.25%","67.09%","84.52%","100.00%","-",""
"RPS","30.37","29.23","26.82","21.13","44.18","54.67","-","-21.11%"
"YoY %","3.90%","8.99%","26.93%","-52.17%","-19.19%","-","-",""
"Horiz. %","55.55%","53.47%","49.06%","38.65%","80.81%","100.00%","-",""
