Date,Open Price,Target Price,Upside/Downside,Price Call,Source
"29/08/2019","2.30","3.12","+0.82 (35.65%)","BUY","MIDF"
"29/08/2019","2.30","2.13","-0.17 (7.39%)","SELL","AmInvest"
"28/08/2019","2.40","3.12","+0.72 (30.00%)","BUY","MIDF"
"28/08/2019","2.40","2.13","-0.27 (11.25%)","SELL","AmInvest"
"22/07/2019","2.99","2.45","-0.54 (18.06%)","SELL","AmInvest"
"25/06/2019","3.01","3.85","+0.84 (27.91%)","BUY","MIDF"
"25/06/2019","3.01","2.51","-0.50 (16.61%)","SELL","AmInvest"
"17/05/2019","3.21","3.85","+0.64 (19.94%)","BUY","MIDF"
"17/05/2019","3.21","2.51","-0.70 (21.81%)","SELL","AmInvest"
"16/05/2019","3.32","4.13","+0.81 (24.40%)","BUY","MIDF"

