Column1,AQR,T4Q,31/12/18,31/12/17,31/12/16,31/12/15,31/12/14,31/12/13,31/12/12,31/12/11,31/12/10,CAGR
"Revenue","590,082","583,448","554,977","490,001","459,701","413,932","402,092","375,509","346,524","22,539","0","-"
"YoY %","1.14%","5.13%","13.26%","6.59%","11.06%","2.94%","7.08%","8.36%","1,437.44%","0.00%","-",""
"Horiz. %","2,618.05%","2,588.62%","2,462.30%","2,174.01%","2,039.58%","1,836.51%","1,783.98%","1,666.04%","1,537.44%","100.00%","-",""
"PBT","256,920","290,987","288,684","249,447","312,143","282,337","510,475","327,250","630,205","12,376","0","-"
"YoY %","-11.71%","0.80%","15.73%","-20.09%","10.56%","-44.69%","55.99%","-48.07%","4,992.15%","0.00%","-",""
"Horiz. %","2,075.95%","2,351.22%","2,332.61%","2,015.57%","2,522.16%","2,281.33%","4,124.72%","2,644.23%","5,092.15%","100.00%","-",""
"Tax","0","0","0","0","0","0","0","0","0","0","0","-"
"YoY %","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","-",""
"Horiz. %","-","-","-","-","-","-","-","-","-","-","-",""
"NP","256,920","290,987","288,684","249,447","312,143","282,337","510,475","327,250","630,205","12,376","0","-"
"YoY %","-11.71%","0.80%","15.73%","-20.09%","10.56%","-44.69%","55.99%","-48.07%","4,992.15%","0.00%","-",""
"Horiz. %","2,075.95%","2,351.22%","2,332.61%","2,015.57%","2,522.16%","2,281.33%","4,124.72%","2,644.23%","5,092.15%","100.00%","-",""
"NP to SH","256,920","290,987","288,684","249,447","312,143","282,337","510,475","327,250","630,205","12,376","0","-"
"YoY %","-11.71%","0.80%","15.73%","-20.09%","10.56%","-44.69%","55.99%","-48.07%","4,992.15%","0.00%","-",""
"Horiz. %","2,075.95%","2,351.22%","2,332.61%","2,015.57%","2,522.16%","2,281.33%","4,124.72%","2,644.23%","5,092.15%","100.00%","-",""
"Tax Rate","-     %","-     %","-     %","-     %","-     %","-     %","-     %","-     %","-     %","-     %","-     %","-"
"YoY %","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","-",""
"Horiz. %","-","-","-","-","-","-","-","-","-","-","-",""
"Total Cost","333,162","292,461","266,293","240,554","147,558","131,595","-108,383","48,259","-283,681","10,163","0","-"
"YoY %","13.92%","9.83%","10.70%","63.02%","12.13%","221.42%","-324.59%","117.01%","-2,891.31%","0.00%","-",""
"Horiz. %","3,278.19%","2,877.70%","2,620.22%","2,366.96%","1,451.91%","1,294.84%","-1,066.45%","474.85%","-2,791.31%","100.00%","-",""
