Date,Open Price,Target Price,Upside/Downside,Price Call,Source
"06/09/2019","5.07","5.45","+0.38 (7.50%)","HOLD","HLG"
"30/08/2019","5.00","5.80","+0.80 (16.00%)","BUY","PUBLIC BANK"
"30/08/2019","5.00","6.30","+1.30 (26.00%)","BUY","MIDF"
"30/08/2019","5.00","6.45","+1.45 (29.00%)","BUY","KENANGA"
"30/08/2019","5.00","5.45","+0.45 (9.00%)","HOLD","HLG"
"30/08/2019","5.00","6.00","+1.00 (20.00%)","BUY","AmInvest"
"30/08/2019","5.00","5.65","+0.65 (13.00%)","HOLD","AffinHwang"
"16/08/2019","5.04","5.80","+0.76 (15.08%)","BUY","PUBLIC BANK"
"16/08/2019","5.04","6.80","+1.76 (34.92%)","BUY","MIDF"
"16/08/2019","5.04","6.45","+1.41 (27.98%)","BUY","KENANGA"

