Column1,AQR,T4Q,30/06/19,30/06/18,30/06/17,30/06/16,30/06/15,30/06/14,30/06/13,CAGR
"Revenue","663,339","663,339","663,339","728,399","581,910","462,061","428,980","418,688","0","-"
"YoY %","0.00%","0.00%","-8.93%","25.17%","25.94%","7.71%","2.46%","0.00%","-",""
"Horiz. %","158.43%","158.43%","158.43%","173.97%","138.98%","110.36%","102.46%","100.00%","-",""
"PBT","32,770","32,770","32,770","114,463","111,620","91,542","63,081","45,594","0","-"
"YoY %","0.00%","0.00%","-71.37%","2.55%","21.93%","45.12%","38.35%","0.00%","-",""
"Horiz. %","71.87%","71.87%","71.87%","251.05%","244.81%","200.78%","138.35%","100.00%","-",""
"Tax","-7,264","-7,264","-7,264","-27,361","-30,850","-23,998","-16,469","-14,574","0","-"
"YoY %","0.00%","0.00%","73.45%","11.31%","-28.55%","-45.72%","-13.00%","0.00%","-",""
"Horiz. %","49.84%","49.84%","49.84%","187.74%","211.68%","164.66%","113.00%","100.00%","-",""
"NP","25,506","25,506","25,506","87,102","80,770","67,544","46,612","31,020","0","-"
"YoY %","0.00%","0.00%","-70.72%","7.84%","19.58%","44.91%","50.26%","0.00%","-",""
"Horiz. %","82.22%","82.22%","82.22%","280.79%","260.38%","217.74%","150.26%","100.00%","-",""
"NP to SH","25,506","25,506","25,506","87,102","80,770","67,544","46,612","31,020","0","-"
"YoY %","0.00%","0.00%","-70.72%","7.84%","19.58%","44.91%","50.26%","0.00%","-",""
"Horiz. %","82.22%","82.22%","82.22%","280.79%","260.38%","217.74%","150.26%","100.00%","-",""
"Tax Rate","22.17    %","22.17    %","22.17    %","23.90    %","27.64    %","26.22    %","26.11    %","31.96    %","-     %","-"
"YoY %","0.00%","0.00%","-7.24%","-13.53%","5.42%","0.42%","-18.30%","0.00%","-",""
"Horiz. %","69.37%","69.37%","69.37%","74.78%","86.48%","82.04%","81.70%","100.00%","-",""
"Total Cost","637,833","637,833","637,833","641,297","501,140","394,517","382,368","387,668","0","-"
"YoY %","0.00%","0.00%","-0.54%","27.97%","27.03%","3.18%","-1.37%","0.00%","-",""
"Horiz. %","164.53%","164.53%","164.53%","165.42%","129.27%","101.77%","98.63%","100.00%","-",""
"Net Worth","401,250","401,250","401,250","374,500","304,893","246,150","198,007","137,965","-","-"
"YoY %","0.00%","0.00%","7.14%","22.83%","23.86%","24.31%","43.52%","0.00%","-",""
"Horiz. %","290.83%","290.83%","290.83%","271.44%","220.99%","178.41%","143.52%","100.00%","-",""
"Div","6,687","6,687","6,687","33,437","24,070","18,728","13,378","-","-","-"
"YoY %","0.00%","0.00%","-80.00%","38.91%","28.52%","39.99%","0.00%","0.00%","-",""
"Horiz. %","49.99%","49.99%","49.99%","249.93%","179.91%","139.99%","100.00%","-","-",""
"Div Payout %","26.22    %","26.22    %","26.22    %","38.39    %","29.80    %","27.73    %","28.70    %","-     %","-     %","-"
"YoY %","0.00%","0.00%","-31.70%","28.83%","7.46%","-3.38%","0.00%","0.00%","-",""
