Date,Open Price,Target Price,Upside/Downside,Price Call,Source
"16/07/2019","16.16","16.20","+0.04 (0.25%)","HOLD","MIDF"
"16/07/2019","16.06","16.50","+0.44 (2.74%)","HOLD","KENANGA"
"16/07/2019","16.16","16.40","+0.24 (1.49%)","HOLD","AmInvest"
"16/07/2019","16.16","18.90","+2.74 (16.96%)","BUY","AffinHwang"
"16/04/2019","15.76","16.20","+0.44 (2.79%)","HOLD","MIDF"
"16/04/2019","15.76","16.50","+0.74 (4.70%)","BUY","KENANGA"
"16/04/2019","15.76","16.70","+0.94 (5.96%)","HOLD","AmInvest"
"16/04/2019","15.76","18.90","+3.14 (19.92%)","BUY","AffinHwang"
"19/02/2019","16.22","15.60","-0.62 (3.82%)","HOLD","AmInvest"
"30/01/2019","16.50","16.10","-0.40 (2.42%)","HOLD","MIDF"

