Column1,AQR,T4Q,31/01/19,31/01/18,31/01/17,31/01/16,31/01/15,31/01/14,31/01/13,31/01/12,CAGR
"Revenue","4,941,568","5,222,453","5,479,048","5,530,753","5,612,647","5,475,371","5,231,444","4,790,742","4,264,967","3,846,677","5.18%"
"YoY %","-5.38%","-4.68%","-0.93%","-1.46%","2.51%","4.66%","9.20%","12.33%","10.87%","-",""
"Horiz. %","128.46%","135.77%","142.44%","143.78%","145.91%","142.34%","136.00%","124.54%","110.87%","100.00%",""
"PBT","894,588","834,344","651,145","1,073,151","845,513","829,390","720,887","569,231","574,939","869,436","-4.04%"
"YoY %","7.22%","28.13%","-39.32%","26.92%","1.94%","15.05%","26.64%","-0.99%","-33.87%","-",""
"Horiz. %","102.89%","95.96%","74.89%","123.43%","97.25%","95.39%","82.91%","65.47%","66.13%","100.00%",""
"Tax","-220,268","-224,924","-190,321","-309,175","-228,521","-221,429","-207,138","-121,470","-155,145","-235,246","-2.98%"
"YoY %","2.07%","-18.18%","38.44%","-35.29%","-3.20%","-6.90%","-70.53%","21.71%","34.05%","-",""
"Horiz. %","93.63%","95.61%","80.90%","131.43%","97.14%","94.13%","88.05%","51.64%","65.95%","100.00%",""
"NP","674,320","609,420","460,824","763,976","616,992","607,961","513,749","447,761","419,794","634,190","-4.46%"
"YoY %","10.65%","32.25%","-39.68%","23.82%","1.49%","18.34%","14.74%","6.66%","-33.81%","-",""
"Horiz. %","106.33%","96.09%","72.66%","120.46%","97.29%","95.86%","81.01%","70.60%","66.19%","100.00%",""
"NP to SH","691,064","617,145","462,921","770,636","623,683","615,318","519,372","447,950","417,999","629,061","-4.28%"
"YoY %","11.98%","33.32%","-39.93%","23.56%","1.36%","18.47%","15.94%","7.17%","-33.55%","-",""
"Horiz. %","109.86%","98.11%","73.59%","122.51%","99.15%","97.82%","82.56%","71.21%","66.45%","100.00%",""
"Tax Rate","24.62    %","26.96    %","29.23    %","28.81    %","27.03    %","26.70    %","28.73    %","21.34    %","26.98    %","27.06    %","1.11%"
"YoY %","-8.68%","-7.77%","1.46%","6.59%","1.24%","-7.07%","34.63%","-20.90%","-0.30%","-",""
"Horiz. %","90.98%","99.63%","108.02%","106.47%","99.89%","98.67%","106.17%","78.86%","99.70%","100.00%",""
"Total Cost","4,267,248","4,613,033","5,018,224","4,766,777","4,995,655","4,867,410","4,717,695","4,342,981","3,845,173","3,212,487","6.57%"
"YoY %","-7.50%","-8.07%","5.27%","-4.58%","2.63%","3.17%","8.63%","12.95%","19.69%","-",""
"Horiz. %","132.83%","143.60%","156.21%","148.38%","155.51%","151.52%","146.85%","135.19%","119.69%","100.00%",""
"Net Worth","755,167","757,308","585,046","653,821","629,409","613,237","713,811","618,272","185,463","-","-"
"YoY %","-0.28%","29.44%","-10.52%","3.88%","2.64%","-14.09%","15.45%","233.37%","0.00%","-",""
"Horiz. %","407.18%","408.33%","315.45%","352.53%","339.37%","330.65%","384.88%","333.37%","100.00%","-",""
"Div","416,931","417,376","469,288","651,735","650,754","624,160","571,881","468,782","-","-","-"
"YoY %","-0.11%","-11.06%","-27.99%","0.15%","4.26%","9.14%","21.99%","0.00%","0.00%","-",""
"Horiz. %","88.94%","89.03%","100.11%","139.03%","138.82%","133.14%","121.99%","100.00%","-","-",""
"Div Payout %","60.33    %","67.63    %","101.38    %","84.57    %","104.34    %","101.44    %","110.11    %","104.65    %","-     %","-     %","-"
"YoY %","-10.79%","-33.29%","19.88%","-18.95%","2.86%","-7.87%","5.22%","0.00%","0.00%","-",""
