Column1,AQR,T4Q,31/12/18,31/12/17,31/12/16,31/12/15,31/12/14,31/12/13,31/12/12,CAGR
"Revenue","1,558,254","1,845,363","1,614,694","2,088,608","2,035,015","1,681,783","1,562,079","1,712,618","1,492,262","1.32%"
"YoY %","-15.56%","14.29%","-22.69%","2.63%","21.00%","7.66%","-8.79%","14.77%","-",""
"Horiz. %","104.42%","123.66%","108.20%","139.96%","136.37%","112.70%","104.68%","114.77%","100.00%",""
"PBT","650,416","648,584","701,217","676,882","754,819","650,143","578,781","517,008","434,673","8.29%"
"YoY %","0.28%","-7.51%","3.60%","-10.33%","16.10%","12.33%","11.95%","18.94%","-",""
"Horiz. %","149.63%","149.21%","161.32%","155.72%","173.65%","149.57%","133.15%","118.94%","100.00%",""
"Tax","-159,196","-41,172","-167,743","-25,371","-117,838","-145,279","-66,576","-81,703","-73,713","14.68%"
"YoY %","-286.66%","75.46%","-561.16%","78.47%","18.89%","-118.22%","18.51%","-10.84%","-",""
"Horiz. %","215.97%","55.85%","227.56%","34.42%","159.86%","197.09%","90.32%","110.84%","100.00%",""
"NP","491,220","607,412","533,474","651,511","636,981","504,864","512,205","435,305","360,960","6.72%"
"YoY %","-19.13%","13.86%","-18.12%","2.28%","26.17%","-1.43%","17.67%","20.60%","-",""
"Horiz. %","136.09%","168.28%","147.79%","180.49%","176.47%","139.87%","141.90%","120.60%","100.00%",""
"NP to SH","491,220","607,412","533,474","651,511","616,832","504,864","512,205","435,305","359,317","6.81%"
"YoY %","-19.13%","13.86%","-18.12%","5.62%","22.18%","-1.43%","17.67%","21.15%","-",""
"Horiz. %","136.71%","169.05%","148.47%","181.32%","171.67%","140.51%","142.55%","121.15%","100.00%",""
"Tax Rate","24.48    %","6.35    %","23.92    %","3.75    %","15.61    %","22.35    %","11.50    %","15.80    %","16.96    %","5.90%"
"YoY %","285.51%","-73.45%","537.87%","-75.98%","-30.16%","94.35%","-27.22%","-6.84%","-",""
"Horiz. %","144.34%","37.44%","141.04%","22.11%","92.04%","131.78%","67.81%","93.16%","100.00%",""
"Total Cost","1,067,034","1,237,951","1,081,220","1,437,097","1,398,034","1,176,919","1,049,874","1,277,313","1,131,302","-0.75%"
"YoY %","-13.81%","14.50%","-24.76%","2.79%","18.79%","12.10%","-17.81%","12.91%","-",""
"Horiz. %","94.32%","109.43%","95.57%","127.03%","123.58%","104.03%","92.80%","112.91%","100.00%",""
"Net Worth","2,249,236","2,249,236","2,414,961","2,274,811","2,068,824","1,898,005","1,764,334","1,604,064","1,481,473","8.48%"
"YoY %","0.00%","-6.86%","6.16%","9.96%","9.00%","7.58%","9.99%","8.27%","-",""
"Horiz. %","151.82%","151.82%","163.01%","153.55%","139.65%","128.12%","119.09%","108.27%","100.00%",""
"Div","368,280","455,234","399,992","488,311","477,394","378,510","383,625","1,380,027","198,624","12.37%"
"YoY %","-19.10%","13.81%","-18.09%","2.29%","26.12%","-1.33%","-72.20%","594.79%","-",""
"Horiz. %","185.41%","229.19%","201.38%","245.85%","240.35%","190.57%","193.14%","694.79%","100.00%",""
"Div Payout %","74.97    %","74.95    %","74.98    %","74.95    %","77.39    %","74.97    %","74.90    %","317.03    %","55.28    %","5.21%"
"YoY %","0.03%","-0.04%","0.04%","-3.15%","3.23%","0.09%","-76.37%","473.50%","-",""
"Horiz. %","135.62%","135.58%","135.64%","135.58%","140.00%","135.62%","135.49%","573.50%","100.00%",""
"Net Worth","2,249,236","2,249,236","2,414,961","2,274,811","2,068,824","1,898,005","1,764,334","1,604,064","1,481,473","8.48%"
"YoY %","0.00%","-6.86%","6.16%","9.96%","9.00%","7.58%","9.99%","8.27%","-",""
"Horiz. %","151.82%","151.82%","163.01%","153.55%","139.65%","128.12%","119.09%","108.27%","100.00%",""
"NOSH","3,410,000","3,410,000","3,410,000","3,410,000","3,409,962","3,410,000","3,410,000","3,410,000","2,986,841","2.23%"
"YoY %","0.00%","0.00%","0.00%","0.00%","-0.00%","0.00%","0.00%","14.17%","-",""
"Horiz. %","114.17%","114.17%","114.17%","114.17%","114.17%","114.17%","114.17%","114.17%","100.00%",""
"NP Margin","31.52    %","32.92    %","33.04    %","31.19    %","31.30    %","30.02    %","32.79    %","25.42    %","24.19    %","5.33%"
"YoY %","-4.25%","-0.36%","5.93%","-0.35%","4.26%","-8.45%","28.99%","5.08%","-",""
"Horiz. %","130.30%","136.09%","136.59%","128.94%","129.39%","124.10%","135.55%","105.08%","100.00%",""
"ROE","21.84    %","27.01    %","22.09    %","28.64    %","29.82    %","26.60    %","29.03    %","27.14    %","24.25    %","-1.54%"
"YoY %","-19.14%","22.27%","-22.87%","-3.96%","12.11%","-8.37%","6.96%","11.92%","-",""
"Horiz. %","90.06%","111.38%","91.09%","118.10%","122.97%","109.69%","119.71%","111.92%","100.00%",""
"RPS","45.70","54.12","47.35","61.25","59.68","49.32","45.81","50.22","49.96","-0.89%"
"YoY %","-15.56%","14.30%","-22.69%","2.63%","21.01%","7.66%","-8.78%","0.52%","-",""
"Horiz. %","91.47%","108.33%","94.78%","122.60%","119.46%","98.72%","91.69%","100.52%","100.00%",""
"EPS","14.40","17.81","15.64","19.11","18.68","14.81","15.02","13.86","12.03","4.47%"
"YoY %","-19.15%","13.87%","-18.16%","2.30%","26.13%","-1.40%","8.37%","15.21%","-",""
"Horiz. %","119.70%","148.05%","130.01%","158.85%","155.28%","123.11%","124.85%","115.21%","100.00%",""
"DPS","10.80","13.35","11.73","14.32","14.00","11.10","11.25","40.47","6.65","9.92%"
"YoY %","-19.10%","13.81%","-18.09%","2.29%","26.13%","-1.33%","-72.20%","508.57%","-",""
"Horiz. %","162.41%","200.75%","176.39%","215.34%","210.53%","166.92%","169.17%","608.57%","100.00%",""
"NAPS","0.6596","0.6596","0.7082","0.6671","0.6067","0.5566","0.5174","0.4704","0.4960","6.11%"
"YoY %","0.00%","-6.86%","6.16%","9.96%","9.00%","7.58%","9.99%","-5.16%","-",""
"Horiz. %","132.98%","132.98%","142.78%","134.50%","122.32%","112.22%","104.31%","94.84%","100.00%",""
"RPS","45.70","54.12","47.35","61.25","59.68","49.32","45.81","50.22","43.76","1.32%"
"YoY %","-15.56%","14.30%","-22.69%","2.63%","21.01%","7.66%","-8.78%","14.76%","-",""
"Horiz. %","104.43%","123.67%","108.20%","139.97%","136.38%","112.71%","104.68%","114.76%","100.00%",""
"EPS","14.40","17.81","15.64","19.11","18.09","14.81","15.02","13.86","10.54","6.80%"
"YoY %","-19.15%","13.87%","-18.16%","5.64%","22.15%","-1.40%","8.37%","31.50%","-",""
"Horiz. %","136.62%","168.98%","148.39%","181.31%","171.63%","140.51%","142.50%","131.50%","100.00%",""
"DPS","10.80","13.35","11.73","14.32","14.00","11.10","11.25","40.47","5.82","12.38%"
"YoY %","-19.10%","13.81%","-18.09%","2.29%","26.13%","-1.33%","-72.20%","595.36%","-",""
"Horiz. %","185.57%","229.38%","201.55%","246.05%","240.55%","190.72%","193.30%","695.36%","100.00%",""
"NAPS","0.6596","0.6596","0.7082","0.6671","0.6067","0.5566","0.5174","0.4704","0.4344","8.48%"
"YoY %","0.00%","-6.86%","6.16%","9.96%","9.00%","7.58%","9.99%","8.29%","-",""
"Horiz. %","151.84%","151.84%","163.03%","153.57%","139.66%","128.13%","119.11%","108.29%","100.00%",""
"Date","AQR","T4Q","31/12/18","29/12/17","30/12/16","31/12/15","31/12/14","31/12/13","-","-"
"Price","3.3900","3.3900","3.6200","3.7000","4.3000","4.1200","3.3600","2.5300","0.0000","-"
"P/RPS","7.42","6.26","7.64","6.04","7.21","8.35","7.33","5.04","0.00","-"
"YoY %","18.53%","-18.06%","26.49%","-16.23%","-13.65%","13.92%","45.44%","0.00%","-",""
"Horiz. %","147.22%","124.21%","151.59%","119.84%","143.06%","165.67%","145.44%","100.00%","-",""
"P/EPS","23.53","19.03","23.14","19.37","23.77","27.83","22.37","19.82","0.00","-"
"YoY %","23.65%","-17.76%","19.46%","-18.51%","-14.59%","24.41%","12.87%","0.00%","-",""
"Horiz. %","118.72%","96.01%","116.75%","97.73%","119.93%","140.41%","112.87%","100.00%","-",""
"EY","4.25","5.25","4.32","5.16","4.21","3.59","4.47","5.05","0.00","-"
"YoY %","-19.05%","21.53%","-16.28%","22.57%","17.27%","-19.69%","-11.49%","0.00%","-",""
"Horiz. %","84.16%","103.96%","85.54%","102.18%","83.37%","71.09%","88.51%","100.00%","-",""
"DY","3.19","3.94","3.24","3.87","3.26","2.69","3.35","16.00","0.00","-"
"YoY %","-19.04%","21.60%","-16.28%","18.71%","21.19%","-19.70%","-79.06%","0.00%","-",""
"Horiz. %","19.94%","24.62%","20.25%","24.19%","20.38%","16.81%","20.94%","100.00%","-",""
"P/NAPS","5.14","5.14","5.11","5.55","7.09","7.40","6.49","5.38","0.00","-"
"YoY %","0.00%","0.59%","-7.93%","-21.72%","-4.19%","14.02%","20.63%","0.00%","-",""
"Horiz. %","95.54%","95.54%","94.98%","103.16%","131.78%","137.55%","120.63%","100.00%","-",""
"Date","AQR","T4Q","30/01/19","08/02/18","10/02/17","03/02/16","11/02/15","13/02/14","-","-"
"Price","3.4000","3.4000","3.7900","3.5400","4.1300","3.9500","3.5000","2.5100","0.0000","-"
"P/RPS","7.44","6.28","8.00","5.78","6.92","8.01","7.64","5.00","0.00","-"
"YoY %","18.47%","-21.50%","38.41%","-16.47%","-13.61%","4.84%","52.80%","0.00%","-",""
