Date,Open Price,Target Price,Upside/Downside,Price Call,Source
"05/08/2019","0.855","0.88","+0.025 (2.92%)","HOLD","MIDF"
"05/08/2019","0.855","1.05","+0.195 (22.81%)","BUY","KENANGA"
"05/08/2019","0.855","0.89","+0.035 (4.09%)","HOLD","HLG"
"05/08/2019","0.855","0.83","-0.025 (2.92%)","HOLD","BIMB"
"05/08/2019","0.855","0.83","-0.025 (2.92%)","HOLD","AffinHwang"
"24/07/2019","0.93","1.05","+0.12 (12.90%)","BUY","Rakuten"
"24/07/2019","0.93","1.05","+0.12 (12.90%)","BUY","KENANGA"
"24/07/2019","0.93","0.89","-0.04 (4.30%)","HOLD","HLG"
"24/07/2019","0.93","0.83","-0.10 (10.75%)","HOLD","AffinHwang"
"29/04/2019","0.785","0.73","-0.055 (7.01%)","HOLD","MIDF"

