Column1,AQR,T4Q,31/12/18,31/12/17,31/12/16,31/12/15,31/12/14,31/12/13,31/12/12,CAGR
"DPS","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","-"
"YoY %","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","-",""
"Horiz. %","-","-","-","-","-","-","-","-","-",""
"NAPS","0.1300","0.1300","0.1400","0.2300","0.2400","0.1232","0.1715","0.1652","0.1401","-0.01%"
"YoY %","0.00%","-7.14%","-39.13%","-4.17%","94.81%","-28.16%","3.81%","17.92%","-",""
"Horiz. %","92.79%","92.79%","99.93%","164.17%","171.31%","87.94%","122.41%","117.92%","100.00%",""
"Date","AQR","T4Q","31/12/18","29/12/17","30/12/16","31/12/15","31/12/14","31/12/13","-","-"
"Price","0.2250","0.2250","0.2350","0.3300","0.3600","0.1800","0.6450","0.9950","0.0000","-"
"P/RPS","0.21","0.21","0.21","0.30","0.38","0.20","0.52","0.57","0.00","-"
"YoY %","0.00%","0.00%","-30.00%","-21.05%","90.00%","-61.54%","-8.77%","0.00%","-",""
"Horiz. %","36.84%","36.84%","36.84%","52.63%","66.67%","35.09%","91.23%","100.00%","-",""
"P/EPS","-2.85","-2.03","-3.12","13.84","33.31","-1.70","-2.94","-15.08","0.00","-"
"YoY %","-40.39%","34.94%","-122.54%","-58.45%","2,059.41%","42.18%","80.50%","0.00%","-",""
"Horiz. %","18.90%","13.46%","20.69%","-91.78%","-220.89%","11.27%","19.50%","100.00%","-",""
"EY","-35.10","-49.34","-32.08","7.22","3.00","-58.73","-33.96","-6.63","0.00","-"
"YoY %","28.86%","-53.80%","-544.32%","140.67%","105.11%","-72.94%","-412.22%","0.00%","-",""
"Horiz. %","529.41%","744.19%","483.86%","-108.90%","-45.25%","885.82%","512.22%","100.00%","-",""
"DY","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","-"
"YoY %","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","-",""
"Horiz. %","-","-","-","-","-","-","-","-","-",""
"P/NAPS","1.73","1.73","1.68","1.43","1.50","1.20","2.15","1.91","0.00","-"
"YoY %","0.00%","2.98%","17.48%","-4.67%","25.00%","-44.19%","12.57%","0.00%","-",""
"Horiz. %","90.58%","90.58%","87.96%","74.87%","78.53%","62.83%","112.57%","100.00%","-",""
"Date","AQR","T4Q","21/02/19","22/02/18","22/02/17","26/02/16","24/02/15","25/02/14","-","-"
"Price","0.1950","0.1950","0.2900","0.4150","0.4150","0.2300","0.6200","0.9400","0.0000","-"
"P/RPS","0.19","0.18","0.26","0.38","0.44","0.26","0.50","0.54","0.00","-"
"YoY %","5.56%","-30.77%","-31.58%","-13.64%","69.23%","-48.00%","-7.41%","0.00%","-",""
"Horiz. %","35.19%","33.33%","48.15%","70.37%","81.48%","48.15%","92.59%","100.00%","-",""
"P/EPS","-2.47","-1.76","-3.85","17.41","38.39","-2.18","-2.83","-14.24","0.00","-"
"YoY %","-40.34%","54.29%","-122.11%","-54.65%","1,861.01%","22.97%","80.13%","0.00%","-",""
"Horiz. %","17.35%","12.36%","27.04%","-122.26%","-269.59%","15.31%","19.87%","100.00%","-",""
"EY","-40.49","-56.93","-25.99","5.74","2.60","-45.97","-35.33","-7.02","0.00","-"
"YoY %","28.88%","-119.05%","-552.79%","120.77%","105.66%","-30.12%","-403.28%","0.00%","-",""
"Horiz. %","576.78%","810.97%","370.23%","-81.77%","-37.04%","654.84%","503.28%","100.00%","-",""
"DY","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","-"
"YoY %","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","-",""
"Horiz. %","-","-","-","-","-","-","-","-","-",""
"P/NAPS","1.50","1.50","2.07","1.80","1.73","1.53","2.07","1.81","0.00","-"
"YoY %","0.00%","-27.54%","15.00%","4.05%","13.07%","-26.09%","14.36%","0.00%","-",""
"Horiz. %","82.87%","82.87%","114.36%","99.45%","95.58%","84.53%","114.36%","100.00%","-",""

