F.Y.,Ann. Date,Quarter,#,Revenue,PBT,NP,NP to SH,Div,Net Worth,Div Payout %,NP Margin,ROE,NOSH,RPS,Adj. RPS,EPS,Adj. EPS,DPS,Adj. DPS,NAPS,Adj. NAPS,QoQ,YoY,EOQ Date,EOQ Price,EOQ P/RPS,EOQ P/EPS,EOQ P/NAPS,EOQ EY,EOQ DY,ANN Date,ANN Price,ANN P/RPS,ANN P/EPS,ANN P/NAPS,ANN EY,ANN DY
"31-Dec-2019","31-May-2019","31-Mar-2019","1","12,633,000","731,000","487,000","348,000","1,067,757","13,631,459","306.83%","3.85%","2.55%","6,884,575","183.50","183.50","5.05","5.05","15.70","15.70","1.9800","1.98"," -33.46%"," -91.46%","29-Mar-2019","5.02","2.74","99.31","2.54","1.01%","3.13%","31-May-2019","4.66","2.54","92.19","2.35","1.08%","3.37%"
"31-Dec-2018","28-Feb-2019","31-Dec-2018","","13,286,000","958,000","661,000","523,000","1,067,757","13,125,929","204.16%","4.98%","3.98%","6,801,000","195.35","192.98","7.69","7.60","15.70","15.51","1.9300","1.91"," -36.45%"," -88.34%","31-Dec-2018","4.76","2.44","61.90","2.47","1.62%","3.30%","28-Feb-2019","5.10","2.61","66.32","2.64","1.51%","3.08%"
"31-Dec-2018","23-Nov-2018","30-Sep-2018","","13,867,000","1,350,000","979,000","823,000","1,190,175","13,942,049","144.61%","7.06%","5.90%","6,801,000","203.90","201.42","12.10","11.95","17.50","17.29","2.0500","2.03"," -52.35%"," -81.19%","28-Sep-2018","5.30","2.60","43.80","2.59","2.28%","3.30%","23-Nov-2018","5.18","2.54","42.81","2.53","2.34%","3.38%"
"30-Jun-2018","30-Aug-2018","30-Jun-2018","4","14,369,000","2,377,000","1,885,000","1,727,000","1,190,175","13,670,009","68.92%","13.12%","12.63%","6,801,000","211.28","208.71","25.39","25.09","17.50","17.29","2.0100","1.99"," -57.63%"," -50.77%","29-Jun-2018","5.33","2.52","20.99","2.65","4.76%","3.28%","30-Aug-2018","5.36","2.54","21.11","2.67","4.74%","3.26%"

