Column1,AQR,T4Q,31/12/18,31/12/17,31/12/16,31/12/15,31/12/14,31/12/13,31/12/12,31/12/11,31/12/10,CAGR
"Revenue","2,054,498","2,191,604","2,418,739","2,402,130","1,317,389","2,179,734","2,397,339","2,073,004","1,659,184","1,543,896","1,241,383","8.69%"
"YoY %","-6.26%","-9.39%","0.69%","82.34%","-39.56%","-9.08%","15.65%","24.94%","7.47%","24.37%","-",""
"Horiz. %","165.50%","176.55%","194.84%","193.50%","106.12%","175.59%","193.12%","166.99%","133.66%","124.37%","100.00%",""
"PBT","344,658","-1,605,308","-2,296,872","492,230","-1,944,264","-171,392","309,182","479,973","468,617","435,890","383,266","-"
"YoY %","121.47%","30.11%","-566.63%","125.32%","-1,034.40%","-155.43%","-35.58%","2.42%","7.51%","13.73%","-",""
"Horiz. %","89.93%","-418.85%","-599.29%","128.43%","-507.29%","-44.72%","80.67%","125.23%","122.27%","113.73%","100.00%",""
"Tax","-57,704","-26,868","-22,276","-115,823","-60,772","-70,385","-84,817","-44,875","-80,599","-70,559","-32,511","-4.61%"
"YoY %","-114.77%","-20.61%","80.77%","-90.59%","13.66%","17.02%","-89.01%","44.32%","-14.23%","-117.03%","-",""
"Horiz. %","177.49%","82.64%","68.52%","356.26%","186.93%","216.50%","260.89%","138.03%","247.91%","217.03%","100.00%",""
"NP","286,954","-1,632,176","-2,319,148","376,407","-2,005,036","-241,777","224,365","435,098","388,018","365,331","350,755","-"
"YoY %","117.58%","29.62%","-716.13%","118.77%","-729.29%","-207.76%","-48.43%","12.13%","6.21%","4.16%","-",""
"Horiz. %","81.81%","-465.33%","-661.19%","107.31%","-571.63%","-68.93%","63.97%","124.05%","110.62%","104.16%","100.00%",""
"NP to SH","280,842","-1,625,285","-2,302,769","352,247","-1,967,651","-234,566","218,690","431,191","385,828","359,672","350,755","-"
"YoY %","117.28%","29.42%","-753.74%","117.90%","-738.85%","-207.26%","-49.28%","11.76%","7.27%","2.54%","-",""
