Column1,AQR,T4Q,31/12/18,31/12/17,31/12/16,31/12/15,31/12/14,31/12/13,31/12/12,31/12/11,CAGR
"Revenue","552,412","547,137","535,689","524,918","507,344","489,190","461,768","430,726","115,285","0","-"
"YoY %","0.96%","2.14%","2.05%","3.46%","3.71%","5.94%","7.21%","273.62%","0.00%","-",""
"Horiz. %","479.17%","474.60%","464.66%","455.32%","440.08%","424.33%","400.54%","373.62%","100.00%","-",""
"PBT","321,614","342,129","333,753","343,366","277,836","253,998","317,617","311,945","153,292","0","-"
"YoY %","-6.00%","2.51%","-2.80%","23.59%","9.39%","-20.03%","1.82%","103.50%","0.00%","-",""
"Horiz. %","209.80%","223.19%","217.72%","223.99%","181.25%","165.70%","207.20%","203.50%","100.00%","-",""
"Tax","0","0","0","0","0","0","0","0","0","0","-"
"YoY %","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","-",""
"Horiz. %","-","-","-","-","-","-","-","-","-","-",""
"NP","321,614","342,129","333,753","343,366","277,836","253,998","317,617","311,945","153,292","0","-"
"YoY %","-6.00%","2.51%","-2.80%","23.59%","9.39%","-20.03%","1.82%","103.50%","0.00%","-",""
"Horiz. %","209.80%","223.19%","217.72%","223.99%","181.25%","165.70%","207.20%","203.50%","100.00%","-",""
"NP to SH","321,614","342,129","333,753","343,366","277,836","253,998","317,617","311,945","153,292","0","-"
"YoY %","-6.00%","2.51%","-2.80%","23.59%","9.39%","-20.03%","1.82%","103.50%","0.00%","-",""
"Horiz. %","209.80%","223.19%","217.72%","223.99%","181.25%","165.70%","207.20%","203.50%","100.00%","-",""
"Tax Rate","-     %","-     %","-     %","-     %","-     %","-     %","-     %","-     %","-     %","-     %","-"
"YoY %","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","-",""
"Horiz. %","-","-","-","-","-","-","-","-","-","-",""
"Total Cost","230,798","205,008","201,936","181,552","229,508","235,192","144,151","118,781","-38,007","0","-"
"YoY %","12.58%","1.52%","11.23%","-20.90%","-2.42%","63.16%","21.36%","412.52%","0.00%","-",""
"Horiz. %","-607.25%","-539.40%","-531.31%","-477.68%","-603.86%","-618.81%","-379.27%","-312.52%","100.00%","-",""
"Net Worth","3,776,785","3,776,785","3,756,712","3,723,205","3,659,566","3,653,556","3,652,939","3,574,398","3,482,889","-","-"
"YoY %","0.00%","0.53%","0.90%","1.74%","0.16%","0.02%","2.20%","2.63%","0.00%","-",""
"Horiz. %","108.44%","108.44%","107.86%","106.90%","105.07%","104.90%","104.88%","102.63%","100.00%","-",""
"Div","330,203","326,235","323,988","326,048","303,252","283,411","267,774","240,272","62,200","-","-"
"YoY %","1.22%","0.69%","-0.63%","7.52%","7.00%","5.84%","11.45%","286.29%","0.00%","-",""
"Horiz. %","530.87%","524.49%","520.88%","524.19%","487.54%","455.64%","430.50%","386.29%","100.00%","-",""
"Div Payout %","102.67    %","95.35    %","97.07    %","94.96    %","109.15    %","111.58    %","84.31    %","77.02    %","40.58    %","-     %","-"
"YoY %","7.68%","-1.77%","2.22%","-13.00%","-2.18%","32.34%","9.47%","89.80%","0.00%","-",""
"Horiz. %","253.01%","234.97%","239.21%","234.01%","268.97%","274.96%","207.76%","189.80%","100.00%","-",""
"Net Worth","3,776,785","3,776,785","3,756,712","3,723,205","3,659,566","3,653,556","3,652,939","3,574,398","3,482,889","-","-"
"YoY %","0.00%","0.53%","0.90%","1.74%","0.16%","0.02%","2.20%","2.63%","0.00%","-",""
"Horiz. %","108.44%","108.44%","107.86%","106.90%","105.07%","104.90%","104.88%","102.63%","100.00%","-",""
"NOSH","3,542,950","3,542,950","3,525,443","3,513,452","3,481,654","3,460,463","3,437,413","3,412,964","3,398,935","-","-"
"YoY %","0.00%","0.50%","0.34%","0.91%","0.61%","0.67%","0.72%","0.41%","0.00%","-",""
"Horiz. %","104.24%","104.24%","103.72%","103.37%","102.43%","101.81%","101.13%","100.41%","100.00%","-",""
"NP Margin","58.22    %","62.53    %","62.30    %","65.41    %","54.76    %","51.92    %","68.78    %","72.42    %","132.97    %","-     %","-"
"YoY %","-6.89%","0.37%","-4.75%","19.45%","5.47%","-24.51%","-5.03%","-45.54%","0.00%","-",""
"Horiz. %","43.78%","47.03%","46.85%","49.19%","41.18%","39.05%","51.73%","54.46%","100.00%","-",""
"ROE","8.52    %","9.06    %","8.88    %","9.22    %","7.59    %","6.95    %","8.69    %","8.73    %","4.40    %","-     %","-"
"YoY %","-5.96%","2.03%","-3.69%","21.48%","9.21%","-20.02%","-0.46%","98.41%","0.00%","-",""
"Horiz. %","193.64%","205.91%","201.82%","209.55%","172.50%","157.95%","197.50%","198.41%","100.00%","-",""
"RPS","15.59","15.44","15.19","14.94","14.57","14.14","13.43","12.62","3.39","-","-"
"YoY %","0.97%","1.65%","1.67%","2.54%","3.04%","5.29%","6.42%","272.27%","0.00%","-",""
"Horiz. %","459.88%","455.46%","448.08%","440.71%","429.79%","417.11%","396.17%","372.27%","100.00%","-",""
"EPS","9.08","9.66","9.47","9.80","7.98","7.34","9.24","9.14","4.51","0.00","-"
"YoY %","-6.00%","2.01%","-3.37%","22.81%","8.72%","-20.56%","1.09%","102.66%","0.00%","-",""
"Horiz. %","201.33%","214.19%","209.98%","217.29%","176.94%","162.75%","204.88%","202.66%","100.00%","-",""
"DPS","9.32","9.23","9.19","9.28","8.71","8.19","7.79","7.04","1.83","0.00","-"
"YoY %","0.98%","0.44%","-0.97%","6.54%","6.35%","5.13%","10.65%","284.70%","0.00%","-",""
"Horiz. %","509.29%","504.37%","502.19%","507.10%","475.96%","447.54%","425.68%","384.70%","100.00%","-",""
"NAPS","1.0660","1.0660","1.0656","1.0597","1.0511","1.0558","1.0627","1.0473","1.0247","0.0000","-"
"YoY %","0.00%","0.04%","0.56%","0.82%","-0.45%","-0.65%","1.47%","2.21%","0.00%","-",""
"Horiz. %","104.03%","104.03%","103.99%","103.42%","102.58%","103.04%","103.71%","102.21%","100.00%","-",""
"RPS","15.58","15.43","15.11","14.80","14.31","13.80","13.02","12.15","3.25","-","-"
"YoY %","0.97%","2.12%","2.09%","3.42%","3.70%","5.99%","7.16%","273.85%","0.00%","-",""
"Horiz. %","479.38%","474.77%","464.92%","455.38%","440.31%","424.62%","400.62%","373.85%","100.00%","-",""
"EPS","9.07","9.65","9.41","9.68","7.84","7.16","8.96","8.80","4.32","0.00","-"
"YoY %","-6.01%","2.55%","-2.79%","23.47%","9.50%","-20.09%","1.82%","103.70%","0.00%","-",""
"Horiz. %","209.95%","223.38%","217.82%","224.07%","181.48%","165.74%","207.41%","203.70%","100.00%","-",""
"DPS","9.31","9.20","9.14","9.20","8.55","7.99","7.55","6.78","1.75","0.00","-"
"YoY %","1.20%","0.66%","-0.65%","7.60%","7.01%","5.83%","11.36%","287.43%","0.00%","-",""
"Horiz. %","532.00%","525.71%","522.29%","525.71%","488.57%","456.57%","431.43%","387.43%","100.00%","-",""
"NAPS","1.0651","1.0651","1.0595","1.0500","1.0321","1.0304","1.0302","1.0081","0.9822","0.0000","-"
"YoY %","0.00%","0.53%","0.90%","1.73%","0.16%","0.02%","2.19%","2.64%","0.00%","-",""
"Horiz. %","108.44%","108.44%","107.87%","106.90%","105.08%","104.91%","104.89%","102.64%","100.00%","-",""
"Date","AQR","T4Q","31/12/18","29/12/17","30/12/16","31/12/15","31/12/14","31/12/13","31/12/12","-","-"
"Price","1.9100","1.9100","1.7300","1.8000","1.6100","1.3400","1.3100","1.1900","1.3300","0.0000","-"
"P/RPS","12.25","12.37","11.39","12.05","11.05","9.48","9.75","9.43","39.21","0.00","-"
"YoY %","-0.97%","8.60%","-5.48%","9.05%","16.56%","-2.77%","3.39%","-75.95%","0.00%","-",""
"Horiz. %","31.24%","31.55%","29.05%","30.73%","28.18%","24.18%","24.87%","24.05%","100.00%","-",""
"P/EPS","21.04","19.78","18.27","18.42","20.18","18.26","14.18","13.02","29.49","0.00","-"
"YoY %","6.37%","8.26%","-0.81%","-8.72%","10.51%","28.77%","8.91%","-55.85%","0.00%","-",""
"Horiz. %","71.35%","67.07%","61.95%","62.46%","68.43%","61.92%","48.08%","44.15%","100.00%","-",""
"EY","4.75","5.06","5.47","5.43","4.96","5.48","7.05","7.68","3.39","0.00","-"
"YoY %","-6.13%","-7.50%","0.74%","9.48%","-9.49%","-22.27%","-8.20%","126.55%","0.00%","-",""
"Horiz. %","140.12%","149.26%","161.36%","160.18%","146.31%","161.65%","207.96%","226.55%","100.00%","-",""
"DY","4.88","4.83","5.31","5.16","5.41","6.11","5.95","5.92","1.38","0.00","-"
"YoY %","1.04%","-9.04%","2.91%","-4.62%","-11.46%","2.69%","0.51%","328.99%","0.00%","-",""
"Horiz. %","353.62%","350.00%","384.78%","373.91%","392.03%","442.75%","431.16%","428.99%","100.00%","-",""
"P/NAPS","1.79","1.79","1.62","1.70","1.53","1.27","1.23","1.14","1.30","0.00","-"
"YoY %","0.00%","10.49%","-4.71%","11.11%","20.47%","3.25%","7.89%","-12.31%","0.00%","-",""
"Horiz. %","137.69%","137.69%","124.62%","130.77%","117.69%","97.69%","94.62%","87.69%","100.00%","-",""
"Date","AQR","T4Q","23/01/19","23/01/18","25/01/17","26/01/16","27/01/15","28/01/14","30/01/13","-","-"
"Price","1.9600","1.9600","1.7800","1.6100","1.7500","1.3800","1.3100","1.1700","1.3500","0.0000","-"
"P/RPS","12.57","12.69","11.71","10.78","12.01","9.76","9.75","9.27","39.80","0.00","-"
"YoY %","-0.95%","8.37%","8.63%","-10.24%","23.05%","0.10%","5.18%","-76.71%","0.00%","-",""
"Horiz. %","31.58%","31.88%","29.42%","27.09%","30.18%","24.52%","24.50%","23.29%","100.00%","-",""
