Column1,AQR,T4Q,31/12/18,31/12/17,31/12/16,31/12/15,31/12/14,31/12/13,31/12/12,31/12/11,31/12/10,CAGR
"Revenue","1,918,912","2,052,820","2,215,465","2,666,065","2,658,446","2,307,263","2,281,493","2,202,480","2,301,319","2,299,554","2,168,598","0.27%"
"YoY %","-6.52%","-7.34%","-16.90%","0.29%","15.22%","1.13%","3.59%","-4.29%","0.08%","6.04%","-",""
"Horiz. %","88.49%","94.66%","102.16%","122.94%","122.59%","106.39%","105.21%","101.56%","106.12%","106.04%","100.00%",""
"PBT","-126,376","-46,085","60,712","-15,807","148,515","372,128","344,299","358,905","285,159","359,373","305,732","-18.29%"
"YoY %","-174.22%","-175.91%","484.08%","-110.64%","-60.09%","8.08%","-4.07%","25.86%","-20.65%","17.55%","-",""
"Horiz. %","-41.34%","-15.07%","19.86%","-5.17%","48.58%","121.72%","112.61%","117.39%","93.27%","117.55%","100.00%",""
"Tax","-22,400","-22,815","-25,088","-16,767","-27,793","-96,832","-87,286","-104,228","-83,131","-95,557","-72,866","-12.47%"
"YoY %","1.82%","9.06%","-49.63%","39.67%","71.30%","-10.94%","16.25%","-25.38%","13.00%","-31.14%","-",""
"Horiz. %","30.74%","31.31%","34.43%","23.01%","38.14%","132.89%","119.79%","143.04%","114.09%","131.14%","100.00%",""
"NP","-148,776","-68,900","35,624","-32,574","120,722","275,296","257,013","254,677","202,028","263,816","232,866","-20.90%"
"YoY %","-115.93%","-293.41%","209.36%","-126.98%","-56.15%","7.11%","0.92%","26.06%","-23.42%","13.29%","-",""
"Horiz. %","-63.89%","-29.59%","15.30%","-13.99%","51.84%","118.22%","110.37%","109.37%","86.76%","113.29%","100.00%",""
"NP to SH","-148,676","-68,900","35,624","-32,574","120,722","275,296","257,013","254,677","202,028","263,816","232,866","-20.90%"
"YoY %","-115.79%","-293.41%","209.36%","-126.98%","-56.15%","7.11%","0.92%","26.06%","-23.42%","13.29%","-",""
"Horiz. %","-63.85%","-29.59%","15.30%","-13.99%","51.84%","118.22%","110.37%","109.37%","86.76%","113.29%","100.00%",""
"Tax Rate","-     %","-     %","41.32    %","-     %","18.71    %","26.02    %","25.35    %","29.04    %","29.15    %","26.59    %","23.83    %","7.12%"
"YoY %","0.00%","0.00%","0.00%","0.00%","-28.09%","2.64%","-12.71%","-0.38%","9.63%","11.58%","-",""
"Horiz. %","0.00%","0.00%","173.39%","0.00%","78.51%","109.19%","106.38%","121.86%","122.32%","111.58%","100.00%",""
"Total Cost","2,067,688","2,121,720","2,179,841","2,698,639","2,537,724","2,031,967","2,024,480","1,947,803","2,099,291","2,035,738","1,935,732","1.49%"
"YoY %","-2.55%","-2.67%","-19.22%","6.34%","24.89%","0.37%","3.94%","-7.22%","3.12%","5.17%","-",""
"Horiz. %","106.82%","109.61%","112.61%","139.41%","131.10%","104.97%","104.58%","100.62%","108.45%","105.17%","100.00%",""
"Net Worth","1,883,986","1,883,986","1,961,314","1,933,195","1,989,433","2,038,642","1,947,254","1,855,867","1,750,420","1,680,122","1,370,626","4.58%"
"YoY %","0.00%","-3.94%","1.45%","-2.83%","-2.41%","4.69%","4.92%","6.02%","4.18%","22.58%","-",""
"Horiz. %","137.45%","137.45%","143.10%","141.04%","145.15%","148.74%","142.07%","135.40%","127.71%","122.58%","100.00%",""
