Column1,AQR,T4Q,31/05/19,31/05/18,31/05/17,31/05/16,31/05/15,31/05/14,31/05/13,CAGR
"Revenue","599,234","578,734","599,234","508,270","459,957","402,569","366,699","338,337","0","-"
"YoY %","3.54%","-3.42%","17.90%","10.50%","14.26%","9.78%","8.38%","0.00%","-",""
"Horiz. %","177.11%","171.05%","177.11%","150.23%","135.95%","118.98%","108.38%","100.00%","-",""
"PBT","33,965","33,963","33,965","29,566","21,953","12,231","18,499","22,810","0","-"
"YoY %","0.01%","-0.01%","14.88%","34.68%","79.49%","-33.88%","-18.90%","0.00%","-",""
"Horiz. %","148.90%","148.90%","148.90%","129.62%","96.24%","53.62%","81.10%","100.00%","-",""
"Tax","-8,316","-8,316","-8,316","-6,242","-5,164","-3,680","-5,482","-6,534","0","-"
"YoY %","0.00%","0.00%","-33.23%","-20.88%","-40.33%","32.87%","16.10%","0.00%","-",""
"Horiz. %","127.27%","127.27%","127.27%","95.53%","79.03%","56.32%","83.90%","100.00%","-",""
"NP","25,649","25,647","25,649","23,324","16,789","8,551","13,017","16,276","0","-"
"YoY %","0.01%","-0.01%","9.97%","38.92%","96.34%","-34.31%","-20.02%","0.00%","-",""
"Horiz. %","157.59%","157.58%","157.59%","143.30%","103.15%","52.54%","79.98%","100.00%","-",""
"NP to SH","20,728","20,726","20,728","18,560","13,130","7,289","12,869","15,078","0","-"
"YoY %","0.01%","-0.01%","11.68%","41.36%","80.13%","-43.36%","-14.65%","0.00%","-",""
"Horiz. %","137.47%","137.46%","137.47%","123.09%","87.08%","48.34%","85.35%","100.00%","-",""
"Tax Rate","24.48    %","24.49    %","24.48    %","21.11    %","23.52    %","30.09    %","29.63    %","28.65    %","-     %","-"
"YoY %","-0.04%","0.04%","15.96%","-10.25%","-21.83%","1.55%","3.42%","0.00%","-",""
"Horiz. %","85.45%","85.48%","85.45%","73.68%","82.09%","105.03%","103.42%","100.00%","-",""
"Total Cost","573,585","553,087","573,585","484,946","443,168","394,018","353,682","322,061","0","-"
"YoY %","3.71%","-3.57%","18.28%","9.43%","12.47%","11.40%","9.82%","0.00%","-",""
"Horiz. %","178.10%","171.73%","178.10%","150.58%","137.60%","122.34%","109.82%","100.00%","-",""
"Net Worth","152,394","152,394","152,394","143,686","130,623","121,915","119,738","113,207","-","-"
"YoY %","0.00%","0.00%","6.06%","10.00%","7.14%","1.82%","5.77%","0.00%","-",""
"Horiz. %","134.62%","134.62%","134.62%","126.92%","115.38%","107.69%","105.77%","100.00%","-",""
"Div","10,885","10,885","10,885","10,885","6,531","3,265","4,354","6,531","-","-"
"YoY %","0.00%","0.00%","0.00%","66.67%","100.00%","-25.00%","-33.33%","0.00%","-",""
"Horiz. %","166.67%","166.67%","166.67%","166.67%","100.00%","50.00%","66.67%","100.00%","-",""
"Div Payout %","52.52    %","52.52    %","52.52    %","58.65    %","49.74    %","44.80    %","33.83    %","43.32    %","-     %","-"
"YoY %","0.00%","0.00%","-10.45%","17.91%","11.03%","32.43%","-21.91%","0.00%","-",""
"Horiz. %","121.24%","121.24%","121.24%","135.39%","114.82%","103.42%","78.09%","100.00%","-",""
"Net Worth","152,394","152,394","152,394","143,686","130,623","121,915","119,738","113,207","-","-"
"YoY %","0.00%","0.00%","6.06%","10.00%","7.14%","1.82%","5.77%","0.00%","-",""
"Horiz. %","134.62%","134.62%","134.62%","126.92%","115.38%","107.69%","105.77%","100.00%","-",""
"NOSH","217,706","217,706","217,706","217,706","217,706","217,706","217,706","217,706","-","-"
"YoY %","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","-",""
"Horiz. %","100.00%","100.00%","100.00%","100.00%","100.00%","100.00%","100.00%","100.00%","-",""
"NP Margin","4.28    %","4.43    %","4.28    %","4.59    %","3.65    %","2.12    %","3.55    %","4.81    %","-     %","-"
"YoY %","-3.39%","3.50%","-6.75%","25.75%","72.17%","-40.28%","-26.20%","0.00%","-",""
"Horiz. %","88.98%","92.10%","88.98%","95.43%","75.88%","44.07%","73.80%","100.00%","-",""
"ROE","13.60    %","13.60    %","13.60    %","12.92    %","10.05    %","5.98    %","10.75    %","13.32    %","-     %","-"
"YoY %","0.00%","0.00%","5.26%","28.56%","68.06%","-44.37%","-19.29%","0.00%","-",""
"Horiz. %","102.10%","102.10%","102.10%","97.00%","75.45%","44.89%","80.71%","100.00%","-",""
"RPS","275.25","265.83","275.25","233.47","211.27","184.91","168.44","155.41","-","-"
"YoY %","3.54%","-3.42%","17.90%","10.51%","14.26%","9.78%","8.38%","0.00%","-",""
"Horiz. %","177.11%","171.05%","177.11%","150.23%","135.94%","118.98%","108.38%","100.00%","-",""
"EPS","9.52","9.52","9.52","8.53","6.03","3.35","5.91","7.47","0.00","-"
"YoY %","0.00%","0.00%","11.61%","41.46%","80.00%","-43.32%","-20.88%","0.00%","-",""
"Horiz. %","127.44%","127.44%","127.44%","114.19%","80.72%","44.85%","79.12%","100.00%","-",""
"DPS","5.00","5.00","5.00","5.00","3.00","1.50","2.00","3.00","0.00","-"
"YoY %","0.00%","0.00%","0.00%","66.67%","100.00%","-25.00%","-33.33%","0.00%","-",""
"Horiz. %","166.67%","166.67%","166.67%","166.67%","100.00%","50.00%","66.67%","100.00%","-",""
"NAPS","0.7000","0.7000","0.7000","0.6600","0.6000","0.5600","0.5500","0.5200","0.0000","-"
"YoY %","0.00%","0.00%","6.06%","10.00%","7.14%","1.82%","5.77%","0.00%","-",""
"Horiz. %","134.62%","134.62%","134.62%","126.92%","115.38%","107.69%","105.77%","100.00%","-",""
"RPS","275.25","265.83","275.25","233.47","211.27","184.91","168.44","155.41","-","-"
"YoY %","3.54%","-3.42%","17.90%","10.51%","14.26%","9.78%","8.38%","0.00%","-",""
"Horiz. %","177.11%","171.05%","177.11%","150.23%","135.94%","118.98%","108.38%","100.00%","-",""
"EPS","9.52","9.52","9.52","8.53","6.03","3.35","5.91","7.47","0.00","-"
"YoY %","0.00%","0.00%","11.61%","41.46%","80.00%","-43.32%","-20.88%","0.00%","-",""
"Horiz. %","127.44%","127.44%","127.44%","114.19%","80.72%","44.85%","79.12%","100.00%","-",""
"DPS","5.00","5.00","5.00","5.00","3.00","1.50","2.00","3.00","0.00","-"
"YoY %","0.00%","0.00%","0.00%","66.67%","100.00%","-25.00%","-33.33%","0.00%","-",""
"Horiz. %","166.67%","166.67%","166.67%","166.67%","100.00%","50.00%","66.67%","100.00%","-",""
"NAPS","0.7000","0.7000","0.7000","0.6600","0.6000","0.5600","0.5500","0.5200","0.0000","-"
"YoY %","0.00%","0.00%","6.06%","10.00%","7.14%","1.82%","5.77%","0.00%","-",""
"Horiz. %","134.62%","134.62%","134.62%","126.92%","115.38%","107.69%","105.77%","100.00%","-",""
"Date","AQR","T4Q","31/05/19","31/05/18","31/05/17","31/05/16","29/05/15","30/05/14","-","-"
"Price","1.9200","1.9200","1.9200","1.5500","1.8100","1.7500","1.0000","2.1100","0.0000","-"
"P/RPS","0.70","0.72","0.70","0.66","0.86","0.95","0.59","1.36","0.00","-"
"YoY %","-2.78%","2.86%","6.06%","-23.26%","-9.47%","61.02%","-56.62%","0.00%","-",""
"Horiz. %","51.47%","52.94%","51.47%","48.53%","63.24%","69.85%","43.38%","100.00%","-",""
"P/EPS","20.17","20.17","20.17","18.18","30.01","52.27","16.92","30.47","0.00","-"
"YoY %","0.00%","0.00%","10.95%","-39.42%","-42.59%","208.92%","-44.47%","0.00%","-",""
"Horiz. %","66.20%","66.20%","66.20%","59.67%","98.49%","171.55%","55.53%","100.00%","-",""
"EY","4.96","4.96","4.96","5.50","3.33","1.91","5.91","3.28","0.00","-"
"YoY %","0.00%","0.00%","-9.82%","65.17%","74.35%","-67.68%","80.18%","0.00%","-",""
"Horiz. %","151.22%","151.22%","151.22%","167.68%","101.52%","58.23%","180.18%","100.00%","-",""
"DY","2.60","2.60","2.60","3.23","1.66","0.86","2.00","1.42","0.00","-"
"YoY %","0.00%","0.00%","-19.50%","94.58%","93.02%","-57.00%","40.85%","0.00%","-",""
"Horiz. %","183.10%","183.10%","183.10%","227.46%","116.90%","60.56%","140.85%","100.00%","-",""
"P/NAPS","2.74","2.74","2.74","2.35","3.02","3.13","1.82","4.06","0.00","-"
"YoY %","0.00%","0.00%","16.60%","-22.19%","-3.51%","71.98%","-55.17%","0.00%","-",""
"Horiz. %","67.49%","67.49%","67.49%","57.88%","74.38%","77.09%","44.83%","100.00%","-",""
"Date","AQR","T4Q","25/07/19","24/07/18","27/07/17","29/07/16","28/07/15","31/07/14","-","-"
"Price","1.9000","1.9000","1.9000","1.6500","1.7000","1.6700","1.1000","2.1400","0.0000","-"
"P/RPS","0.69","0.71","0.69","0.71","0.80","0.90","0.65","1.38","0.00","-"
"YoY %","-2.82%","2.90%","-2.82%","-11.25%","-11.11%","38.46%","-52.90%","0.00%","-",""
"Horiz. %","50.00%","51.45%","50.00%","51.45%","57.97%","65.22%","47.10%","100.00%","-",""
"P/EPS","19.96","19.96","19.96","19.35","28.19","49.88","18.61","30.90","0.00","-"
"YoY %","0.00%","0.00%","3.15%","-31.36%","-43.48%","168.03%","-39.77%","0.00%","-",""
"Horiz. %","64.60%","64.60%","64.60%","62.62%","91.23%","161.42%","60.23%","100.00%","-",""
"EY","5.01","5.01","5.01","5.17","3.55","2.00","5.37","3.24","0.00","-"
"YoY %","0.00%","0.00%","-3.09%","45.63%","77.50%","-62.76%","65.74%","0.00%","-",""
"Horiz. %","154.63%","154.63%","154.63%","159.57%","109.57%","61.73%","165.74%","100.00%","-",""
"DY","2.63","2.63","2.63","3.03","1.76","0.90","1.82","1.40","0.00","-"
"YoY %","0.00%","0.00%","-13.20%","72.16%","95.56%","-50.55%","30.00%","0.00%","-",""
"Horiz. %","187.86%","187.86%","187.86%","216.43%","125.71%","64.29%","130.00%","100.00%","-",""
"P/NAPS","2.71","2.71","2.71","2.50","2.83","2.98","2.00","4.12","0.00","-"
"YoY %","0.00%","0.00%","8.40%","-11.66%","-5.03%","49.00%","-51.46%","0.00%","-",""
"Horiz. %","65.78%","65.78%","65.78%","60.68%","68.69%","72.33%","48.54%","100.00%","-",""

