Column1,AQR,T4Q,30/11/18,30/11/17,30/11/16,30/11/15,30/11/14,30/11/13,30/11/12,30/11/11,30/11/10,30/11/09,CAGR
"Revenue","184,501","197,385","183,406","205,686","191,301","225,910","243,686","417,056","450,425","357,542","322,611","315,275","-5.84%"
"YoY %","-6.53%","7.62%","-10.83%","7.52%","-15.32%","-7.29%","-41.57%","-7.41%","25.98%","10.83%","2.33%","-",""
"Horiz. %","58.52%","62.61%","58.17%","65.24%","60.68%","71.65%","77.29%","132.28%","142.87%","113.41%","102.33%","100.00%",""
"PBT","65,206","63,986","64,584","67,204","56,246","70,715","57,909","145,333","141,323","115,072","105,897","102,704","-5.02%"
"YoY %","1.91%","-0.93%","-3.90%","19.48%","-20.46%","22.11%","-60.15%","2.84%","22.81%","8.66%","3.11%","-",""
"Horiz. %","63.49%","62.30%","62.88%","65.43%","54.77%","68.85%","56.38%","141.51%","137.60%","112.04%","103.11%","100.00%",""
"Tax","-16,502","-15,977","-12,222","-14,392","-14,648","-17,671","-10,795","-24,323","-24,233","-19,752","-19,225","-20,647","-5.66%"
"YoY %","-3.29%","-30.72%","15.08%","1.75%","17.11%","-63.70%","55.62%","-0.37%","-22.69%","-2.74%","6.89%","-",""
"Horiz. %","79.93%","77.38%","59.20%","69.71%","70.94%","85.59%","52.28%","117.80%","117.37%","95.67%","93.11%","100.00%",""
"NP","48,704","48,009","52,362","52,812","41,598","53,044","47,114","121,010","117,090","95,320","86,672","82,057","-4.87%"
"YoY %","1.45%","-8.31%","-0.85%","26.96%","-21.58%","12.59%","-61.07%","3.35%","22.84%","9.98%","5.62%","-",""
"Horiz. %","59.35%","58.51%","63.81%","64.36%","50.69%","64.64%","57.42%","147.47%","142.69%","116.16%","105.62%","100.00%",""
"NP to SH","49,704","49,674","52,362","52,812","41,598","75,752","47,117","121,010","117,093","95,320","87,065","82,005","-4.86%"
"YoY %","0.06%","-5.13%","-0.85%","26.96%","-45.09%","60.77%","-61.06%","3.35%","22.84%","9.48%","6.17%","-",""
"Horiz. %","60.61%","60.57%","63.85%","64.40%","50.73%","92.37%","57.46%","147.56%","142.79%","116.24%","106.17%","100.00%",""
"Tax Rate","25.31    %","24.97    %","18.92    %","21.42    %","26.04    %","24.99    %","18.64    %","16.74    %","17.15    %","17.16    %","18.15    %","20.10    %","-0.67%"
"YoY %","1.36%","31.98%","-11.67%","-17.74%","4.20%","34.07%","11.35%","-2.39%","-0.06%","-5.45%","-9.70%","-",""
"Horiz. %","125.92%","124.23%","94.13%","106.57%","129.55%","124.33%","92.74%","83.28%","85.32%","85.37%","90.30%","100.00%",""
"Total Cost","135,797","149,376","131,044","152,874","149,703","172,866","196,572","296,046","333,335","262,222","235,939","233,218","-6.20%"
"YoY %","-9.09%","13.99%","-14.28%","2.12%","-13.40%","-12.06%","-33.60%","-11.19%","27.12%","11.14%","1.17%","-",""
"Horiz. %","58.23%","64.05%","56.19%","65.55%","64.19%","74.12%","84.29%","126.94%","142.93%","112.44%","101.17%","100.00%",""
"Net Worth","585,626","585,626","594,964","580,565","553,932","529,092","483,230","504,159","451,769","392,366","351,939","320,119","7.12%"
"YoY %","0.00%","-1.57%","2.48%","4.81%","4.69%","9.49%","-4.15%","11.60%","15.14%","11.49%","9.94%","-",""
"Horiz. %","182.94%","182.94%","185.86%","181.36%","173.04%","165.28%","150.95%","157.49%","141.13%","122.57%","109.94%","100.00%",""
"Div","36,800","41,400","46,000","34,500","27,600","27,600","46,000","73,600","71,286","55,204","55,191","48,299","-0.54%"
"YoY %","-11.11%","-10.00%","33.33%","25.00%","0.00%","-40.00%","-37.50%","3.25%","29.13%","0.02%","14.27%","-",""
"Horiz. %","76.19%","85.72%","95.24%","71.43%","57.14%","57.14%","95.24%","152.38%","147.59%","114.30%","114.27%","100.00%",""
"Div Payout %","74.04    %","83.34    %","87.85    %","65.33    %","66.35    %","36.43    %","97.63    %","60.82    %","60.88    %","57.92    %","63.39    %","58.90    %","4.54%"
"YoY %","-11.16%","-5.13%","34.47%","-1.54%","82.13%","-62.69%","60.52%","-0.10%","5.11%","-8.63%","7.62%","-",""
"Horiz. %","125.70%","141.49%","149.15%","110.92%","112.65%","61.85%","165.76%","103.26%","103.36%","98.34%","107.62%","100.00%",""
"Net Worth","585,626","585,626","594,964","580,565","553,932","529,092","483,230","504,159","451,769","392,366","351,939","320,119","7.12%"
"YoY %","0.00%","-1.57%","2.48%","4.81%","4.69%","9.49%","-4.15%","11.60%","15.14%","11.49%","9.94%","-",""
"Horiz. %","182.94%","182.94%","185.86%","181.36%","173.04%","165.28%","150.95%","157.49%","141.13%","122.57%","109.94%","100.00%",""
"NOSH","460,000","460,000","460,000","460,000","460,000","460,000","460,000","460,000","460,000","460,038","459,931","344,993","3.25%"
"YoY %","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","-0.01%","0.02%","33.32%","-",""
"Horiz. %","133.34%","133.34%","133.34%","133.34%","133.34%","133.34%","133.34%","133.34%","133.34%","133.35%","133.32%","100.00%",""
"NP Margin","26.40    %","24.32    %","28.55    %","25.68    %","21.74    %","23.48    %","19.33    %","29.02    %","26.00    %","26.66    %","26.87    %","26.03    %","1.03%"
"YoY %","8.55%","-14.82%","11.18%","18.12%","-7.41%","21.47%","-33.39%","11.62%","-2.48%","-0.78%","3.23%","-",""
"Horiz. %","101.42%","93.43%","109.68%","98.66%","83.52%","90.20%","74.26%","111.49%","99.88%","102.42%","103.23%","100.00%",""
"ROE","8.49    %","8.48    %","8.80    %","9.10    %","7.51    %","14.32    %","9.75    %","24.00    %","25.92    %","24.29    %","24.74    %","25.62    %","-11.19%"
"YoY %","0.12%","-3.64%","-3.30%","21.17%","-47.56%","46.87%","-59.38%","-7.41%","6.71%","-1.82%","-3.43%","-",""
"Horiz. %","33.14%","33.10%","34.35%","35.52%","29.31%","55.89%","38.06%","93.68%","101.17%","94.81%","96.57%","100.00%",""
"RPS","40.11","42.91","39.87","44.71","41.59","49.11","52.98","90.66","97.94","77.72","70.14","91.39","-8.80%"
"YoY %","-6.53%","7.62%","-10.83%","7.50%","-15.31%","-7.30%","-41.56%","-7.43%","26.02%","10.81%","-23.25%","-",""
"Horiz. %","43.89%","46.95%","43.63%","48.92%","45.51%","53.74%","57.97%","99.20%","107.17%","85.04%","76.75%","100.00%",""
"EPS","10.59","10.80","11.38","11.48","9.04","11.53","10.24","26.31","25.46","20.72","18.93","23.77","-7.85%"
"YoY %","-1.94%","-5.10%","-0.87%","26.99%","-21.60%","12.60%","-61.08%","3.34%","22.88%","9.46%","-20.36%","-",""
"Horiz. %","44.55%","45.44%","47.88%","48.30%","38.03%","48.51%","43.08%","110.69%","107.11%","87.17%","79.64%","100.00%",""
"DPS","8.00","9.00","10.00","7.50","6.00","6.00","10.00","16.00","15.50","12.00","12.00","14.00","-3.67%"
"YoY %","-11.11%","-10.00%","33.33%","25.00%","0.00%","-40.00%","-37.50%","3.23%","29.17%","0.00%","-14.29%","-",""
"Horiz. %","57.14%","64.29%","71.43%","53.57%","42.86%","42.86%","71.43%","114.29%","110.71%","85.71%","85.71%","100.00%",""
"NAPS","1.2731","1.2731","1.2934","1.2621","1.2042","1.1502","1.0505","1.0960","0.9823","0.8529","0.7652","0.9279","3.76%"
"YoY %","0.00%","-1.57%","2.48%","4.81%","4.69%","9.49%","-4.15%","11.57%","15.17%","11.46%","-17.53%","-",""
"Horiz. %","137.20%","137.20%","139.39%","136.02%","129.78%","123.96%","113.21%","118.12%","105.86%","91.92%","82.47%","100.00%",""
"RPS","40.11","42.91","39.87","44.71","41.59","49.11","52.98","90.66","97.94","77.73","70.13","68.54","-5.84%"
"YoY %","-6.53%","7.62%","-10.83%","7.50%","-15.31%","-7.30%","-41.56%","-7.43%","26.00%","10.84%","2.32%","-",""
"Horiz. %","58.52%","62.61%","58.17%","65.23%","60.68%","71.65%","77.30%","132.27%","142.89%","113.41%","102.32%","100.00%",""
"EPS","10.59","10.80","11.38","11.48","9.04","11.53","10.24","26.31","25.46","20.72","18.93","17.83","-4.86%"
"YoY %","-1.94%","-5.10%","-0.87%","26.99%","-21.60%","12.60%","-61.08%","3.34%","22.88%","9.46%","6.17%","-",""
"Horiz. %","59.39%","60.57%","63.83%","64.39%","50.70%","64.67%","57.43%","147.56%","142.79%","116.21%","106.17%","100.00%",""
"DPS","8.00","9.00","10.00","7.50","6.00","6.00","10.00","16.00","15.50","12.00","12.00","10.50","-0.54%"
"YoY %","-11.11%","-10.00%","33.33%","25.00%","0.00%","-40.00%","-37.50%","3.23%","29.17%","0.00%","14.29%","-",""
"Horiz. %","76.19%","85.71%","95.24%","71.43%","57.14%","57.14%","95.24%","152.38%","147.62%","114.29%","114.29%","100.00%",""
"NAPS","1.2731","1.2731","1.2934","1.2621","1.2042","1.1502","1.0505","1.0960","0.9823","0.8530","0.7651","0.6959","7.13%"
"YoY %","0.00%","-1.57%","2.48%","4.81%","4.69%","9.49%","-4.15%","11.57%","15.16%","11.49%","9.94%","-",""
"Horiz. %","182.94%","182.94%","185.86%","181.36%","173.04%","165.28%","150.96%","157.49%","141.16%","122.58%","109.94%","100.00%",""
"Date","AQR","T4Q","30/11/18","30/11/17","30/11/16","30/11/15","28/11/14","29/11/13","30/11/12","30/11/11","30/11/10","30/11/09","-"
"Price","1.4400","1.4400","1.3000","1.8000","1.3000","1.5100","2.1300","4.8800","2.6000","1.7200","1.7300","1.5300","-"
"P/RPS","3.59","3.36","3.26","4.03","3.13","3.07","4.02","5.38","2.65","2.21","2.47","1.67","7.71%"
"YoY %","6.85%","3.07%","-19.11%","28.75%","1.95%","-23.63%","-25.28%","103.02%","19.91%","-10.53%","47.90%","-",""
"Horiz. %","214.97%","201.20%","195.21%","241.32%","187.43%","183.83%","240.72%","322.16%","158.68%","132.34%","147.90%","100.00%",""
"P/EPS","13.33","13.33","11.42","15.68","14.38","9.17","20.80","18.55","10.21","8.30","9.14","6.44","6.57%"
"YoY %","0.00%","16.73%","-27.17%","9.04%","56.82%","-55.91%","12.13%","81.68%","23.01%","-9.19%","41.93%","-",""
"Horiz. %","206.99%","206.99%","177.33%","243.48%","223.29%","142.39%","322.98%","288.04%","158.54%","128.88%","141.93%","100.00%",""
"EY","7.50","7.50","8.76","6.38","6.96","10.91","4.81","5.39","9.79","12.05","10.94","15.54","-6.17%"
"YoY %","0.00%","-14.38%","37.30%","-8.33%","-36.21%","126.82%","-10.76%","-44.94%","-18.76%","10.15%","-29.60%","-",""
"Horiz. %","48.26%","48.26%","56.37%","41.06%","44.79%","70.21%","30.95%","34.68%","63.00%","77.54%","70.40%","100.00%",""
"DY","5.56","6.25","7.69","4.17","4.62","3.97","4.69","3.28","5.96","6.98","6.94","9.15","-1.91%"
"YoY %","-11.04%","-18.73%","84.41%","-9.74%","16.37%","-15.35%","42.99%","-44.97%","-14.61%","0.58%","-24.15%","-",""
"Horiz. %","60.77%","68.31%","84.04%","45.57%","50.49%","43.39%","51.26%","35.85%","65.14%","76.28%","75.85%","100.00%",""
"P/NAPS","1.13","1.13","1.01","1.43","1.08","1.31","2.03","4.45","2.65","2.02","2.26","1.65","-5.30%"
"YoY %","0.00%","11.88%","-29.37%","32.41%","-17.56%","-35.47%","-54.38%","67.92%","31.19%","-10.62%","36.97%","-",""
"Horiz. %","68.48%","68.48%","61.21%","86.67%","65.45%","79.39%","123.03%","269.70%","160.61%","122.42%","136.97%","100.00%",""
