Column1,AQR,T4Q,31/12/18,31/12/17,31/12/16,31/12/15,31/12/14,CAGR
"Revenue","11,588","9,954","12,343","27,297","14,273","8,704","11,483","1.82%"
"YoY %","16.42%","-19.36%","-54.78%","91.25%","63.98%","-24.20%","-",""
"Horiz. %","100.91%","86.68%","107.49%","237.72%","124.30%","75.80%","100.00%",""
"PBT","3,026","-2,366","-4,313","2,211","-1,870","1,310","6,635","-"
"YoY %","227.90%","45.14%","-295.07%","218.24%","-242.75%","-80.26%","-",""
"Horiz. %","45.61%","-35.66%","-65.00%","33.32%","-28.18%","19.74%","100.00%",""
"Tax","-516","-65","-44","-590","-266","538","-177","-29.37%"
"YoY %","-693.85%","-47.73%","92.54%","-121.80%","-149.44%","403.95%","-",""
"Horiz. %","291.53%","36.72%","24.86%","333.33%","150.28%","-303.95%","100.00%",""
"NP","2,510","-2,431","-4,357","1,621","-2,136","1,848","6,458","-"
"YoY %","203.25%","44.20%","-368.78%","175.89%","-215.58%","-71.38%","-",""
"Horiz. %","38.87%","-37.64%","-67.47%","25.10%","-33.08%","28.62%","100.00%",""
"NP to SH","2,510","-2,431","-4,357","1,621","-2,136","1,848","6,470","-"
"YoY %","203.25%","44.20%","-368.78%","175.89%","-215.58%","-71.44%","-",""
"Horiz. %","38.79%","-37.57%","-67.34%","25.05%","-33.01%","28.56%","100.00%",""
"Tax Rate","17.05    %","-     %","-     %","26.68    %","-     %","-41.07    %","2.67    %","-"
"YoY %","0.00%","0.00%","0.00%","0.00%","0.00%","-1,638.20%","-",""
"Horiz. %","638.58%","0.00%","0.00%","999.25%","0.00%","-1,538.20%","100.00%",""
"Total Cost","9,078","12,385","16,700","25,676","16,409","6,856","5,025","34.99%"
"YoY %","-26.70%","-25.84%","-34.96%","56.48%","139.34%","36.44%","-",""
"Horiz. %","180.66%","246.47%","332.34%","510.97%","326.55%","136.44%","100.00%",""
"Net Worth","29,863","29,863","26,329","33,870","3,844,800","3,880,799","905,799","-58.68%"
"YoY %","0.00%","13.42%","-22.27%","-99.12%","-0.93%","328.44%","-",""
"Horiz. %","3.30%","3.30%","2.91%","3.74%","424.46%","428.44%","100.00%",""
"Div","-","0","-","-","-","1,847","-","-"
"YoY %","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","-",""
"Horiz. %","0.00%","0.00%","0.00%","0.00%","0.00%","100.00%","-",""
"Div Payout %","-     %","-     %","-     %","-     %","-     %","100.00    %","-     %","-"
"YoY %","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","-",""
"Horiz. %","0.00%","0.00%","0.00%","0.00%","0.00%","100.00%","-",""
"Net Worth","29,863","29,863","26,329","33,870","3,844,800","3,880,799","905,799","-58.68%"
"YoY %","0.00%","13.42%","-22.27%","-99.12%","-0.93%","328.44%","-",""
"Horiz. %","3.30%","3.30%","2.91%","3.74%","424.46%","428.44%","100.00%",""
"NOSH","245,585","245,585","225,806","225,806","21,360,000","18,480,000","6,469,999","-56.75%"
"YoY %","0.00%","8.76%","0.00%","-98.94%","15.58%","185.63%","-",""
"Horiz. %","3.80%","3.80%","3.49%","3.49%","330.14%","285.63%","100.00%",""
"NP Margin","21.66    %","-24.42    %","-35.30    %","5.94    %","-14.97    %","21.23    %","56.24    %","-"
"YoY %","188.70%","30.82%","-694.28%","139.68%","-170.51%","-62.25%","-",""
"Horiz. %","38.51%","-43.42%","-62.77%","10.56%","-26.62%","37.75%","100.00%",""
"ROE","8.41    %","-8.14    %","-16.55    %","4.79    %","-0.06    %","0.05    %","0.71    %","-"
"YoY %","203.32%","50.82%","-445.51%","8,083.33%","-220.00%","-92.96%","-",""
"Horiz. %","1,184.51%","-1,146.48%","-2,330.99%","674.65%","-8.45%","7.04%","100.00%",""
"RPS","4.72","4.05","5.47","12.09","0.07","0.05","0.18","134.65%"
"YoY %","16.54%","-25.96%","-54.76%","17,171.43%","40.00%","-72.22%","-",""
"Horiz. %","2,622.22%","2,250.00%","3,038.89%","6,716.67%","38.89%","27.78%","100.00%",""
"EPS","1.08","-0.99","-1.93","0.01","-0.01","0.01","0.10","-"
"YoY %","209.09%","48.70%","-19,400.00%","200.00%","-200.00%","-90.00%","-",""
"Horiz. %","1,080.00%","-990.00%","-1,930.00%","10.00%","-10.00%","10.00%","100.00%",""
"DPS","0.00","0.00","0.00","0.00","0.00","0.01","0.00","-"
"YoY %","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","-",""
"Horiz. %","0.00%","0.00%","0.00%","0.00%","0.00%","100.00%","-",""
"NAPS","0.1216","0.1216","0.1166","0.1500","0.1800","0.2100","0.1400","-4.47%"
"YoY %","0.00%","4.29%","-22.27%","-16.67%","-14.29%","50.00%","-",""
"Horiz. %","86.86%","86.86%","83.29%","107.14%","128.57%","150.00%","100.00%",""
"RPS","4.67","4.01","4.97","10.99","5.75","3.50","4.62","1.84%"
"YoY %","16.46%","-19.32%","-54.78%","91.13%","64.29%","-24.24%","-",""
"Horiz. %","101.08%","86.80%","107.58%","237.88%","124.46%","75.76%","100.00%",""
"EPS","1.01","-0.98","-1.75","0.65","-0.86","0.74","2.60","-"
"YoY %","203.06%","44.00%","-369.23%","175.58%","-216.22%","-71.54%","-",""
"Horiz. %","38.85%","-37.69%","-67.31%","25.00%","-33.08%","28.46%","100.00%",""
"DPS","0.00","0.00","0.00","0.00","0.00","0.74","0.00","-"
"YoY %","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","-",""
"Horiz. %","0.00%","0.00%","0.00%","0.00%","0.00%","100.00%","-",""
"NAPS","0.1202","0.1202","0.1060","0.1364","15.4791","15.6240","3.6467","-58.68%"
"YoY %","0.00%","13.40%","-22.29%","-99.12%","-0.93%","328.44%","-",""
"Horiz. %","3.30%","3.30%","2.91%","3.74%","424.47%","428.44%","100.00%",""
"Date","AQR","T4Q","31/12/18","29/12/17","30/12/16","31/12/15","-","-"
"Price","0.1600","0.1600","0.1000","0.3250","0.2900","0.4350","0.0000","-"
"P/RPS","3.39","3.95","1.83","2.69","433.99","923.58","0.00","-"
"YoY %","-14.18%","115.85%","-31.97%","-99.38%","-53.01%","0.00%","-",""
"Horiz. %","0.37%","0.43%","0.20%","0.29%","46.99%","100.00%","-",""
"P/EPS","15.65","-16.16","-5.18","45.27","-2,900.00","4,350.00","0.00","-"
"YoY %","196.84%","-211.97%","-111.44%","101.56%","-166.67%","0.00%","-",""
"Horiz. %","0.36%","-0.37%","-0.12%","1.04%","-66.67%","100.00%","-",""
"EY","6.39","-6.19","-19.30","2.21","-0.03","0.02","0.00","-"
"YoY %","203.23%","67.93%","-973.30%","7,466.67%","-250.00%","0.00%","-",""
"Horiz. %","31,950.00%","-30,950.00%","-96,500.00%","11,050.00%","-150.00%","100.00%","-",""
"DY","0.00","0.00","0.00","0.00","0.00","0.02","0.00","-"
"YoY %","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","-",""
"Horiz. %","0.00%","0.00%","0.00%","0.00%","0.00%","100.00%","-",""
"P/NAPS","1.32","1.32","0.86","2.17","1.61","2.07","0.00","-"
"YoY %","0.00%","53.49%","-60.37%","34.78%","-22.22%","0.00%","-",""
"Horiz. %","63.77%","63.77%","41.55%","104.83%","77.78%","100.00%","-",""
"Date","AQR","T4Q","25/02/19","27/02/18","21/02/17","29/02/16","-","-"
"Price","0.1350","0.1350","0.1300","0.3400","0.2950","0.4000","0.0000","-"
"P/RPS","2.86","3.33","2.38","2.81","441.48","849.26","0.00","-"
"YoY %","-14.11%","39.92%","-15.30%","-99.36%","-48.02%","0.00%","-",""
"Horiz. %","0.34%","0.39%","0.28%","0.33%","51.98%","100.00%","-",""
"P/EPS","13.21","-13.64","-6.74","47.36","-2,950.00","4,000.00","0.00","-"
"YoY %","196.85%","-102.37%","-114.23%","101.61%","-173.75%","0.00%","-",""
"Horiz. %","0.33%","-0.34%","-0.17%","1.18%","-73.75%","100.00%","-",""
"EY","7.57","-7.33","-14.84","2.11","-0.03","0.02","0.00","-"
"YoY %","203.27%","50.61%","-803.32%","7,133.33%","-250.00%","0.00%","-",""
"Horiz. %","37,850.00%","-36,650.00%","-74,200.00%","10,550.00%","-150.00%","100.00%","-",""
"DY","0.00","0.00","0.00","0.00","0.00","0.02","0.00","-"
"YoY %","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","-",""
"Horiz. %","0.00%","0.00%","0.00%","0.00%","0.00%","100.00%","-",""
"P/NAPS","1.11","1.11","1.11","2.27","1.64","1.90","0.00","-"
"YoY %","0.00%","0.00%","-51.10%","38.41%","-13.68%","0.00%","-",""
"Horiz. %","58.42%","58.42%","58.42%","119.47%","86.32%","100.00%","-",""

