Column1,AQR,T4Q,30/06/18,30/06/17,30/06/16,30/06/15,30/06/14,30/06/13,30/06/12,30/06/11,CAGR
"Revenue","235,516","229,222","200,922","191,604","160,718","90,953","56,795","40,807","33,045","0","-"
"YoY %","2.75%","14.09%","4.86%","19.22%","76.70%","60.14%","39.18%","23.49%","0.00%","-",""
"Horiz. %","712.71%","693.67%","608.03%","579.83%","486.36%","275.24%","171.87%","123.49%","100.00%","-",""
"PBT","-1,149","-5,260","-6,015","2,362","-8,262","1,628","-1,572","4,536","-19,886","0","-"
"YoY %","78.15%","12.55%","-354.66%","128.59%","-607.49%","203.56%","-134.66%","122.81%","0.00%","-",""
"Horiz. %","5.78%","26.45%","30.25%","-11.88%","41.55%","-8.19%","7.91%","-22.81%","100.00%","-",""
"Tax","-228","-318","-206","-368","-330","-457","18","-22","0","0","-"
"YoY %","28.30%","-54.37%","44.02%","-11.52%","27.79%","-2,638.89%","181.82%","0.00%","0.00%","-",""
"Horiz. %","1,036.36%","1,445.45%","936.36%","1,672.73%","1,500.00%","2,077.27%","-81.82%","100.00%","-","-",""
"NP","-1,377","-5,578","-6,221","1,994","-8,592","1,171","-1,554","4,514","-19,886","0","-"
"YoY %","75.31%","10.34%","-411.99%","123.21%","-833.73%","175.35%","-134.43%","122.70%","0.00%","-",""
"Horiz. %","6.93%","28.05%","31.28%","-10.03%","43.21%","-5.89%","7.81%","-22.70%","100.00%","-",""
"NP to SH","-1,578","-5,747","-6,276","2,150","-8,776","756","-1,239","4,593","-19,886","0","-"
"YoY %","72.53%","8.43%","-391.91%","124.50%","-1,260.85%","161.02%","-126.98%","123.10%","0.00%","-",""
"Horiz. %","7.94%","28.90%","31.56%","-10.81%","44.13%","-3.80%","6.23%","-23.10%","100.00%","-",""
"Tax Rate","-     %","-     %","-     %","15.58    %","-     %","28.07    %","-     %","0.49    %","-     %","-     %","-"
"YoY %","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","-",""
"Horiz. %","0.00%","0.00%","0.00%","3,179.59%","0.00%","5,728.57%","0.00%","100.00%","-","-",""
"Total Cost","236,893","234,800","207,143","189,610","169,310","89,782","58,349","36,293","52,931","0","-"
"YoY %","0.89%","13.35%","9.25%","11.99%","88.58%","53.87%","60.77%","-31.43%","0.00%","-",""
