Column1,AQR,T4Q,30/06/19,30/06/18,30/06/17,30/06/16,30/06/15,31/12/13,31/12/12,31/12/11,CAGR
"Revenue","810,038","810,038","810,038","843,057","508,178","508,687","400,804","181,764","136,098","132,048","27.36%"
"YoY %","0.00%","0.00%","-3.92%","65.90%","-0.10%","26.92%","120.51%","33.55%","3.07%","-",""
"Horiz. %","613.44%","613.44%","613.44%","638.45%","384.84%","385.23%","303.53%","137.65%","103.07%","100.00%",""
"PBT","97,533","97,534","97,533","92,570","135,974","105,847","72,818","28,625","23,039","17,368","25.86%"
"YoY %","-0.00%","0.00%","5.36%","-31.92%","28.46%","45.36%","154.39%","24.25%","32.65%","-",""
"Horiz. %","561.57%","561.57%","561.57%","532.99%","782.90%","609.44%","419.27%","164.81%","132.65%","100.00%",""
"Tax","-9,709","-9,709","-9,709","-14,183","-15,743","-6,277","-16,475","-8,406","-6,406","-4,682","10.21%"
"YoY %","0.00%","0.00%","31.54%","9.91%","-150.80%","61.90%","-95.99%","-31.22%","-36.82%","-",""
"Horiz. %","207.37%","207.37%","207.37%","302.93%","336.25%","134.07%","351.88%","179.54%","136.82%","100.00%",""
"NP","87,824","87,825","87,824","78,387","120,231","99,570","56,343","20,219","16,633","12,686","29.42%"
"YoY %","-0.00%","0.00%","12.04%","-34.80%","20.75%","76.72%","178.66%","21.56%","31.11%","-",""
"Horiz. %","692.29%","692.30%","692.29%","617.90%","947.75%","784.88%","444.14%","159.38%","131.11%","100.00%",""
"NP to SH","80,224","80,225","80,224","60,570","90,918","72,834","56,456","20,456","16,580","12,711","27.84%"
"YoY %","-0.00%","0.00%","32.45%","-33.38%","24.83%","29.01%","175.99%","23.38%","30.44%","-",""
"Horiz. %","631.14%","631.15%","631.14%","476.52%","715.27%","573.00%","444.15%","160.93%","130.44%","100.00%",""
"Tax Rate","9.95    %","9.95    %","9.95    %","15.32    %","11.58    %","5.93    %","22.62    %","29.37    %","27.81    %","26.96    %","-12.44%"
"YoY %","0.00%","0.00%","-35.05%","32.30%","95.28%","-73.78%","-22.98%","5.61%","3.15%","-",""
"Horiz. %","36.91%","36.91%","36.91%","56.82%","42.95%","22.00%","83.90%","108.94%","103.15%","100.00%",""
"Total Cost","722,214","722,213","722,214","764,670","387,947","409,117","344,461","161,545","119,465","119,362","27.12%"
"YoY %","0.00%","-0.00%","-5.55%","97.11%","-5.17%","18.77%","113.23%","35.22%","0.09%","-",""
"Horiz. %","605.06%","605.06%","605.06%","640.63%","325.02%","342.75%","288.59%","135.34%","100.09%","100.00%",""
"Net Worth","556,329","556,329","556,329","527,268","431,880","332,365","183,008","85,863","65,498","27,049","49.64%"
"YoY %","0.00%","0.00%","5.51%","22.09%","29.94%","81.61%","113.14%","31.09%","142.15%","-",""
"Horiz. %","2,056.75%","2,056.75%","2,056.75%","1,949.31%","1,596.66%","1,228.75%","676.58%","317.44%","242.15%","100.00%",""
"Div","-","0","-","-","-","-","14,558","10,638","4,589","-","-"
"YoY %","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","36.84%","131.79%","0.00%","-",""
"Horiz. %","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","317.18%","231.79%","100.00%","-",""
"Div Payout %","-     %","-     %","-     %","-     %","-     %","-     %","25.79    %","52.01    %","27.68    %","-     %","-"
