Column1,AQR,T4Q,31/12/18,31/12/17,31/12/16,31/12/15,31/12/14,31/12/13,31/12/12,31/12/11,31/12/10,31/12/09,CAGR
"Revenue","41,400","45,274","38,320","29,835","20,585","33,296","37,842","52,445","32,982","36,553","28,856","24,110","5.28%"
"YoY %","-8.56%","18.15%","28.44%","44.94%","-38.18%","-12.01%","-27.84%","59.01%","-9.77%","26.67%","19.68%","-",""
"Horiz. %","171.71%","187.78%","158.94%","123.75%","85.38%","138.10%","156.96%","217.52%","136.80%","151.61%","119.68%","100.00%",""
"PBT","4,994","17,125","12,544","14,043","1,382","16,758","10,820","3,667","-2,281","3,189","-130","3,152","16.58%"
"YoY %","-70.84%","36.52%","-10.67%","916.14%","-91.75%","54.88%","195.06%","260.76%","-171.53%","2,553.08%","-104.12%","-",""
"Horiz. %","158.44%","543.31%","397.97%","445.53%","43.85%","531.66%","343.27%","116.34%","-72.37%","101.17%","-4.12%","100.00%",""
"Tax","-188","-1,281","-1,186","-1,443","-101","-2,011","-1,467","309","-562","-1,560","-739","-647","6.96%"
"YoY %","85.32%","-8.01%","17.81%","-1,328.71%","94.98%","-37.08%","-574.76%","154.98%","63.97%","-111.10%","-14.22%","-",""
"Horiz. %","29.06%","197.99%","183.31%","223.03%","15.61%","310.82%","226.74%","-47.76%","86.86%","241.11%","114.22%","100.00%",""
"NP","4,806","15,844","11,358","12,600","1,281","14,747","9,353","3,976","-2,843","1,629","-869","2,505","18.28%"
"YoY %","-69.67%","39.50%","-9.86%","883.61%","-91.31%","57.67%","135.24%","239.85%","-274.52%","287.46%","-134.69%","-",""
"Horiz. %","191.86%","632.49%","453.41%","502.99%","51.14%","588.70%","373.37%","158.72%","-113.49%","65.03%","-34.69%","100.00%",""
"NP to SH","5,008","10,720","6,641","5,592","1,502","11,345","9,195","4,226","-2,497","2,042","-1,216","2,504","11.44%"
"YoY %","-53.28%","61.42%","18.76%","272.30%","-86.76%","23.38%","117.58%","269.24%","-222.28%","267.93%","-148.56%","-",""
