Date,Open Price,Target Price,Upside/Downside,Price Call,Source
"03/09/2019","1.08","1.40","+0.32 (29.63%)","BUY","HLG"
"02/09/2019","1.10","1.40","+0.30 (27.27%)","BUY","HLG"
"28/08/2019","1.13","1.40","+0.27 (23.89%)","BUY","HLG"
"28/08/2019","1.13","1.46","+0.33 (29.20%)","BUY","AmInvest"
"26/08/2019","1.15","1.40","+0.25 (21.74%)","BUY","HLG"
"26/08/2019","1.15","1.46","+0.31 (26.96%)","BUY","AmInvest"
"26/08/2019","1.15","1.10","-0.05 (4.35%)","SELL","AffinHwang"
"02/08/2019","1.15","1.40","+0.25 (21.74%)","BUY","HLG"
"05/07/2019","1.19","1.66","+0.47 (39.50%)","BUY","AmInvest"
"01/07/2019","1.18","1.40","+0.22 (18.64%)","HOLD","HLG"

