Date,Open Price,Target Price,Upside/Downside,Price Call,Source
"15/08/2019","20.50","24.00","+3.50 (17.07%)","BUY","MIDF"
"15/08/2019","20.50","25.20","+4.70 (22.93%)","BUY","KENANGA"
"15/08/2019","20.50","22.30","+1.80 (8.78%)","HOLD","HLG"
"15/08/2019","20.50","23.60","+3.10 (15.12%)","BUY","AmInvest"
"15/08/2019","20.50","23.50","+3.00 (14.63%)","HOLD","AffinHwang"
"08/07/2019","23.00","25.00","+2.00 (8.70%)","BUY","AmInvest"
"01/07/2019","23.02","24.10","+1.08 (4.69%)","HOLD","KENANGA"
"30/04/2019","22.56","27.20","+4.64 (20.57%)","BUY","MIDF"
"30/04/2019","22.56","24.10","+1.54 (6.83%)","HOLD","KENANGA"
"30/04/2019","22.56","24.40","+1.84 (8.16%)","HOLD","HLG"

