Column1,AQR,T4Q,31/12/18,31/12/17,31/12/16,31/12/15,31/12/14,31/12/13,31/12/12,31/12/11,31/12/10,31/12/09,CAGR
"Revenue","610,356","610,355","610,356","505,907","498,546","654,736","604,721","548,449","603,267","581,515","488,276","375,021","5.56%"
"YoY %","0.00%","-0.00%","20.65%","1.48%","-23.86%","8.27%","10.26%","-9.09%","3.74%","19.10%","30.20%","-",""
"Horiz. %","162.75%","162.75%","162.75%","134.90%","132.94%","174.59%","161.25%","146.24%","160.86%","155.06%","130.20%","100.00%",""
"PBT","72,152","72,151","72,152","62,629","75,174","101,237","103,152","113,983","121,149","116,598","98,419","75,569","-0.51%"
"YoY %","0.00%","-0.00%","15.21%","-16.69%","-25.74%","-1.86%","-9.50%","-5.92%","3.90%","18.47%","30.24%","-",""
"Horiz. %","95.48%","95.48%","95.48%","82.88%","99.48%","133.97%","136.50%","150.83%","160.32%","154.29%","130.24%","100.00%",""
"Tax","-18,313","-18,312","-18,313","-16,015","-18,716","-25,039","-26,225","-28,781","-30,455","-29,330","-24,980","-19,246","-0.55%"
"YoY %","-0.01%","0.01%","-14.35%","14.43%","25.25%","4.52%","8.88%","5.50%","-3.84%","-17.41%","-29.79%","-",""
"Horiz. %","95.15%","95.15%","95.15%","83.21%","97.25%","130.10%","136.26%","149.54%","158.24%","152.40%","129.79%","100.00%",""
"NP","53,839","53,839","53,839","46,614","56,458","76,198","76,927","85,202","90,694","87,268","73,439","56,323","-0.50%"
"YoY %","0.00%","0.00%","15.50%","-17.44%","-25.91%","-0.95%","-9.71%","-6.06%","3.93%","18.83%","30.39%","-",""
"Horiz. %","95.59%","95.59%","95.59%","82.76%","100.24%","135.29%","136.58%","151.27%","161.02%","154.94%","130.39%","100.00%",""
"NP to SH","53,752","53,752","53,752","46,531","56,422","76,198","76,927","85,202","90,692","87,265","73,435","56,324","-0.52%"
"YoY %","0.00%","0.00%","15.52%","-17.53%","-25.95%","-0.95%","-9.71%","-6.05%","3.93%","18.83%","30.38%","-",""
"Horiz. %","95.43%","95.43%","95.43%","82.61%","100.17%","135.29%","136.58%","151.27%","161.02%","154.93%","130.38%","100.00%",""
"Tax Rate","25.38    %","25.38    %","25.38    %","25.57    %","24.90    %","24.73    %","25.42    %","25.25    %","25.14    %","25.15    %","25.38    %","25.47    %","-0.04%"
"YoY %","0.00%","0.00%","-0.74%","2.69%","0.69%","-2.71%","0.67%","0.44%","-0.04%","-0.91%","-0.35%","-",""
"Horiz. %","99.65%","99.65%","99.65%","100.39%","97.76%","97.09%","99.80%","99.14%","98.70%","98.74%","99.65%","100.00%",""
"Total Cost","556,517","556,516","556,517","459,293","442,088","578,538","527,794","463,247","512,573","494,247","414,837","318,698","6.39%"
"YoY %","0.00%","-0.00%","21.17%","3.89%","-23.59%","9.61%","13.93%","-9.62%","3.71%","19.14%","30.17%","-",""
"Horiz. %","174.62%","174.62%","174.62%","144.12%","138.72%","181.53%","165.61%","145.36%","160.83%","155.08%","130.17%","100.00%",""
"Net Worth","775,917","775,917","775,917","734,429","701,128","657,709","596,335","539,870","478,058","412,259","340,760","291,950","11.47%"
"YoY %","0.00%","0.00%","5.65%","4.75%","6.60%","10.29%","10.46%","12.93%","15.96%","20.98%","16.72%","-",""
"Horiz. %","265.77%","265.77%","265.77%","251.56%","240.15%","225.28%","204.26%","184.92%","163.75%","141.21%","116.72%","100.00%",""
"Div","13,188","13,188","13,188","13,188","13,188","13,184","15,396","18,810","22,160","19,870","24,770","13,188","0.00%"
"YoY %","0.00%","-0.00%","0.00%","0.00%","0.03%","-14.36%","-18.15%","-15.12%","11.52%","-19.78%","87.83%","-",""
"Horiz. %","100.00%","100.00%","100.00%","100.00%","100.00%","99.98%","116.74%","142.64%","168.03%","150.67%","187.83%","100.00%",""
"Div Payout %","24.54    %","24.54    %","24.54    %","28.34    %","23.37    %","17.30    %","20.01    %","22.08    %","24.43    %","22.77    %","33.73    %","23.41    %","0.52%"
"YoY %","0.00%","0.00%","-13.41%","21.27%","35.09%","-13.54%","-9.37%","-9.62%","7.29%","-32.49%","44.08%","-",""
"Horiz. %","104.83%","104.83%","104.83%","121.06%","99.83%","73.90%","85.48%","94.32%","104.36%","97.27%","144.08%","100.00%",""
"Net Worth","775,917","775,917","775,917","734,429","701,128","657,709","596,335","539,870","478,058","412,259","340,760","291,950","11.47%"
