Column1,AQR,T4Q,30/06/19,30/06/18,30/06/17,30/06/08,30/06/07,30/06/06,30/06/05,CAGR
"Revenue","490,905","490,905","490,905","500,953","449,683","108,228","98,835","50,739","0","-"
"YoY %","0.00%","0.00%","-2.01%","11.40%","315.50%","9.50%","94.79%","0.00%","-",""
"Horiz. %","967.51%","967.51%","967.51%","987.31%","886.27%","213.30%","194.79%","100.00%","-",""
"PBT","107,841","107,841","107,841","239,138","-9,219","81,268","72,690","35,905","0","-"
"YoY %","0.00%","0.00%","-54.90%","2,693.97%","-111.34%","11.80%","102.45%","0.00%","-",""
"Horiz. %","300.35%","300.35%","300.35%","666.03%","-25.68%","226.34%","202.45%","100.00%","-",""
"Tax","-3,168","-3,168","-3,168","-2,579","-2,902","0","0","0","0","-"
"YoY %","0.00%","0.00%","-22.84%","11.13%","0.00%","0.00%","0.00%","0.00%","-",""
"Horiz. %","109.17%","109.17%","109.17%","88.87%","100.00%","-","-","-","-",""
"NP","104,673","104,673","104,673","236,559","-12,121","81,268","72,690","35,905","0","-"
"YoY %","0.00%","0.00%","-55.75%","2,051.65%","-114.91%","11.80%","102.45%","0.00%","-",""
"Horiz. %","291.53%","291.53%","291.53%","658.85%","-33.76%","226.34%","202.45%","100.00%","-",""
"NP to SH","104,673","104,673","104,673","236,559","-12,121","81,268","72,690","35,905","0","-"
"YoY %","0.00%","0.00%","-55.75%","2,051.65%","-114.91%","11.80%","102.45%","0.00%","-",""
"Horiz. %","291.53%","291.53%","291.53%","658.85%","-33.76%","226.34%","202.45%","100.00%","-",""
"Tax Rate","2.94    %","2.94    %","2.94    %","1.08    %","-     %","-     %","-     %","-     %","-     %","-"
"YoY %","0.00%","0.00%","172.22%","0.00%","0.00%","0.00%","0.00%","0.00%","-",""
"Horiz. %","272.22%","272.22%","272.22%","100.00%","-","-","-","-","-",""
"Total Cost","386,232","386,232","386,232","264,394","461,804","26,960","26,145","14,834","0","-"
"YoY %","0.00%","0.00%","46.08%","-42.75%","1,612.92%","3.12%","76.25%","0.00%","-",""
"Horiz. %","2,603.69%","2,603.69%","2,603.69%","1,782.35%","3,113.15%","181.74%","176.25%","100.00%","-",""
"Net Worth","2,737,078","2,737,078","2,737,693","2,718,500","2,531,017","1,146,480","1,028,452","1,023,032","-","-"
"YoY %","0.00%","-0.02%","0.71%","7.41%","120.76%","11.48%","0.53%","0.00%","-",""
"Horiz. %","267.55%","267.55%","267.61%","265.73%","247.40%","112.07%","100.53%","100.00%","-",""
"Div","134,135","134,135","134,165","134,135","137,714","81,267","70,891","35,904","-","-"
"YoY %","0.00%","-0.02%","0.02%","-2.60%","69.46%","14.64%","97.44%","0.00%","-",""
"Horiz. %","373.58%","373.58%","373.67%","373.58%","383.55%","226.34%","197.44%","100.00%","-",""
"Div Payout %","128.15    %","128.15    %","128.18    %","56.70    %","-     %","100.00    %","97.53    %","100.00    %","-     %","-"
"YoY %","0.00%","-0.02%","126.07%","0.00%","0.00%","2.53%","-2.47%","0.00%","-",""
"Horiz. %","128.15%","128.15%","128.18%","56.70%","0.00%","100.00%","97.53%","100.00%","-",""
"Net Worth","2,737,078","2,737,078","2,737,693","2,718,500","2,531,017","1,146,480","1,028,452","1,023,032","-","-"
"YoY %","0.00%","-0.02%","0.71%","7.41%","120.76%","11.48%","0.53%","0.00%","-",""
"Horiz. %","267.55%","267.55%","267.61%","265.73%","247.40%","112.07%","100.53%","100.00%","-",""
"NOSH","1,704,388","1,704,388","1,704,772","1,704,388","1,704,388","1,179,506","1,058,078","1,040,724","-","-"
"YoY %","0.00%","-0.02%","0.02%","0.00%","44.50%","11.48%","1.67%","0.00%","-",""
"Horiz. %","163.77%","163.77%","163.81%","163.77%","163.77%","113.34%","101.67%","100.00%","-",""
"NP Margin","21.32    %","21.32    %","21.32    %","47.22    %","-2.70    %","75.09    %","73.55    %","70.76    %","-     %","-"
"YoY %","0.00%","0.00%","-54.85%","1,848.89%","-103.60%","2.09%","3.94%","0.00%","-",""
"Horiz. %","30.13%","30.13%","30.13%","66.73%","-3.82%","106.12%","103.94%","100.00%","-",""
"ROE","3.82    %","3.82    %","3.82    %","8.70    %","-0.48    %","7.09    %","7.07    %","3.51    %","-     %","-"
"YoY %","0.00%","0.00%","-56.09%","1,912.50%","-106.77%","0.28%","101.42%","0.00%","-",""
"Horiz. %","108.83%","108.83%","108.83%","247.86%","-13.68%","201.99%","201.42%","100.00%","-",""
"RPS","28.80","28.80","28.80","29.39","26.38","9.18","9.34","4.88","-","-"
"YoY %","0.00%","0.00%","-2.01%","11.41%","187.36%","-1.71%","91.39%","0.00%","-",""
"Horiz. %","590.16%","590.16%","590.16%","602.25%","540.57%","188.11%","191.39%","100.00%","-",""
"EPS","6.14","6.14","6.14","13.88","-0.79","6.89","6.87","3.45","0.00","-"
"YoY %","0.00%","0.00%","-55.76%","1,856.96%","-111.47%","0.29%","99.13%","0.00%","-",""
"Horiz. %","177.97%","177.97%","177.97%","402.32%","-22.90%","199.71%","199.13%","100.00%","-",""
"DPS","7.87","7.87","7.87","7.87","8.08","6.89","6.70","3.45","0.00","-"
"YoY %","0.00%","0.00%","0.00%","-2.60%","17.27%","2.84%","94.20%","0.00%","-",""
"Horiz. %","228.12%","228.12%","228.12%","228.12%","234.20%","199.71%","194.20%","100.00%","-",""
"NAPS","1.6059","1.6059","1.6059","1.5950","1.4850","0.9720","0.9720","0.9830","0.0000","-"
"YoY %","0.00%","0.00%","0.68%","7.41%","52.78%","0.00%","-1.12%","0.00%","-",""
"Horiz. %","163.37%","163.37%","163.37%","162.26%","151.07%","98.88%","98.88%","100.00%","-",""
"RPS","28.80","28.80","28.88","29.39","26.38","6.35","5.80","2.98","-","-"
"YoY %","0.00%","-0.28%","-1.74%","11.41%","315.43%","9.48%","94.63%","0.00%","-",""
"Horiz. %","966.44%","966.44%","969.13%","986.24%","885.23%","213.09%","194.63%","100.00%","-",""
"EPS","6.14","6.14","6.16","13.88","-0.79","4.77","4.26","2.11","0.00","-"
"YoY %","0.00%","-0.32%","-55.62%","1,856.96%","-116.56%","11.97%","101.90%","0.00%","-",""
"Horiz. %","291.00%","291.00%","291.94%","657.82%","-37.44%","226.07%","201.90%","100.00%","-",""
"DPS","7.87","7.87","7.89","7.87","8.08","4.77","4.16","2.11","0.00","-"
"YoY %","0.00%","-0.25%","0.25%","-2.60%","69.39%","14.66%","97.16%","0.00%","-",""
"Horiz. %","372.99%","372.99%","373.93%","372.99%","382.94%","226.07%","197.16%","100.00%","-",""
