F.Y.,Ann. Date,Quarter,#,Revenue,PBT,NP,NP to SH,Div,Net Worth,Div Payout %,NP Margin,ROE,NOSH,RPS,Adj. RPS,EPS,Adj. EPS,DPS,Adj. DPS,NAPS,Adj. NAPS,QoQ,YoY,EOQ Date,EOQ Price,EOQ P/RPS,EOQ P/EPS,EOQ P/NAPS,EOQ EY,EOQ DY,ANN Date,ANN Price,ANN P/RPS,ANN P/EPS,ANN P/NAPS,ANN EY,ANN DY
"31-Dec-2018","27-Feb-2019","31-Dec-2018","4","220,928","50,833","36,179","31,166","7,872","1,342,332","25.26%","16.38%","2.32%","393,646","56.12","52.90","7.92","7.46","2.00","1.89","3.4100","3.21"," -18.33%"," 44.97%","31-Dec-2018","3.10","5.52","39.15","0.91","2.55%","0.65%","27-Feb-2019","3.88","6.91","49.01","1.14","2.04%","0.52%"
"31-Dec-2018","27-Nov-2018","30-Sep-2018","3","219,062","51,565","43,223","38,159","-","1,343,113","- %","19.73%","2.84%","390,440","56.11","52.45","9.78","9.14","0.00","0.00","3.4400","3.22"," 34.19%"," -4.77%","28-Sep-2018","3.40","6.06","34.79","0.99","2.87%","0.00%","27-Nov-2018","3.33","5.94","34.07","0.97","2.93%","0.00%"
"31-Dec-2018","28-Aug-2018","30-Jun-2018","2","218,941","51,361","43,187","28,437","7,808","1,284,439","27.46%","19.73%","2.21%","390,407","56.08","52.42","7.28","6.81","2.00","1.87","3.2900","3.08"," -9.74%"," -27.81%","29-Jun-2018","3.64","6.49","49.97","1.11","2.00%","0.55%","28-Aug-2018","3.53","6.29","48.46","1.07","2.06%","0.57%"
"31-Dec-2018","28-May-2018","31-Mar-2018","1","215,188","42,925","35,937","31,504","-","1,221,920","- %","16.70%","2.58%","390,390","55.12","51.52","8.07","7.54","0.00","0.00","3.1300","2.93"," 46.54%"," -15.71%","30-Mar-2018","3.23","5.86","40.03","1.03","2.50%","0.00%","28-May-2018","3.55","6.44","43.99","1.13","2.27%","0.00%"
"31-Dec-2017","23-Feb-2018","31-Dec-2017","4","236,364","51,041","41,269","21,498","7,805","1,221,573","36.31%","17.46%","1.76%","390,279","60.56","56.59","5.51","5.15","2.00","1.87","3.1300","2.92"," -46.35%"," -37.84%","29-Dec-2017","3.67","6.06","66.63","1.17","1.50%","0.54%","23-Feb-2018","3.60","5.94","65.36","1.15","1.53%","0.56%"
"31-Dec-2017","27-Nov-2017","30-Sep-2017","3","298,169","54,955","46,302","40,071","-","1,251,501","- %","15.53%","3.20%","382,722","77.91","71.39","10.47","9.59","0.00","0.00","3.2700","3.00"," 1.73%"," 11.59%","29-Sep-2017","3.54","4.54","33.81","1.08","2.96%","0.00%","27-Nov-2017","3.50","4.49","33.43","1.07","2.99%","0.00%"
"31-Dec-2017","25-Aug-2017","30-Jun-2017","2","333,467","66,076","50,270","39,390","7,626","1,235,465","19.36%","15.07%","3.19%","381,316","87.45","79.84","10.33","9.43","2.00","1.83","3.2400","2.96"," 5.39%"," 47.79%","30-Jun-2017","3.94","4.51","38.14","1.22","2.62%","0.51%","25-Aug-2017","3.53","4.04","34.17","1.09","2.93%","0.57%"
"31-Dec-2017","22-May-2017","31-Mar-2017","1","207,161","44,545","36,561","37,377","-","1,212,845","- %","17.65%","3.08%","381,397","54.32","49.60","9.80","8.95","0.00","0.00","3.1800","2.90"," 8.07%"," 58.41%","31-Mar-2017","2.92","5.38","29.80","0.92","3.36%","0.00%","22-May-2017","4.00","7.36","40.82","1.26","2.45%","0.00%"
"31-Dec-2016","27-Feb-2017","31-Dec-2016","4","186,302","49,520","41,714","34,585","10,365","1,057,243","29.97%","22.39%","3.27%","345,504","53.92","44.61","9.07","8.28","3.00","2.48","3.0600","2.53"," -3.68%"," 201.76%","30-Dec-2016","2.15","3.99","21.48","0.70","4.66%","1.40%","27-Feb-2017","2.81","5.21","28.07","0.92","3.56%","1.07%"
"31-Dec-2016","25-Nov-2016","30-Sep-2016","3","215,021","51,451","44,342","35,908","-","969,968","- %","20.62%","3.70%","334,472","64.29","51.48","10.74","8.60","0.00","0.00","2.9000","2.32"," 34.72%"," 35.32%","30-Sep-2016","1.99","3.10","18.54","0.69","5.39%","0.00%","25-Nov-2016","2.34","3.64","21.80","0.81","4.59%","0.00%"
"31-Dec-2016","29-Aug-2016","30-Jun-2016","2","197,575","47,993","36,342","26,653","6,241","870,747","23.42%","18.39%","3.06%","312,096","63.31","47.31","8.54","6.38","2.00","1.49","2.7900","2.08"," 12.96%"," 51.44%","30-Jun-2016","1.76","2.78","20.61","0.63","4.85%","1.14%","29-Aug-2016","2.06","3.25","24.12","0.74","4.15%","0.97%"
"31-Dec-2016","30-May-2016","31-Mar-2016","1","217,907","40,309","31,475","23,595","-","670,312","- %","14.44%","3.52%","223,437","97.52","52.17","9.26","5.65","0.00","0.00","3.0000","1.60"," 105.87%"," 26.40%","31-Mar-2016","1.84","1.89","17.42","0.61","5.74%","0.00%","30-May-2016","1.70","1.74","16.10","0.57","6.21%","0.00%"
