Column1,AQR,T4Q,30/04/19,30/04/18,30/04/17,30/04/16,30/04/15,30/04/14,30/04/13,CAGR
"Revenue","2,140,176","2,541,769","2,492,121","1,992,926","1,659,502","2,095,391","1,830,443","1,448,873","1,064,349","15.23%"
"YoY %","-15.80%","1.99%","25.05%","20.09%","-20.80%","14.47%","26.34%","36.13%","-",""
"Horiz. %","201.08%","238.81%","234.15%","187.24%","155.92%","196.87%","171.98%","136.13%","100.00%",""
"PBT","260,148","340,050","342,257","197,234","176,570","278,257","298,971","181,583","69,224","30.51%"
"YoY %","-23.50%","-0.64%","73.53%","11.70%","-36.54%","-6.93%","64.65%","162.31%","-",""
"Horiz. %","375.81%","491.23%","494.42%","284.92%","255.07%","401.97%","431.89%","262.31%","100.00%",""
"Tax","-54,256","-72,148","-74,235","-46,116","-43,110","-67,897","-79,486","-45,860","-17,211","27.57%"
"YoY %","24.80%","2.81%","-60.97%","-6.97%","36.51%","14.58%","-73.32%","-166.46%","-",""
"Horiz. %","315.24%","419.20%","431.32%","267.94%","250.48%","394.50%","461.83%","266.46%","100.00%",""
"NP","205,892","267,902","268,022","151,118","133,460","210,360","219,485","135,723","52,013","31.41%"
"YoY %","-23.15%","-0.04%","77.36%","13.23%","-36.56%","-4.16%","61.72%","160.94%","-",""
"Horiz. %","395.85%","515.07%","515.30%","290.54%","256.59%","404.44%","421.98%","260.94%","100.00%",""
"NP to SH","202,060","265,502","265,265","140,067","119,054","197,629","212,374","132,359","50,861","31.67%"
"YoY %","-23.90%","0.09%","89.38%","17.65%","-39.76%","-6.94%","60.45%","160.24%","-",""
"Horiz. %","397.28%","522.01%","521.55%","275.39%","234.08%","388.57%","417.56%","260.24%","100.00%",""
"Tax Rate","20.86    %","21.22    %","21.69    %","23.38    %","24.42    %","24.40    %","26.59    %","25.26    %","24.86    %","-2.25%"
"YoY %","-1.70%","-2.17%","-7.23%","-4.26%","0.08%","-8.24%","5.27%","1.61%","-",""
"Horiz. %","83.91%","85.36%","87.25%","94.05%","98.23%","98.15%","106.96%","101.61%","100.00%",""
"Total Cost","1,934,284","2,273,867","2,224,099","1,841,808","1,526,042","1,885,031","1,610,958","1,313,150","1,012,336","14.01%"
"YoY %","-14.93%","2.24%","20.76%","20.69%","-19.04%","17.01%","22.68%","29.71%","-",""
"Horiz. %","191.07%","224.62%","219.70%","181.94%","150.74%","186.21%","159.13%","129.71%","100.00%",""
"Net Worth","498,879","498,879","566,378","474,896","443,266","529,439","336,719","324,529","158,922","23.58%"
"YoY %","0.00%","-11.92%","19.26%","7.14%","-16.28%","57.23%","3.76%","104.21%","-",""
"Horiz. %","313.91%","313.91%","356.39%","298.82%","278.92%","333.14%","211.88%","204.21%","100.00%",""
"Div","150,964","255,351","246,579","120,080","133,749","192,876","118,232","39,798","-","-"
"YoY %","-40.88%","3.56%","105.34%","-10.22%","-30.66%","63.13%","197.08%","0.00%","-",""
"Horiz. %","379.32%","641.61%","619.57%","301.72%","336.06%","484.63%","297.08%","100.00%","-",""
