Column1,AQR,T4Q,31/12/18,31/12/17,31/12/16,31/12/15,31/12/14,31/12/13,31/12/12,31/12/11,CAGR
"Revenue","457,352","457,352","457,352","485,428","401,513","315,903","185,892","152,041","138,925","0","-"
"YoY %","0.00%","0.00%","-5.78%","20.90%","27.10%","69.94%","22.26%","9.44%","0.00%","-",""
"Horiz. %","329.21%","329.21%","329.21%","349.42%","289.01%","227.39%","133.81%","109.44%","100.00%","-",""
"PBT","45,843","45,843","45,843","43,931","41,699","37,332","23,756","21,159","18,904","0","-"
"YoY %","0.00%","0.00%","4.35%","5.35%","11.70%","57.15%","12.27%","11.93%","0.00%","-",""
"Horiz. %","242.50%","242.50%","242.50%","232.39%","220.58%","197.48%","125.67%","111.93%","100.00%","-",""
"Tax","-14,590","-14,590","-14,590","-12,391","-11,343","-10,181","-6,700","-5,868","-4,934","0","-"
"YoY %","0.00%","0.00%","-17.75%","-9.24%","-11.41%","-51.96%","-14.18%","-18.93%","0.00%","-",""
"Horiz. %","295.70%","295.70%","295.70%","251.13%","229.89%","206.34%","135.79%","118.93%","100.00%","-",""
"NP","31,253","31,253","31,253","31,540","30,356","27,151","17,056","15,291","13,970","0","-"
"YoY %","0.00%","0.00%","-0.91%","3.90%","11.80%","59.19%","11.54%","9.46%","0.00%","-",""
"Horiz. %","223.72%","223.72%","223.72%","225.77%","217.29%","194.35%","122.09%","109.46%","100.00%","-",""
"NP to SH","24,059","24,059","24,059","24,571","26,574","25,602","15,587","13,655","13,164","0","-"
"YoY %","0.00%","0.00%","-2.08%","-7.54%","3.80%","64.25%","14.15%","3.73%","0.00%","-",""
"Horiz. %","182.76%","182.76%","182.76%","186.65%","201.87%","194.48%","118.41%","103.73%","100.00%","-",""
"Tax Rate","31.83    %","31.83    %","31.83    %","28.21    %","27.20    %","27.27    %","28.20    %","27.73    %","26.10    %","-     %","-"
"YoY %","0.00%","0.00%","12.83%","3.71%","-0.26%","-3.30%","1.69%","6.25%","0.00%","-",""
"Horiz. %","121.95%","121.95%","121.95%","108.08%","104.21%","104.48%","108.05%","106.25%","100.00%","-",""
"Total Cost","426,099","426,099","426,099","453,888","371,157","288,752","168,836","136,750","124,955","0","-"
"YoY %","0.00%","0.00%","-6.12%","22.29%","28.54%","71.03%","23.46%","9.44%","0.00%","-",""
"Horiz. %","341.00%","341.00%","341.00%","363.24%","297.03%","231.08%","135.12%","109.44%","100.00%","-",""
"Net Worth","427,021","427,021","427,021","427,021","394,394","230,194","116,382","82,589","53,730","-","-"
"YoY %","0.00%","0.00%","0.00%","8.27%","71.33%","97.79%","40.92%","53.71%","0.00%","-",""
"Horiz. %","794.75%","794.75%","794.75%","794.75%","734.02%","428.42%","216.60%","153.71%","100.00%","-",""
"Div","-","0","-","87","-","-","-","-","-","-","-"
"YoY %","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","-",""
"Horiz. %","0.00%","0.00%","0.00%","100.00%","-","-","-","-","-","-",""
"Div Payout %","-     %","-     %","-     %","0.35    %","-     %","-     %","-     %","-     %","-     %","-     %","-"
"YoY %","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","-",""
"Horiz. %","0.00%","0.00%","0.00%","100.00%","-","-","-","-","-","-",""
"Net Worth","427,021","427,021","427,021","427,021","394,394","230,194","116,382","82,589","53,730","-","-"
"YoY %","0.00%","0.00%","0.00%","8.27%","71.33%","97.79%","40.92%","53.71%","0.00%","-",""
"Horiz. %","794.75%","794.75%","794.75%","794.75%","734.02%","428.42%","216.60%","153.71%","100.00%","-",""
"NOSH","871,472","871,472","871,472","871,472","821,656","535,336","332,520","284,790","244,230","-","-"
"YoY %","0.00%","0.00%","0.00%","6.06%","53.48%","60.99%","16.76%","16.61%","0.00%","-",""
"Horiz. %","356.82%","356.82%","356.82%","356.82%","336.43%","219.19%","136.15%","116.61%","100.00%","-",""
"NP Margin","6.83    %","6.83    %","6.83    %","6.50    %","7.56    %","8.59    %","9.18    %","10.06    %","10.06    %","-     %","-"
"YoY %","0.00%","0.00%","5.08%","-14.02%","-11.99%","-6.43%","-8.75%","0.00%","0.00%","-",""
