Date,Open Price,Target Price,Upside/Downside,Price Call,Source
"20/08/2019","2.86","3.11","+0.25 (8.74%)","BUY","MIDF"
"20/08/2019","2.86","3.00","+0.14 (4.90%)","HOLD","KENANGA"
"20/08/2019","2.86","3.30","+0.44 (15.38%)","BUY","BIMB"
"20/08/2019","2.86","2.91","+0.05 (1.75%)","HOLD","AffinHwang"
"04/07/2019","2.91","3.05","+0.14 (4.81%)","HOLD","KENANGA"
"16/05/2019","2.91","3.11","+0.20 (6.87%)","BUY","MIDF"
"16/05/2019","2.89","3.05","+0.16 (5.54%)","HOLD","KENANGA"
"16/05/2019","2.91","3.30","+0.39 (13.40%)","BUY","BIMB"
"16/05/2019","2.91","3.02","+0.11 (3.78%)","HOLD","AffinHwang"

