Column1,AQR,T4Q,31/12/18,31/12/17,31/12/16,31/12/15,31/12/14,31/12/13,31/12/12,31/12/11,31/12/10,31/12/09,CAGR
"Revenue","86,866","82,281","73,781","78,268","81,864","146,062","186,097","171,251","160,844","137,256","132,799","84,131","-1.45%"
"YoY %","5.57%","11.52%","-5.73%","-4.39%","-43.95%","-21.51%","8.67%","6.47%","17.19%","3.36%","57.85%","-",""
"Horiz. %","103.25%","97.80%","87.70%","93.03%","97.31%","173.61%","221.20%","203.55%","191.18%","163.15%","157.85%","100.00%",""
"PBT","8,650","8,237","5,971","-8,582","-9,051","10,915","12,563","1,146","-11,410","-12,303","7,993","1,053","21.25%"
"YoY %","5.01%","37.95%","169.58%","5.18%","-182.92%","-13.12%","996.25%","110.04%","7.26%","-253.92%","659.07%","-",""
"Horiz. %","821.46%","782.24%","567.05%","-815.00%","-859.54%","1,036.56%","1,193.07%","108.83%","-1,083.57%","-1,168.38%","759.07%","100.00%",""
"Tax","-520","-49","-317","-1,025","-174","-65","-685","-133","-21","80","-126","63","-"
"YoY %","-961.22%","84.54%","69.07%","-489.08%","-167.69%","90.51%","-415.04%","-533.33%","-126.25%","163.49%","-300.00%","-",""
"Horiz. %","-825.40%","-77.78%","-503.17%","-1,626.98%","-276.19%","-103.17%","-1,087.30%","-211.11%","-33.33%","126.98%","-200.00%","100.00%",""
"NP","8,130","8,188","5,654","-9,607","-9,225","10,850","11,878","1,013","-11,431","-12,223","7,867","1,116","19.74%"
"YoY %","-0.71%","44.82%","158.85%","-4.14%","-185.02%","-8.65%","1,072.56%","108.86%","6.48%","-255.37%","604.93%","-",""
"Horiz. %","728.49%","733.69%","506.63%","-860.84%","-826.61%","972.22%","1,064.34%","90.77%","-1,024.28%","-1,095.25%","704.93%","100.00%",""
"NP to SH","6,930","7,590","5,654","-9,622","-9,218","10,850","11,878","1,013","-11,431","-12,223","8,044","1,284","17.89%"
"YoY %","-8.70%","34.24%","158.76%","-4.38%","-184.96%","-8.65%","1,072.56%","108.86%","6.48%","-251.95%","526.48%","-",""
"Horiz. %","539.72%","591.12%","440.34%","-749.38%","-717.91%","845.02%","925.08%","78.89%","-890.26%","-951.95%","626.48%","100.00%",""
"Tax Rate","6.01    %","0.59    %","5.31    %","-     %","-     %","0.60    %","5.45    %","11.61    %","-     %","-     %","1.58    %","-5.98    %","-"
"YoY %","918.64%","-88.89%","0.00%","0.00%","0.00%","-88.99%","-53.06%","0.00%","0.00%","0.00%","126.42%","-",""
"Horiz. %","-100.50%","-9.87%","-88.80%","0.00%","0.00%","-10.03%","-91.14%","-194.15%","0.00%","0.00%","-26.42%","100.00%",""
"Total Cost","78,736","74,093","68,127","87,875","91,089","135,212","174,219","170,238","172,275","149,479","124,932","83,015","-2.17%"
"YoY %","6.27%","8.76%","-22.47%","-3.53%","-32.63%","-22.39%","2.34%","-1.18%","15.25%","19.65%","50.49%","-",""
"Horiz. %","94.85%","89.25%","82.07%","105.85%","109.73%","162.88%","209.86%","205.07%","207.52%","180.06%","150.49%","100.00%",""
"Net Worth","113,058","113,058","96,282","87,268","76,235","9,920,000","5,882,049","4,365,037","41,281","3,970,154","5,602,061","47,705","8.11%"
"YoY %","0.00%","17.42%","10.33%","14.47%","-99.23%","68.65%","34.75%","10,473.73%","-98.96%","-29.13%","11,642.98%","-",""
"Horiz. %","236.99%","236.99%","201.83%","182.93%","159.80%","20,794.19%","12,329.89%","9,149.94%","86.53%","8,322.19%","11,742.98%","100.00%",""
"Div","-","0","-","-","-","9,816","10,718","-","-","-","-","-","-"
"YoY %","0.00%","0.00%","0.00%","0.00%","0.00%","-8.42%","0.00%","0.00%","0.00%","0.00%","0.00%","-",""
"Horiz. %","0.00%","0.00%","0.00%","0.00%","0.00%","91.58%","100.00%","-","-","-","-","-",""
"Div Payout %","-     %","-     %","-     %","-     %","-     %","90.48    %","90.24    %","-     %","-     %","-     %","-     %","-     %","-"
"YoY %","0.00%","0.00%","0.00%","0.00%","0.00%","0.27%","0.00%","0.00%","0.00%","0.00%","0.00%","-",""
"Horiz. %","0.00%","0.00%","0.00%","0.00%","0.00%","100.27%","100.00%","-","-","-","-","-",""
"Net Worth","113,058","113,058","96,282","87,268","76,235","9,920,000","5,882,049","4,365,037","41,281","3,970,154","5,602,061","47,705","8.11%"
"YoY %","0.00%","17.42%","10.33%","14.47%","-99.23%","68.65%","34.75%","10,473.73%","-98.96%","-29.13%","11,642.98%","-",""
"Horiz. %","236.99%","236.99%","201.83%","182.93%","159.80%","20,794.19%","12,329.89%","9,149.94%","86.53%","8,322.19%","11,742.98%","100.00%",""
"NOSH","728,939","728,939","650,115","519,144","474,393","430,555","378,753","376,296","364,037","309,443","113,909","112,566","21.50%"
"YoY %","0.00%","12.12%","25.23%","9.43%","10.18%","13.68%","0.65%","3.37%","17.64%","171.66%","1.19%","-",""
"Horiz. %","647.56%","647.56%","577.54%","461.19%","421.43%","382.49%","336.47%","334.29%","323.40%","274.90%","101.19%","100.00%",""
"NP Margin","9.36    %","9.95    %","7.66    %","-12.27    %","-11.27    %","7.43    %","6.38    %","0.59    %","-7.11    %","-8.91    %","5.92    %","1.33    %","21.46%"
"YoY %","-5.93%","29.90%","162.43%","-8.87%","-251.68%","16.46%","981.36%","108.30%","20.20%","-250.51%","345.11%","-",""
"Horiz. %","703.76%","748.12%","575.94%","-922.56%","-847.37%","558.65%","479.70%","44.36%","-534.59%","-669.92%","445.11%","100.00%",""
"ROE","6.13    %","6.71    %","5.87    %","-11.03    %","-12.09    %","0.11    %","0.20    %","0.02    %","-27.69    %","-0.31    %","0.14    %","2.69    %","9.05%"
