Column1,AQR,T4Q,31/12/18,31/12/17,31/12/16,31/12/15,31/12/14,31/12/13,31/12/12,31/12/11,31/12/10,31/12/09,CAGR
"Revenue","0","59,266","78,576","76,018","75,830","75,704","65,364","63,109","62,131","54,361","55,261","0","-"
"YoY %","0.00%","-24.57%","3.36%","0.25%","0.17%","15.82%","3.57%","1.57%","14.29%","-1.63%","0.00%","-",""
"Horiz. %","0.00%","107.25%","142.19%","137.56%","137.22%","136.99%","118.28%","114.20%","112.43%","98.37%","100.00%","-",""
"PBT","-832","2,459","4,841","4,651","8,677","8,577","2,087","2,038","2,187","3,512","7,946","0","-"
"YoY %","-133.83%","-49.20%","4.09%","-46.40%","1.17%","310.97%","2.40%","-6.81%","-37.73%","-55.80%","0.00%","-",""
"Horiz. %","-10.47%","30.95%","60.92%","58.53%","109.20%","107.94%","26.26%","25.65%","27.52%","44.20%","100.00%","-",""
"Tax","1,354","289","156","-418","-2,391","-2,181","7,835","627","1,100","-1,078","-1,935","0","-"
"YoY %","368.51%","85.26%","137.32%","82.52%","-9.63%","-127.84%","1,149.60%","-43.00%","202.04%","44.29%","0.00%","-",""
"Horiz. %","-69.97%","-14.94%","-8.06%","21.60%","123.57%","112.71%","-404.91%","-32.40%","-56.85%","55.71%","100.00%","-",""
"NP","522","2,748","4,997","4,233","6,286","6,396","9,922","2,665","3,287","2,434","6,011","0","-"
"YoY %","-81.00%","-45.01%","18.05%","-32.66%","-1.72%","-35.54%","272.31%","-18.92%","35.05%","-59.51%","0.00%","-",""
"Horiz. %","8.68%","45.72%","83.13%","70.42%","104.57%","106.40%","165.06%","44.34%","54.68%","40.49%","100.00%","-",""
"NP to SH","522","2,748","4,991","4,233","6,286","6,396","9,922","2,665","3,287","2,434","6,011","0","-"
"YoY %","-81.00%","-44.94%","17.91%","-32.66%","-1.72%","-35.54%","272.31%","-18.92%","35.05%","-59.51%","0.00%","-",""
"Horiz. %","8.68%","45.72%","83.03%","70.42%","104.57%","106.40%","165.06%","44.34%","54.68%","40.49%","100.00%","-",""
"Tax Rate","-     %","-11.75    %","-3.22    %","8.99    %","27.56    %","25.43    %","-375.42    %","-30.77    %","-50.30    %","30.69    %","24.35    %","-     %","-"
