Column1,AQR,T4Q,31/12/18,31/12/17,31/12/16,31/12/15,&nbsp;-&nbsp;,CAGR
"Revenue","118,650","116,256","114,292","106,766","90,180","74,123","-","15.51%"
"YoY %","2.06%","1.72%","7.05%","18.39%","21.66%","-","-",""
"Horiz. %","160.07%","156.84%","154.19%","144.04%","121.66%","100.00%","-",""
"PBT","39,316","36,532","32,792","30,482","25,268","19,251","-","19.41%"
"YoY %","7.62%","11.41%","7.58%","20.63%","31.26%","-","-",""
"Horiz. %","204.23%","189.77%","170.34%","158.34%","131.26%","100.00%","-",""
"Tax","-1,304","-311","3,090","-1,467","-3,543","-62","-","-"
"YoY %","-319.29%","-110.06%","310.63%","58.59%","-5,614.52%","-","-",""
"Horiz. %","2,103.23%","501.61%","-4,983.87%","2,366.13%","5,714.52%","100.00%","-",""
"NP","38,012","36,221","35,882","29,015","21,725","19,189","-","23.18%"
"YoY %","4.94%","0.94%","23.67%","33.56%","13.22%","-","-",""
"Horiz. %","198.09%","188.76%","186.99%","151.21%","113.22%","100.00%","-",""
"NP to SH","37,784","36,005","35,692","28,831","21,567","19,082","-","23.19%"
"YoY %","4.94%","0.88%","23.80%","33.68%","13.02%","-","-",""
"Horiz. %","198.01%","188.69%","187.05%","151.09%","113.02%","100.00%","-",""
"Tax Rate","3.32    %","0.85    %","-9.42    %","4.81    %","14.02    %","0.32    %","-   %","-"
"YoY %","290.59%","109.02%","-295.84%","-65.69%","4,281.25%","-","-",""
"Horiz. %","1,037.50%","265.63%","-2,943.75%","1,503.12%","4,381.25%","100.00%","-",""
"Total Cost","80,638","80,035","78,410","77,751","68,455","54,934","-","12.58%"
"YoY %","0.75%","2.07%","0.85%","13.58%","24.61%","-","-",""
"Horiz. %","146.79%","145.69%","142.73%","141.54%","124.61%","100.00%","-",""
"Net Worth","297,645","297,645","295,944","219,279","150,229","103,646","-","41.82%"
"YoY %","0.00%","0.57%","34.96%","45.96%","44.94%","-","-",""
"Horiz. %","287.18%","287.18%","285.53%","211.57%","144.94%","100.00%","-",""
"Div","7,113","8,354","13,199","8,801","4,106","2,900","-","65.65%"
"YoY %","-14.85%","-36.71%","49.97%","114.33%","41.60%","-","-",""
"Horiz. %","245.31%","288.09%","455.15%","303.50%","141.60%","100.00%","-",""
"Div Payout %","18.83    %","23.20    %","36.98    %","30.53    %","19.04    %","15.20    %","-   %","34.46%"
"YoY %","-18.84%","-37.26%","21.13%","60.35%","25.26%","-","-",""
"Horiz. %","123.88%","152.63%","243.29%","200.86%","125.26%","100.00%","-",""
"Net Worth","297,645","297,645","295,944","219,279","150,229","103,646","-","41.82%"
"YoY %","0.00%","0.57%","34.96%","45.96%","44.94%","-","-",""
"Horiz. %","287.18%","287.18%","285.53%","211.57%","144.94%","100.00%","-",""
"NOSH","1,422,780","1,422,780","1,389,413","1,257,337","855,521","580,000","-","33.77%"
"YoY %","0.00%","2.40%","10.50%","46.97%","47.50%","-","-",""
"Horiz. %","245.31%","245.31%","239.55%","216.78%","147.50%","100.00%","-",""
"NP Margin","32.04    %","31.16    %","31.40    %","27.18    %","24.09    %","25.89    %","-   %","6.64%"
"YoY %","2.82%","-0.76%","15.53%","12.83%","-6.95%","-","-",""
"Horiz. %","123.75%","120.36%","121.28%","104.98%","93.05%","100.00%","-",""
"ROE","12.69    %","12.10    %","12.06    %","13.15    %","14.36    %","18.41    %","-   %","-13.14%"
"YoY %","4.88%","0.33%","-8.29%","-8.43%","-22.00%","-","-",""
"Horiz. %","68.93%","65.73%","65.51%","71.43%","78.00%","100.00%","-",""
"RPS","8.34","8.17","8.23","8.49","10.54","12.78","-","-13.63%"
"YoY %","2.08%","-0.73%","-3.06%","-19.45%","-17.53%","-","-",""
"Horiz. %","65.26%","63.93%","64.40%","66.43%","82.47%","100.00%","-",""
"EPS","2.66","2.53","2.69","2.29","2.23","3.29","-","-6.49%"
"YoY %","5.14%","-5.95%","17.47%","2.69%","-32.22%","-","-",""
"Horiz. %","80.85%","76.90%","81.76%","69.60%","67.78%","100.00%","-",""
"DPS","0.50","0.59","0.95","0.70","0.48","0.50","-","23.83%"
"YoY %","-15.25%","-37.89%","35.71%","45.83%","-4.00%","-","-",""
"Horiz. %","100.00%","118.00%","190.00%","140.00%","96.00%","100.00%","-",""
"NAPS","0.2092","0.2092","0.2130","0.1744","0.1756","0.1787","-","6.02%"
"YoY %","0.00%","-1.78%","22.13%","-0.68%","-1.73%","-","-",""
"Horiz. %","117.07%","117.07%","119.19%","97.59%","98.27%","100.00%","-",""
"RPS","8.34","8.17","8.03","7.50","6.34","5.21","-","15.50%"
"YoY %","2.08%","1.74%","7.07%","18.30%","21.69%","-","-",""
"Horiz. %","160.08%","156.81%","154.13%","143.95%","121.69%","100.00%","-",""
"EPS","2.66","2.53","2.51","2.03","1.52","1.34","-","23.25%"
"YoY %","5.14%","0.80%","23.65%","33.55%","13.43%","-","-",""
"Horiz. %","198.51%","188.81%","187.31%","151.49%","113.43%","100.00%","-",""
"DPS","0.50","0.59","0.93","0.62","0.29","0.20","-","66.83%"
"YoY %","-15.25%","-36.56%","50.00%","113.79%","45.00%","-","-",""
"Horiz. %","250.00%","295.00%","465.00%","310.00%","145.00%","100.00%","-",""
"NAPS","0.2092","0.2092","0.2080","0.1541","0.1056","0.0728","-","41.85%"
"YoY %","0.00%","0.58%","34.98%","45.93%","45.05%","-","-",""
"Horiz. %","287.36%","287.36%","285.71%","211.68%","145.05%","100.00%","-",""
"Date","AQR","T4Q","31/12/18","29/12/17","30/12/16","-","-","-"
"Price","0.2150","0.2150","0.2350","0.2800","0.1600","0.0000","-","-"
"P/RPS","2.58","2.63","2.86","3.30","1.52","0.00","-","-"
"YoY %","-1.90%","-8.04%","-13.33%","117.11%","0.00%","-","-",""
"Horiz. %","169.74%","173.03%","188.16%","217.11%","100.00%","-","-",""
"P/EPS","8.10","8.50","9.15","12.21","6.35","0.00","-","-"
"YoY %","-4.71%","-7.10%","-25.06%","92.28%","0.00%","-","-",""
"Horiz. %","127.56%","133.86%","144.09%","192.28%","100.00%","-","-",""
"EY","12.35","11.77","10.93","8.19","15.76","0.00","-","-"
"YoY %","4.93%","7.69%","33.46%","-48.03%","0.00%","-","-",""
"Horiz. %","78.36%","74.68%","69.35%","51.97%","100.00%","-","-",""
"DY","2.33","2.73","4.04","2.50","3.00","0.00","-","-"
"YoY %","-14.65%","-32.43%","61.60%","-16.67%","0.00%","-","-",""
"Horiz. %","77.67%","91.00%","134.67%","83.33%","100.00%","-","-",""
"P/NAPS","1.03","1.03","1.10","1.61","0.91","0.00","-","-"
"YoY %","0.00%","-6.36%","-31.68%","76.92%","0.00%","-","-",""
"Horiz. %","113.19%","113.19%","120.88%","176.92%","100.00%","-","-",""
"Date","AQR","T4Q","21/02/19","22/02/18","23/02/17","-","-","-"
"Price","0.1950","0.1950","0.2500","0.3050","0.1650","0.0000","-","-"
"P/RPS","2.34","2.39","3.04","3.59","1.57","0.00","-","-"
"YoY %","-2.09%","-21.38%","-15.32%","128.66%","0.00%","-","-",""
"Horiz. %","149.04%","152.23%","193.63%","228.66%","100.00%","-","-",""
"P/EPS","7.34","7.71","9.73","13.30","6.55","0.00","-","-"
"YoY %","-4.80%","-20.76%","-26.84%","103.05%","0.00%","-","-",""
"Horiz. %","112.06%","117.71%","148.55%","203.05%","100.00%","-","-",""
"EY","13.62","12.98","10.28","7.52","15.28","0.00","-","-"
"YoY %","4.93%","26.26%","36.70%","-50.79%","0.00%","-","-",""
"Horiz. %","89.14%","84.95%","67.28%","49.21%","100.00%","-","-",""
"DY","2.56","3.01","3.80","2.30","2.91","0.00","-","-"
"YoY %","-14.95%","-20.79%","65.22%","-20.96%","0.00%","-","-",""
"Horiz. %","87.97%","103.44%","130.58%","79.04%","100.00%","-","-",""
"P/NAPS","0.93","0.93","1.17","1.75","0.94","0.00","-","-"
"YoY %","0.00%","-20.51%","-33.14%","86.17%","0.00%","-","-",""
"Horiz. %","98.94%","98.94%","124.47%","186.17%","100.00%","-","-",""

