Column1,AQR,T4Q,31/12/18,30/06/18,31/12/17,30/06/17,&nbsp;-&nbsp;,CAGR
"Revenue","11,762,000","12,424,000","6,543,000","14,369,000","7,626,000","14,779,000","-","-41.83%"
"YoY %","-5.33%","89.88%","-54.46%","88.42%","-48.40%","-","-",""
"Horiz. %","79.59%","84.07%","44.27%","97.23%","51.60%","100.00%","-",""
"PBT","202,000","558,000","457,000","2,377,000","1,876,000","4,031,000","-","-76.48%"
"YoY %","-63.80%","22.10%","-80.77%","26.71%","-53.46%","-","-",""
"Horiz. %","5.01%","13.84%","11.34%","58.97%","46.54%","100.00%","-",""
"Tax","138,000","-76,000","-145,000","-492,000","-340,000","-479,000","-","-54.82%"
"YoY %","281.58%","47.59%","70.53%","-44.71%","29.02%","-","-",""
"Horiz. %","-28.81%","15.87%","30.27%","102.71%","70.98%","100.00%","-",""
"NP","340,000","482,000","312,000","1,885,000","1,536,000","3,552,000","-","-80.15%"
"YoY %","-29.46%","54.49%","-83.45%","22.72%","-56.76%","-","-",""
"Horiz. %","9.57%","13.57%","8.78%","53.07%","43.24%","100.00%","-",""
"NP to SH","202,000","345,000","244,000","1,727,000","1,448,000","3,507,000","-","-83.00%"
"YoY %","-41.45%","41.39%","-85.87%","19.27%","-58.71%","-","-",""
"Horiz. %","5.76%","9.84%","6.96%","49.24%","41.29%","100.00%","-",""
"Tax Rate","-68.32    %","13.62    %","31.73    %","20.70    %","18.12    %","11.88    %","-   %","92.16%"
"YoY %","-601.62%","-57.08%","53.29%","14.24%","52.53%","-","-",""
"Horiz. %","-575.08%","114.65%","267.09%","174.24%","152.53%","100.00%","-",""
"Total Cost","11,422,000","11,942,000","6,231,000","12,484,000","6,090,000","11,227,000","-","-32.39%"
"YoY %","-4.35%","91.65%","-50.09%","104.99%","-45.76%","-","-",""
"Horiz. %","101.74%","106.37%","55.50%","111.20%","54.24%","100.00%","-",""
"Net Worth","13,332,000","13,364,999","13,125,929","13,670,009","13,664,225","12,437,616","-","3.65%"
"YoY %","-0.25%","1.82%","-3.98%","0.04%","9.86%","-","-",""
"Horiz. %","107.19%","107.46%","105.53%","109.91%","109.86%","100.00%","-",""
"Div","-","115,617","115,617","1,190,175","237,934","-","-","-"
"YoY %","0.00%","0.00%","-90.29%","400.21%","0.00%","-","-",""
"Horiz. %","0.00%","48.59%","48.59%","500.21%","100.00%","-","-",""
"Div Payout %","-     %","33.51    %","47.38    %","68.92    %","16.43    %","-     %","-   %","-"
"YoY %","0.00%","-29.27%","-31.25%","319.48%","0.00%","-","-",""
"Horiz. %","0.00%","203.96%","288.37%","419.48%","100.00%","-","-",""
"Net Worth","13,332,000","13,364,999","13,125,929","13,670,009","13,664,225","12,437,616","-","3.65%"
